jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,ssdistnr,ssmagnr,ssnamenr,obj_id
2459227.6657986,2,1473165794215,20.208200454711914,/ztf/archive/sci/2021/0113/165799/ztf_20210113165799_000452_zr_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1473,42,452,26.33340072631836,1.4377499610418454e-05,0.023347700014710426,0.12317000329494476,1.84480995812919e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abpkoou
2459227.6806829,1,1473180684215,19.985000610351562,/ztf/archive/sci/2021/0113/180683/ztf_20210113180683_000452_zg_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1473,42,452,26.175199508666992,3.273029869887978e-05,0.0345379002392292,-0.05768179893493652,4.6229801228037104e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abpkoou
2459229.6310417,2,1475131044215,19.987699508666992,/ztf/archive/sci/2021/0115/131042/ztf_20210115131042_000452_zr_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1475,42,452,26.407899856567383,2.072380084428005e-05,0.027884699404239655,0.1278890073299408,2.6499899831833318e-05,t17_f5_c3,1.475131044215015e+18,t,3.0,2928.570068359375,734.406982421875,38.5683604,5.31197,19.952899932861328,0.22199200093746185,0.7384560108184814,20.1427001953125,0.35249999165534973,0.08988799899816513,18.332000732421875,0.03400000184774399,1.562999963760376,0.1469999998807907,-0.20291399955749512,0.18978600203990936,2.059999942779541,0.7459999918937683,143.927001953125,-0.15500399470329285,1.575569987297058,0.9340000152587891,0.8090000152587891,0.4533979892730713,0.39271798729896545,1.1545100212097168,5.0,0.0,0.9171429872512817,0.9373869895935059,19.759899139404297,0.3160000145435333,38.5683613,5.3119403,6.71765,,,,ZTF19abpkoou
2459231.6301157,1,1477130114215,19.84480094909668,/ztf/archive/sci/2021/0117/130116/ztf_20210117130116_000452_zg_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1477,42,452,26.385400772094727,4.398270175443031e-05,0.03710699826478958,-0.04532279819250107,7.204499706858769e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abpkoou
2459231.6804745,2,1477180474215,20.077299118041992,/ztf/archive/sci/2021/0117/180428/ztf_20210117180428_000452_zr_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1477,42,452,26.401899337768555,2.41348006966291e-05,0.03001599945127964,0.11971600353717804,3.098359957220964e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abpkoou
2459233.6476968,1,1479147694215,20.274499893188477,/ztf/archive/sci/2021/0119/147685/ztf_20210119147685_000452_zg_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1479,42,452,26.388200759887695,2.5794499379117042e-05,0.031593598425388336,-0.0692719966173172,3.381810165592469e-05,t17_f5_c3,1.479147694215015e+18,t,2.0,2926.72998046875,766.0670166015625,38.56841,5.3118744,20.075199127197266,0.19158700108528137,1.3982900381088257,19.72480010986328,0.2393999993801117,0.4115450084209442,18.625,0.027000000700354576,1.1549999713897705,0.07599999755620956,-0.02791599929332733,-0.35037100315093994,1.2426400184631348,0.9480000138282776,145.76600646972656,0.5496940016746521,2.0,0.7549999952316284,0.6549999713897705,0.6075770258903503,0.5271030068397522,1.1526700258255005,4.0,0.0,0.949999988079071,0.9951339960098267,19.60449981689453,0.273499995470047,38.5683433,5.3119692,6.57143,,,,ZTF19abpkoou
2459233.7290856,2,1479229084215,19.891199111938477,/ztf/archive/sci/2021/0119/229074/ztf_20210119229074_000452_zr_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1479,42,452,26.3341007232666,2.0482000763877295e-05,0.028271900489926338,0.13187800347805023,2.6545800210442394e-05,t17_f5_c3,1.479229084215015e+18,t,2.0,2908.530029296875,721.5980224609375,38.5683166,5.3119487,20.153099060058594,0.2567720115184784,0.9841520190238953,20.233299255371094,0.48910000920295715,0.16114600002765656,18.332000732421875,0.03400000184774399,1.562999963760376,0.1469999998807907,0.37622299790382385,0.0801829993724823,1.3764699697494507,0.8059999942779541,163.9669952392578,-0.34214499592781067,2.0,0.7900000214576721,0.7570000290870667,0.5739319920539856,0.5499569773674011,1.0435899496078491,7.0,0.0,0.9071429967880249,0.8608099818229675,19.75349998474121,0.40220001339912415,38.5683613,5.3119403,5.70708,,,,ZTF19abpkoou
2459249.6249884,1,1495124984215,18.033100128173828,/ztf/archive/sci/2021/0204/124977/ztf_20210204124977_000452_zg_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1495,42,452,24.679399490356445,0.00019427499501034617,0.044240400195121765,-0.03574400022625923,0.00041786598740145564,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abpkoou
2459249.6873611,2,1495187364215,19.78070068359375,/ztf/archive/sci/2021/0204/187350/ztf_20210204187350_000452_zr_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1495,42,452,26.320499420166016,2.377880082349293e-05,0.03049979917705059,0.12742100656032562,3.092579936492257e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abpkoou
2459251.6857639,2,1497185764215,19.984100341796875,/ztf/archive/sci/2021/0206/185764/ztf_20210206185764_000452_zr_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1497,42,452,26.36319923400879,1.8102100511896424e-05,0.02654160000383854,0.1318580061197281,2.352619958401192e-05,t17_f5_c3,1.497185764215015e+18,t,1.0,2894.919921875,724.2050170898438,38.5683391,5.3117986,20.0231990814209,0.20970599353313446,1.4444299936294556,20.11750030517578,0.3986999988555908,0.5085980296134949,18.332000732421875,0.03400000184774399,1.562999963760376,0.1469999998807907,-0.21434199810028076,0.09426599740982056,1.850000023841858,0.7319999933242798,177.5760040283203,-0.13342000544071198,1.5114500522613525,0.6690000295639038,0.578000009059906,0.36162200570106506,0.3124319911003113,1.157439947128296,9.0,0.0,0.88857102394104,0.7507110238075256,19.78849983215332,0.37630000710487366,38.5683613,5.3119403,6.46554,,,,ZTF19abpkoou
2459253.6519329,2,1499151934215,20.0664005279541,/ztf/archive/sci/2021/0208/151921/ztf_20210208151921_000452_zr_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1499,42,452,26.305400848388672,1.7182699593831785e-05,0.025392500683665276,0.12636199593544006,2.1991099856677465e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abpkoou
2459253.6864352,1,1499186434215,20.191999435424805,/ztf/archive/sci/2021/0208/186435/ztf_20210208186435_000452_zg_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1499,42,452,26.261199951171875,2.3934799173730426e-05,0.0305464006960392,-0.05822020024061203,3.240309888496995e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abpkoou
2459255.7036458,1,1501203644215,19.352100372314453,/ztf/archive/sci/2021/0210/203646/ztf_20210210203646_000452_zg_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1501,42,452,25.492799758911133,0.0002481160045135766,0.08758539706468582,-0.04203220084309578,0.00041271100053563714,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abpkoou
2459204.697419,2,1450197414215,20.03700065612793,/ztf/archive/sci/2020/1221/197419/ztf_20201221197419_000452_zr_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1450,42,452,26.404199600219727,1.7588899936527014e-05,0.025749700143933296,0.12768800556659698,2.261580084450543e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abpkoou
2459204.7531366,1,1450253134215,19.828800201416016,/ztf/archive/sci/2020/1221/253137/ztf_20201221253137_000452_zg_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1450,42,452,26.37849998474121,4.800930037163198e-05,0.03994059935212135,-0.03978779911994934,7.454749720636755e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abpkoou
2459206.7357407,2,1452235744215,18.0,/ztf/archive/sci/2020/1223/235741/ztf_20201223235741_000452_zr_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1452,42,452,25.489099502563477,0.00011701999756041914,0.050659701228141785,0.09140300005674362,0.00017282400222029537,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abpkoou
2459206.8284722,1,1452328474215,16.932600021362305,/ztf/archive/sci/2020/1223/328426/ztf_20201223328426_000452_zg_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1452,42,452,24.246000289916992,0.0011165799805894494,0.04754079878330231,-0.02005779929459095,0.0028278199024498463,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abpkoou
2459210.7109491,1,1456210944215,19.27910041809082,/ztf/archive/sci/2020/1227/210938/ztf_20201227210938_000452_zg_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1456,42,452,26.40060043334961,5.3452800784725696e-05,0.038129501044750214,-0.02543029934167862,9.17883007787168e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abpkoou
2459210.8028009,2,1456302804215,19.424299240112305,/ztf/archive/sci/2020/1227/302789/ztf_20201227302789_000452_zr_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1456,42,452,26.382699966430664,2.365160071349237e-05,0.030361000448465347,0.11766000092029572,3.066279896302149e-05,t17_f5_c3,1.456302804215015e+18,t,2.0,2897.659912109375,718.6599731445312,38.5683357,5.311916,19.885700225830078,0.24049000442028046,1.1602400541305542,19.694499969482422,0.5056999921798706,0.1218319982290268,18.332000732421875,0.03400000184774399,1.562999963760376,0.1469999998807907,0.5009310245513916,-0.19121100008487701,1.2324299812316895,0.9610000252723694,174.84500122070312,-0.27017900347709656,2.0,0.6600000262260437,0.6269999742507935,0.5355250239372253,0.5087490081787109,1.0526299476623535,7.0,0.0,0.8785709738731384,0.7647089958190918,19.81329917907715,0.723800003528595,38.5683613,5.3119403,5.16749,,,,ZTF19abpkoou
2459216.6852778,1,1462185274215,19.576799392700195,/ztf/archive/sci/2021/0102/185231/ztf_20210102185231_000452_zg_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1462,42,452,26.083900451660156,3.806859967880882e-05,0.03600409999489784,-0.06712640076875687,5.970089841866866e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abpkoou
