jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459739.9407407,2,1985440743115,20.704099655151367,/ztf/archive/sci/2022/0609/440741/ztf_20220609440741_000441_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1985,31,441,26.259000778198242,1.6857900391187286e-06,0.019728099927306175,0.09743030369281769,3.3084199912991608e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abrhmfl
2459741.879838,2,1987379833115,19.81279945373535,/ztf/archive/sci/2022/0611/379838/ztf_20220611379838_000441_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1987,31,441,26.15049934387207,3.109900035269675e-06,0.026660099625587463,0.10624799877405167,6.120500074757729e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abrhmfl
2459743.9220255,1,1989422023115,19.456600189208984,/ztf/archive/sci/2022/0613/422014/ztf_20220613422014_000441_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1989,31,441,26.300100326538086,8.84040036908118e-06,0.03792469948530197,-0.08726049959659576,2.1188399841776118e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abrhmfl
2459749.8688773,2,1995368873115,19.66900062561035,/ztf/archive/sci/2022/0619/368866/ztf_20220619368866_000441_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1995,31,441,26.259300231933594,2.881720092773321e-06,0.025672800838947296,0.09758999943733215,5.667569894285407e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abrhmfl
2459749.9202894,1,1995420283115,19.69409942626953,/ztf/archive/sci/2022/0619/420289/ztf_20220619420289_000441_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1995,31,441,26.28030014038086,6.331300028250553e-06,0.0343593992292881,-0.08980110287666321,1.4436600395129062e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abrhmfl
2459751.919294,2,1997419293115,20.389299392700195,/ztf/archive/sci/2022/0621/419294/ztf_20220621419294_000441_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1997,31,441,26.257600784301758,1.989270003832644e-06,0.021249400451779366,0.09932470321655273,3.9159899642982055e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abrhmfl
2459753.9227662,1,1999422763115,20.49530029296875,/ztf/archive/sci/2022/0623/422766/ztf_20220623422766_000441_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1999,31,441,26.226600646972656,3.078740064665908e-06,0.026648299768567085,-0.06623529642820358,6.058649887563661e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abrhmfl
2459753.9573727,2,1999457373115,20.592300415039062,/ztf/archive/sci/2022/0623/457350/ztf_20220623457350_000441_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1999,31,441,26.23819923400879,1.7992799712374108e-06,0.020312100648880005,0.09090670198202133,3.538209966791328e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abrhmfl
2459756.8936574,2,2002393653115,20.632600784301758,/ztf/archive/sci/2022/0626/393657/ztf_20220626393657_000441_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2002,31,441,26.278600692749023,1.7657499711276614e-06,0.02017120085656643,0.09888319671154022,3.4620600217749598e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abrhmfl
2459756.9409144,1,2002440913115,20.67609977722168,/ztf/archive/sci/2022/0626/440914/ztf_20220626440914_000441_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2002,31,441,26.287599563598633,2.376219981670147e-06,0.02334669977426529,-0.0787276029586792,4.687629825639306e-06,t17_f5_c3,2.002440913115015e+18,t,4.0,2805.14990234375,611.60400390625,316.8603292,-3.7597509,20.13159942626953,0.18436299264431,1.115280032157898,19.87380027770996,0.18780000507831573,0.23016700148582458,19.19300079345703,0.028999999165534973,1.350000023841858,0.09799999743700027,-0.08013500273227692,-0.2577570080757141,2.509999990463257,0.9079999923706055,267.35198974609375,0.8022940158843994,1.010200023651123,0.8389999866485596,0.7250000238418579,0.33426299691200256,0.2888450026512146,1.1572400331497192,1.0,0.0,0.9542859792709351,1.0,20.117900848388672,0.2985999882221222,316.8602824,-3.759702,7.61131,ZTF19abrhmfl
2459758.8987963,2,2004398793115,18.522899627685547,/ztf/archive/sci/2022/0628/398796/ztf_20220628398796_000441_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2004,31,441,23.037099838256836,0.010921499691903591,0.6836130023002625,0.1676969975233078,0.021976599469780922,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abrhmfl
2459758.9185417,2,2004418543115,18.490999221801758,/ztf/archive/sci/2022/0628/418495/ztf_20220628418495_000441_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2004,31,441,23.067899703979492,0.010509200394153595,0.6768810153007507,0.0981677994132042,0.02025749906897545,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abrhmfl
2459760.8591551,2,2006359153115,18.34760093688965,/ztf/archive/sci/2022/0630/359144/ztf_20220630359144_000441_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2006,31,441,22.81529998779297,0.012989100068807602,0.7147660255432129,0.16930699348449707,0.02510249987244606,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abrhmfl
2459760.9134375,2,2006413433115,18.885299682617188,/ztf/archive/sci/2022/0630/413438/ztf_20220630413438_000441_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2006,31,441,23.242700576782227,0.009600729681551456,0.6812329888343811,-0.018539899960160255,0.018199199810624123,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abrhmfl
2459762.8657639,1,2008365763115,20.564800262451172,/ztf/archive/sci/2022/0702/365752/ztf_20220702365752_000441_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2008,31,441,26.309099197387695,2.8495599053712795e-06,0.025496099144220352,-0.11650200188159943,5.601630164164817e-06,t17_f5_c3,2.008365763115015e+18,t,3.0,2820.25,593.0239868164062,316.8602881,-3.7596825,20.179100036621094,0.16672199964523315,1.0467499494552612,20.34670066833496,0.29190000891685486,0.06549099832773209,19.19300079345703,0.028999999165534973,1.350000023841858,0.09799999743700027,0.17065900564193726,0.16757099330425262,1.3878899812698364,0.6819999814033508,252.2469940185547,0.21808700263500214,2.0,0.8420000076293945,0.7720000147819519,0.6066750288009644,0.5562379956245422,1.0906699895858765,4.0,0.0,0.9485710263252258,0.9563350081443787,20.214799880981445,0.329800009727478,316.8602824,-3.759702,6.25871,ZTF19abrhmfl
2459762.9414352,3,2008441433115,20.12980079650879,/ztf/archive/sci/2022/0702/441435/ztf_20220702441435_000441_zi_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2008,31,441,25.697799682617188,8.272539844256244e-07,0.019631899893283844,0.191553995013237,6.286270036071073e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abrhmfl
2459764.8742824,2,2010374283115,20.55109977722168,/ztf/archive/sci/2022/0704/374282/ztf_20220704374282_000441_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2010,31,441,26.290000915527344,1.4716499663336435e-06,0.018400199711322784,0.09227780252695084,2.8872800612589344e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abrhmfl
2459764.9006134,1,2010400613115,20.61949920654297,/ztf/archive/sci/2022/0704/400567/ztf_20220704400567_000441_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2010,31,441,26.31570053100586,2.8333299724181416e-06,0.025443099439144135,-0.11014000326395035,5.571269866777584e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19abrhmfl
