jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2459970.0657176,2,2215565714815,19.505300521850586,/ztf/archive/sci/2023/0125/565706/ztf_20230125565706_000486_zr_c13_o_q1_scimrefdiffimg.fits.fz,Prince,1,2.215565714815015e+18,t,14.0,2215,48,486,1571.6400146484375,1836.9000244140625,277.6179699,7.7851962,19.3341007232666,0.18319499492645264,0.9150599837303162,19.43560028076172,0.3474999964237213,2.266319990158081,19.91200065612793,0.041999999433755875,0.49000000953674316,-0.07400000095367432,-1.0989999771118164,0.10150600224733353,1.3094600439071655,0.9240000247955322,1243.5999755859375,0.0696989968419075,2.0,0.7639999985694885,0.6320000290870667,0.5834479928016663,0.4826430082321167,1.2088600397109985,5.0,0.0,0.5928570032119751,0.9701669812202454,19.432899475097656,0.44530001282691956,277.618576,7.7849805,5.07272,26.072099685668945,7.344130153796868e-06,0.024869099259376526,0.08869770169258118,1.492180035711499e-05,t17_f5_c3,ZTF19abxeoee
2459970.0681713,2,2215568174815,19.31599998474121,/ztf/archive/sci/2023/0125/568160/ztf_20230125568160_000486_zr_c13_o_q1_scimrefdiffimg.fits.fz,Prince,1,,,,2215,48,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.063100814819336,5.857109954376938e-06,0.0222012996673584,0.08780810236930847,1.1913300113519654e-05,t17_f5_c3,ZTF19abxeoee
2459970.070625,2,2215570624815,19.141799926757812,/ztf/archive/sci/2023/0125/570625/ztf_20230125570625_000486_zr_c13_o_q1_scimrefdiffimg.fits.fz,Prince,1,,,,2215,48,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.079099655151367,7.2089701461663935e-06,0.024592200294137,0.09001199901103973,1.4650599950982723e-05,t17_f5_c3,ZTF19abxeoee
2459970.0730903,2,2215573094815,19.008100509643555,/ztf/archive/sci/2023/0125/573079/ztf_20230125573079_000486_zr_c13_o_q1_scimrefdiffimg.fits.fz,Prince,1,,,,2215,48,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.073400497436523,9.555689757689834e-06,0.02831679955124855,0.088577501475811,1.9437600712990388e-05,t17_f5_c3,ZTF19abxeoee
2459970.075544,2,2215575544815,18.639699935913086,/ztf/archive/sci/2023/0125/575544/ztf_20230125575544_000486_zr_c13_o_q1_scimrefdiffimg.fits.fz,Prince,1,,,,2215,48,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0802001953125,1.43291999847861e-05,0.034764498472213745,0.09284500032663345,2.909050090238452e-05,t17_f5_c3,ZTF19abxeoee
2459972.0667245,2,2217566726115,18.94029998779297,/ztf/archive/sci/2023/0127/566725/ztf_20230127566725_000487_zr_c16_o_q2_scimrefdiffimg.fits.fz,Prince,1,2.2175667261150152e+18,1,56.0,2217,61,487,2787.56005859375,1808.4300537109375,277.6180257,7.7851863,17.96190071105957,0.12698599696159363,2.0474700927734375,18.004100799560547,0.09889999777078629,0.43122801184654236,21.145000457763672,0.16699999570846558,0.8259999752044678,-0.14300000667572021,-6.423190116882324,0.04217499867081642,4.769999980926514,0.9800000190734863,284.9440002441406,0.9362260103225708,0.8733659982681274,1.2949999570846558,1.1419999599456787,0.2714880108833313,0.23941299319267273,1.1339800357818604,1.0,0.0,0.6085709929466248,1.0,17.93939971923828,0.11949999630451202,277.6179315,7.7852638,10.3828,25.998899459838867,2.4398199457209557e-05,0.0448760986328125,0.09637539833784103,4.740479926113039e-05,t17_f5_c3,ZTF19abxeoee
2459972.0691204,2,2217569126115,18.95789909362793,/ztf/archive/sci/2023/0127/569109/ztf_20230127569109_000487_zr_c16_o_q2_scimrefdiffimg.fits.fz,Prince,1,2.217569126115015e+18,1,35.0,2217,61,487,2791.1298828125,1809.3800048828125,277.6178961,7.7851808,17.885700225830078,0.09876099973917007,1.2302700281143188,17.988800048828125,0.10649999976158142,0.3203890025615692,21.145000457763672,0.16699999570846558,0.8259999752044678,-0.14300000667572021,-5.03249979019165,0.10309000313282013,3.549999952316284,0.9829999804496765,281.3699951171875,0.9691259860992432,1.057129979133606,1.0859999656677246,1.059000015258789,0.3059149980545044,0.2983100116252899,1.0255000591278076,1.0,0.0,0.6842859983444214,1.0,17.936500549316406,0.13009999692440033,277.6179315,7.7852638,12.3261,26.010700225830078,2.0137000319664367e-05,0.04061570018529892,0.0997299998998642,3.912820102414116e-05,t17_f5_c3,ZTF19abxeoee
2459972.0715046,2,2217571506115,18.869800567626953,/ztf/archive/sci/2023/0127/571505/ztf_20230127571505_000487_zr_c16_o_q2_scimrefdiffimg.fits.fz,Prince,1,2.217571506115015e+18,1,21.0,2217,61,487,2793.60009765625,1810.1600341796875,277.6179542,7.7850887,17.851900100708008,0.11143899708986282,1.2275199890136719,17.791400909423828,0.10180000215768814,0.6276130080223083,21.145000457763672,0.16699999570846558,0.8259999752044678,-0.14300000667572021,-5.070079803466797,-0.060458000749349594,4.75,0.9810000061988831,278.9020080566406,1.0784000158309937,0.7459689974784851,1.312999963760376,1.0509999990463257,0.2764210104942322,0.22126300632953644,1.2492899894714355,0.0,0.0,0.552856981754303,1.0,17.96150016784668,0.1525000035762787,277.6179315,7.7852638,13.436,26.009899139404297,1.64321008924162e-05,0.0365108996629715,0.10439199954271317,3.206510154996067e-05,t17_f5_c3,ZTF19abxeoee
2459972.0667245,2,2217566726115,18.94029998779297,/ztf/archive/sci/2023/0127/566725/ztf_20230127566725_000487_zr_c16_o_q2_scimrefdiffimg.fits.fz,Prince,1,2.2175667261150152e+18,t,56.0,2217,61,487,2787.56005859375,1808.4300537109375,277.6180257,7.7851863,17.96190071105957,0.12698599696159363,2.0474700927734375,18.004100799560547,0.09889999777078629,0.43122801184654236,21.145000457763672,0.16699999570846558,0.8259999752044678,-0.14300000667572021,-6.423190116882324,0.04217499867081642,4.769999980926514,0.9800000190734863,284.9440002441406,0.9362260103225708,0.8733659982681274,1.2949999570846558,1.1419999599456787,0.2714880108833313,0.23941299319267273,1.1339800357818604,1.0,0.0,0.6085709929466248,1.0,17.93939971923828,0.11949999630451202,277.6179315,7.7852638,10.3828,25.998899459838867,2.4398199457209557e-05,0.0448760986328125,0.09637539833784103,4.740479926113039e-05,t17_f5_c3,ZTF19abxeoee
2459972.0691204,2,2217569126115,18.95789909362793,/ztf/archive/sci/2023/0127/569109/ztf_20230127569109_000487_zr_c16_o_q2_scimrefdiffimg.fits.fz,Prince,1,2.217569126115015e+18,t,35.0,2217,61,487,2791.1298828125,1809.3800048828125,277.6178961,7.7851808,17.885700225830078,0.09876099973917007,1.2302700281143188,17.988800048828125,0.10649999976158142,0.3203890025615692,21.145000457763672,0.16699999570846558,0.8259999752044678,-0.14300000667572021,-5.03249979019165,0.10309000313282013,3.549999952316284,0.9829999804496765,281.3699951171875,0.9691259860992432,1.057129979133606,1.0859999656677246,1.059000015258789,0.3059149980545044,0.2983100116252899,1.0255000591278076,1.0,0.0,0.6842859983444214,1.0,17.936500549316406,0.13009999692440033,277.6179315,7.7852638,12.3261,26.010700225830078,2.0137000319664367e-05,0.04061570018529892,0.0997299998998642,3.912820102414116e-05,t17_f5_c3,ZTF19abxeoee
2459972.0715046,2,2217571506115,18.869800567626953,/ztf/archive/sci/2023/0127/571505/ztf_20230127571505_000487_zr_c16_o_q2_scimrefdiffimg.fits.fz,Prince,1,2.217571506115015e+18,t,21.0,2217,61,487,2793.60009765625,1810.1600341796875,277.6179542,7.7850887,17.851900100708008,0.11143899708986282,1.2275199890136719,17.791400909423828,0.10180000215768814,0.6276130080223083,21.145000457763672,0.16699999570846558,0.8259999752044678,-0.14300000667572021,-5.070079803466797,-0.060458000749349594,4.75,0.9810000061988831,278.9020080566406,1.0784000158309937,0.7459689974784851,1.312999963760376,1.0509999990463257,0.2764210104942322,0.22126300632953644,1.2492899894714355,0.0,0.0,0.552856981754303,1.0,17.96150016784668,0.1525000035762787,277.6179315,7.7852638,13.436,26.009899139404297,1.64321008924162e-05,0.0365108996629715,0.10439199954271317,3.206510154996067e-05,t17_f5_c3,ZTF19abxeoee
2459972.0738889,2,2217573886115,18.71489906311035,/ztf/archive/sci/2023/0127/573889/ztf_20230127573889_000487_zr_c16_o_q2_scimrefdiffimg.fits.fz,Prince,1,2.217573886115015e+18,t,18.0,2217,61,487,2795.52001953125,1809.8800048828125,277.6178799,7.7851848,17.959800720214844,0.11890099942684174,1.4297300577163696,18.165599822998047,0.17080000042915344,0.3347350060939789,21.145000457763672,0.16699999570846558,0.8259999752044678,-0.14300000667572021,-3.696729898452759,0.20582999289035797,3.200000047683716,0.9819999933242798,276.97698974609375,0.5492510199546814,1.0699100494384766,0.9980000257492065,0.925000011920929,0.31187498569488525,0.2890619933605194,1.0789200067520142,0.0,0.0,0.7057139873504639,1.0,18.1387996673584,0.21400000154972076,277.6179315,7.7852638,11.4307,26.024799346923828,2.418469921394717e-05,0.04428200051188469,0.08707720041275024,4.707850166596472e-05,t17_f5_c3,ZTF19abxeoee
2459972.0762847,2,2217576286115,18.40049934387207,/ztf/archive/sci/2023/0127/576285/ztf_20230127576285_000487_zr_c16_o_q2_scimrefdiffimg.fits.fz,Prince,1,,,,2217,61,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0221004486084,3.0457800676231273e-05,0.04987160116434097,0.08961740136146545,5.9193400375079364e-05,t17_f5_c3,ZTF19abxeoee
2459973.0644329,2,2218564436115,19.166900634765625,/ztf/archive/sci/2023/0128/564421/ztf_20230128564421_000487_zr_c16_o_q2_scimrefdiffimg.fits.fz,Prince,1,2.2185644361150152e+18,1,72.0,2218,61,487,2789.719970703125,1863.75,277.6179258,7.7850688,17.635900497436523,0.09541799873113632,2.292289972305298,17.553699493408203,0.05730000138282776,0.6935349702835083,21.145000457763672,0.16699999570846558,0.8259999752044678,-0.14300000667572021,-6.317619800567627,-0.08224800229072571,4.409999847412109,0.9829999804496765,282.7799987792969,1.6131900548934937,0.8831899762153625,1.3869999647140503,1.2510000467300415,0.3145120143890381,0.2836729884147644,1.1087100505828857,0.0,0.0,0.6028569936752319,1.0,17.469200134277344,0.06780000030994415,277.6179315,7.7852638,15.5314,25.972900390625,1.253139998880215e-05,0.032144900411367416,0.10903000086545944,2.4439699700451456e-05,t17_f5_c3,ZTF19abxeoee
2459973.066794,2,2218566796115,19.34760093688965,/ztf/archive/sci/2023/0128/566794/ztf_20230128566794_000487_zr_c16_o_q2_scimrefdiffimg.fits.fz,Prince,1,2.2185667961150152e+18,1,42.0,2218,61,487,2792.139892578125,1863.8900146484375,277.6179241,7.7851451,17.644100189208984,0.06516599655151367,2.189840078353882,17.62579917907715,0.06260000169277191,0.4357909858226776,21.145000457763672,0.16699999570846558,0.8259999752044678,-0.14300000667572021,-4.179759979248047,-0.018306000158190727,3.690000057220459,0.9829999804496765,280.3580017089844,1.7217600345611572,0.8748270273208618,1.0989999771118164,1.0069999694824219,0.29783201217651367,0.2728999853134155,1.0913599729537964,0.0,0.0,0.7442860007286072,1.0,17.511899948120117,0.07199999690055847,277.6179315,7.7852638,20.1329,26.010099411010742,6.487749942607479e-06,0.022890599444508553,0.09704150259494781,1.2713700016320217e-05,t17_f5_c3,ZTF19abxeoee
2459973.0691667,2,2218569166115,19.2992000579834,/ztf/archive/sci/2023/0128/569155/ztf_20230128569155_000487_zr_c16_o_q2_scimrefdiffimg.fits.fz,Prince,1,2.218569166115015e+18,1,27.0,2218,61,487,2793.6201171875,1864.300048828125,277.6179521,7.7851347,17.667400360107422,0.08303099870681763,3.133780002593994,17.680200576782227,0.0714000016450882,0.4645420014858246,21.145000457763672,0.16699999570846558,0.8259999752044678,-0.14300000667572021,-2.9612200260162354,0.01278000045567751,3.5899999141693115,0.9829999804496765,278.8800048828125,1.6190099716186523,0.8636130094528198,1.0219999551773071,0.902999997138977,0.28468000888824463,0.2515319883823395,1.1317800283432007,1.0,0.0,0.7814289927482605,1.0,17.69409942626953,0.09239999949932098,277.6179315,7.7852638,18.9757,26.016399383544922,7.542999810539186e-06,0.0249170009046793,0.098014697432518,1.4745500266144518e-05,t17_f5_c3,ZTF19abxeoee
