jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,ssdistnr,ssmagnr,ssnamenr,obj_id
2460182.8396644,2,2428339662315,20.585500717163086,/ztf/archive/sci/2023/0826/339641/ztf_20230826339641_000549_zr_c06_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.428339662315015e+18,t,7.0,2428,23,549,1500.18994140625,3021.800048828125,356.2273925,9.9424552,19.42020034790039,0.1164029985666275,2.1449100971221924,19.210899353027344,0.11879999935626984,0.5042870044708252,18.990999221801758,0.02800000086426735,1.274999976158142,0.14000000059604645,0.3865709900856018,-0.2092610001564026,2.630000114440918,0.9779999852180481,58.69660186767578,1.3745499849319458,0.9075149893760681,0.8399999737739563,0.6980000138282776,0.31939199566841125,0.2653990089893341,1.2034399509429932,2.0,0.0,0.8899999856948853,1.0,19.179399490356445,0.14669999480247498,356.2275358,9.9424417,12.9575,26.37820053100586,1.2349300050118472e-05,0.028079800307750702,0.10024400055408478,1.690319913905114e-05,t17_f5_c3,,,,ZTF19abxsyyw
2460182.9056366,1,2428405632315,20.77739906311035,/ztf/archive/sci/2023/0826/405625/ztf_20230826405625_000549_zg_c06_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2428,23,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.402599334716797,4.340579835115932e-05,0.05295100063085556,-0.1382099986076355,6.138499884400517e-05,t17_f5_c3,,,,ZTF19abxsyyw
2460184.7739352,3,2430273932315,19.487699508666992,/ztf/archive/sci/2023/0828/273935/ztf_20230828273935_000549_zi_c06_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2430,23,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.77910041809082,3.881470092892414e-06,0.02453709952533245,0.1957090049982071,1.4703699889651034e-05,t17_f5_c3,,,,ZTF19abxsyyw
2460184.9657755,2,2430465772315,20.547100067138672,/ztf/archive/sci/2023/0828/465741/ztf_20230828465741_000549_zr_c06_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.430465772315015e+18,t,10.0,2430,23,549,1494.1199951171875,3032.139892578125,356.2274734,9.9424852,19.326499938964844,0.11800900101661682,1.6246399879455566,19.268800735473633,0.131400004029274,0.2674899995326996,18.990999221801758,0.02800000086426735,1.274999976158142,0.14000000059604645,0.030486999079585075,-0.05769599974155426,2.140000104904175,0.9819999933242798,48.357200622558594,1.2783299684524536,1.099120020866394,0.7900000214576721,0.6650000214576721,0.3691590130329132,0.31074801087379456,1.1879700422286987,4.0,0.0,0.9085710048675537,0.9887080192565918,19.21179962158203,0.15850000083446503,356.2275358,9.9424417,10.6609,26.361499786376953,1.152119966718601e-05,0.02752380073070526,0.10948699712753296,1.588220038684085e-05,t17_f5_c3,,,,ZTF19abxsyyw
2460185.8538542,2,2431353853615,19.855100631713867,/ztf/archive/sci/2023/0829/353843/ztf_20230829353843_001544_zr_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2431,36,1544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.313199996948242,1.634900036151521e-05,0.029953399673104286,0.1220880001783371,2.084680090774782e-05,t17_f5_c3,,,,ZTF19abxsyyw
2460185.8543287,2,2431354323615,19.916099548339844,/ztf/archive/sci/2023/0829/354329/ztf_20230829354329_001544_zr_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,2.431354323615015e+18,t,0.0,2431,36,1544,2603.22998046875,136.08299255371094,356.2275816,9.9424183,19.321300506591797,0.12081900238990784,1.5752400159835815,19.328800201416016,0.25360000133514404,0.1692190021276474,18.959999084472656,0.028999999165534973,1.2309999465942383,0.12700000405311584,-0.38996198773384094,0.007511000148952007,1.600000023841858,0.9779999852180481,136.08299255371094,0.587323009967804,1.3995800018310547,0.6340000033378601,0.5350000262260437,0.39625000953674316,0.3343749940395355,1.1850500106811523,5.0,0.0,0.9100000262260437,0.9472500085830688,19.194499969482422,0.2872999906539917,356.2275418,9.9424454,8.43816,26.29829978942871,1.349220019619679e-05,0.027141399681568146,0.12588100135326385,1.720120053505525e-05,t17_f5_c3,,,,ZTF19abxsyyw
2460186.8406829,2,2432340683615,19.5093994140625,/ztf/archive/sci/2023/0830/340683/ztf_20230830340683_001544_zr_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2.432340683615015e+18,t,0.0,2432,36,1544,2625.320068359375,137.9080047607422,356.2275718,9.9424512,19.28510093688965,0.12964500486850739,1.1518399715423584,19.603500366210938,0.45739999413490295,0.10691899806261063,18.959999084472656,0.028999999165534973,1.2309999465942383,0.12700000405311584,-2.515860080718994,0.31841400265693665,2.5199999809265137,0.9319999814033508,137.9080047607422,-0.09411100298166275,0.9183400273323059,0.656000018119812,0.5960000157356262,0.26031699776649475,0.23650799691677094,1.1006699800491333,6.0,0.0,0.9071429967880249,0.9279829859733582,19.569900512695312,0.5694000124931335,356.2275418,9.9424454,7.24044,26.27910041809082,1.9911900380975567e-05,0.03282570093870163,0.12556500732898712,2.524350020394195e-05,t17_f5_c3,,,,ZTF19abxsyyw
2460186.8411574,2,2432341153615,19.481700897216797,/ztf/archive/sci/2023/0830/341146/ztf_20230830341146_001544_zr_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,,,,2432,36,1544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.282400131225586,2.0143899746472016e-05,0.032857298851013184,0.12296900153160095,2.5534000087645836e-05,t17_f5_c3,,,,ZTF19abxsyyw
2460186.946713,1,2432446712315,19.278499603271484,/ztf/archive/sci/2023/0830/446701/ztf_20230830446701_000549_zg_c06_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2432,23,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.353500366210938,2.2718499167240225e-05,0.03226820006966591,-0.03343009948730469,4.1973598854383454e-05,t17_f5_c3,,,,ZTF19abxsyyw
2460187.8838079,2,2433383803615,19.01849937438965,/ztf/archive/sci/2023/0831/383715/ztf_20230831383715_001544_zr_c10_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2433,36,1544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.28350067138672,3.0429899197770283e-05,0.03988790139555931,0.13060300052165985,3.915670095011592e-05,t17_f5_c3,,,,ZTF19abxsyyw
