jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2459860.7893171,1,2106289313115,19.65369987487793,/ztf/archive/sci/2022/1008/289317/ztf_20221008289317_001773_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2.10628931311501e+18,f,13.0,2106,31,1773,1483.7099609375,2000.5999755859375,355.1564974,42.5910418,18.047800064086914,0.05801200121641159,10.852800369262695,18.023399353027344,0.09179999679327011,0.040251001715660095,18.054000854492188,0.014999999664723873,0.2939999997615814,-0.020999999716877937,-0.5630599856376648,-0.024361999705433846,2.200000047683716,0.9990000128746033,1079.9000244140625,1.6303399801254272,1.0740100145339966,0.6669999957084656,0.5759999752044678,0.3031820058822632,0.261817991733551,1.1579899787902832,4.0,0.0,0.9228569865226746,0.9934660196304321,18.039600372314453,0.11949999630451202,355.1565157,42.5910431,36.9502,26.31679916381836,6.479249805124709e-06,0.03526740148663521,-0.08142080157995224,1.4182000086293556e-05,t17_f5_c3,ZTF19abzpkss
2459861.8389931,2,2107338993115,19.633100509643555,/ztf/archive/sci/2022/1009/338715/ztf_20221009338715_001773_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2107,31,1773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.270599365234375,3.393239921933855e-06,0.02689809910953045,0.086415596306324,7.037880095595028e-06,t17_f5_c3,ZTF19abzpkss
2459866.8074537,1,2112307453115,19.92460060119629,/ztf/archive/sci/2022/1014/307454/ztf_20221014307454_001773_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2.11230745311501e+18,f,14.0,2112,31,1773,1481.9000244140625,2039.4100341796875,355.1565011,42.591031,18.064699172973633,0.05207600072026253,4.909749984741211,18.037200927734375,0.06599999964237213,0.05169299989938736,18.054000854492188,0.014999999664723873,0.2939999997615814,-0.020999999716877937,0.01271000038832426,-0.02748899906873703,2.259999990463257,0.9829999804496765,1041.0899658203125,1.887410044670105,1.1566799879074097,0.843999981880188,0.7509999871253967,0.37345099449157715,0.33230099081993103,1.123829960823059,0.0,0.0,0.9399999976158142,1.0,17.9414005279541,0.07729999721050262,355.1565157,42.5910431,39.789,26.279699325561523,5.100479938846547e-06,0.0326383002102375,-0.0356643982231617,1.0697000107029453e-05,t17_f5_c3,ZTF19abzpkss
2459867.7859028,1,2113285903115,20.121299743652344,/ztf/archive/sci/2022/1015/285903/ztf_20221015285903_001773_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2.11328590311501e+18,f,5.0,2113,31,1773,1475.780029296875,2039.280029296875,355.1564899,42.591036,18.062999725341797,0.04561600089073181,7.048369884490967,18.049699783325195,0.0568000003695488,0.06946899741888046,18.054000854492188,0.014999999664723873,0.2939999997615814,-0.020999999716877937,0.33331799507141113,-0.013268999755382538,2.190000057220459,0.984000027179718,1041.219970703125,2.071579933166504,1.175860047340393,0.7570000290870667,0.6919999718666077,0.345661997795105,0.31598201394081116,1.0939300060272217,1.0,0.0,0.9585710167884827,1.0,18.09760093688965,0.07580000162124634,355.1565157,42.5910431,46.0026,26.242000579833984,4.716030161944218e-06,0.031679801642894745,-0.07677490264177322,9.813599717745092e-06,t17_f5_c3,ZTF19abzpkss
2459874.7834954,2,2120283493115,20.842500686645508,/ztf/archive/sci/2022/1022/283495/ztf_20221022283495_001773_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2120,31,1773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.278799057006836,1.7981300288738566e-06,0.019506700336933136,0.08108299970626831,3.7295098991307896e-06,t17_f5_c3,ZTF19abzpkss
2459880.6559722,2,2126155973115,20.711599349975586,/ztf/archive/sci/2022/1028/155972/ztf_20221028155972_001773_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2126,31,1773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.298999786376953,1.975859959202353e-06,0.020400099456310272,0.0816517025232315,4.113060185773065e-06,t17_f5_c3,ZTF19abzpkss
2459880.7708565,1,2126270853115,20.65760040283203,/ztf/archive/sci/2022/1028/270856/ztf_20221028270856_001773_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2.12627085311501e+18,f,16.0,2126,31,1773,1464.780029296875,2058.909912109375,355.156503,42.5910349,18.058300018310547,0.047235000878572464,9.502349853515625,18.017200469970703,0.03480000048875809,0.0369580015540123,18.054000854492188,0.014999999664723873,0.2939999997615814,-0.020999999716877937,0.08623100072145462,-0.04106000065803528,2.2100000381469727,0.9829999804496765,1021.5900268554688,2.640439987182617,1.156309962272644,0.7490000128746033,0.7400000095367432,0.33891400694847107,0.3348419964313507,1.0121599435806274,0.0,0.0,0.945713996887207,1.0,18.025400161743164,0.04439999908208847,355.1565157,42.5910431,67.2679,26.312299728393555,2.632509904287872e-06,0.023657899349927902,-0.07259319722652435,5.472089924296597e-06,t17_f5_c3,ZTF19abzpkss
2459882.6723264,1,2128172323115,20.732099533081055,/ztf/archive/sci/2022/1030/172280/ztf_20221030172280_001773_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2.12817232311501e+18,f,17.0,2128,31,1773,1465.68994140625,2049.2099609375,355.1565032,42.5910377,18.031200408935547,0.041145000606775284,27.680599212646484,17.99180030822754,0.03440000116825104,0.03242100030183792,18.054000854492188,0.014999999664723873,0.2939999997615814,-0.020999999716877937,0.01823600009083748,-0.03937000036239624,1.8200000524520874,0.984000027179718,1031.2900390625,2.7403500080108643,1.2967900037765503,0.6740000247955322,0.6520000100135803,0.37033000588417053,0.358242005109787,1.0337400436401367,0.0,0.0,0.9342859983444214,1.0,18.01219940185547,0.04439999908208847,355.1565157,42.5910431,64.5622,26.29520034790039,2.5338299565191846e-06,0.023394400253891945,-0.059060800820589066,5.24653978573042e-06,t17_f5_c3,ZTF19abzpkss
2459887.7694444,1,2133269443115,19.65180015563965,/ztf/archive/sci/2022/1104/269410/ztf_20221104269410_001773_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2.13326944311501e+18,f,15.0,2133,31,1773,1447.699951171875,2069.669921875,355.1565068,42.5910181,18.08060073852539,0.06289900094270706,2.9820499420166016,18.0408992767334,0.0681999996304512,0.0847100019454956,18.054000854492188,0.014999999664723873,0.2939999997615814,-0.020999999716877937,0.8862370252609253,-0.03965499997138977,3.509999990463257,0.9810000061988831,1010.8300170898438,1.6109100580215454,0.9274600148200989,1.0329999923706055,0.9890000224113464,0.29430198669433594,0.28176599740982056,1.0444899797439575,0.0,0.0,0.9085710048675537,1.0,18.106700897216797,0.09279999881982803,355.1565157,42.5910431,34.94,26.314599990844727,9.700450391392224e-06,0.0409574992954731,-0.07578670233488083,2.2394300685846247e-05,t17_f5_c3,ZTF19abzpkss
2458721.8215972,2,967321595415,19.2992000579834,/ztf/archive/sci/2019/0826/321528/ztf_20190826321528_000735_zr_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,967,54,735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.223800659179688,1.2191499990876764e-05,0.0520671010017395,0.07570009678602219,2.5067500246223062e-05,t17_f5_c3,ZTF19abzpkss
2458722.9563657,1,968456363115,20.850000381469727,/ztf/archive/sci/2019/0827/456273/ztf_20190827456273_001773_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,968,31,1773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.15220069885254,2.6099000933754724e-06,0.023323800414800644,-0.08508750051259995,5.389059879234992e-06,t17_f5_c3,ZTF19abzpkss
2458723.926875,1,969426873115,20.8971004486084,/ztf/archive/sci/2019/0828/426875/ztf_20190828426875_001773_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,969,31,1773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.162799835205078,2.5634099074522965e-06,0.02303149923682213,-0.08595260232686996,5.306999810272828e-06,t17_f5_c3,ZTF19abzpkss
2458724.8817245,2,970381723115,20.497400283813477,/ztf/archive/sci/2019/0829/381725/ztf_20190829381725_001773_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,970,31,1773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.139699935913086,1.9647900444397237e-06,0.020194299519062042,0.09792420268058777,4.053249995195074e-06,t17_f5_c3,ZTF19abzpkss
