jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458721.8164815,2,967316481715,19.805599212646484,/ztf/archive/sci/2019/0826/316482/ztf_20190826316482_000599_zr_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,967,17,599,25.497299194335938,5.5844200687715784e-05,0.06948850303888321,0.08987849950790405,7.835919677745551e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acaxcwg
2458724.8775463,2,970377541715,20.58919906616211,/ztf/archive/sci/2019/0829/377523/ztf_20190829377523_000599_zr_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,970,17,599,26.13520050048828,6.770329946448328e-06,0.024269700050354004,0.10245399922132492,9.524350389256142e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acaxcwg
2458724.9228588,1,970422851715,20.672100067138672,/ztf/archive/sci/2019/0829/422847/ztf_20190829422847_000599_zg_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,970,17,599,26.11840057373047,7.439639830408851e-06,0.025467999279499054,-0.040921200066804886,1.0587000360828824e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acaxcwg
2458727.8268866,2,973326881715,20.679000854492188,/ztf/archive/sci/2019/0901/326887/ztf_20190901326887_000599_zr_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,973,17,599,26.10409927368164,6.632530130445957e-06,0.023972999304533005,0.11027000099420547,9.207499715557788e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acaxcwg
2458727.9008681,1,973400861715,20.811500549316406,/ztf/archive/sci/2019/0901/400833/ztf_20190901400833_000599_zg_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,973,17,599,26.13050079345703,6.602700068469858e-06,0.023903900757431984,-0.08202590048313141,9.335520189779345e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acaxcwg
2458730.8288194,1,976328811715,20.503700256347656,/ztf/archive/sci/2019/0904/328819/ztf_20190904328819_000599_zg_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,976,17,599,25.916400909423828,1.0638000276230741e-05,0.030428800731897354,-0.07270289957523346,1.5103800251381472e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acaxcwg
2458730.8811806,2,976381181715,20.556499481201172,/ztf/archive/sci/2019/0904/381181/ztf_20190904381181_000599_zr_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,976,17,599,26.097000122070312,7.729649951215833e-06,0.025936000049114227,0.11084900051355362,1.0820699571922887e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acaxcwg
2458733.8742245,1,979374221715,20.76219940185547,/ztf/archive/sci/2019/0907/374225/ztf_20190907374225_000599_zg_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,979,17,599,26.145999908447266,7.9597602962167e-06,0.026209300383925438,-0.06433849781751633,1.1248100236116443e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acaxcwg
2458733.8917245,2,979391721715,20.564199447631836,/ztf/archive/sci/2019/0907/391713/ztf_20190907391713_000599_zr_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,979,17,599,26.12779998779297,7.638210263394285e-06,0.02571210078895092,0.11211100220680237,1.0743399798229802e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acaxcwg
2458736.9169213,2,982416921715,20.22170066833496,/ztf/archive/sci/2019/0910/416910/ztf_20190910416910_000599_zr_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,982,17,599,26.126100540161133,6.7946398303320166e-06,0.024514900520443916,0.11814200133085251,9.565569598635193e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acaxcwg
2458736.9567708,1,982456771715,20.516199111938477,/ztf/archive/sci/2019/0910/456759/ztf_20190910456759_000599_zg_c05_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,982,17,599,26.127399444580078,1.4082100278756116e-05,0.034877900034189224,-0.07028239965438843,1.990020064113196e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acaxcwg
2458738.6742245,2,984174221715,19.07360076904297,/ztf/archive/sci/2019/0912/174225/ztf_20190912174225_000599_zr_c05_o_q2_scimrefdiffimg.fits.fz,TESS,1,984,17,599,26.05190086364746,2.165340083593037e-05,0.04291220009326935,0.12134499847888947,3.0492099540424533e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acaxcwg
2458738.7070718,1,984207071715,19.207300186157227,/ztf/archive/sci/2019/0912/207072/ztf_20190912207072_000599_zg_c05_o_q2_scimrefdiffimg.fits.fz,TESS,1,984,17,599,26.069499969482422,2.5983599698520266e-05,0.03857880085706711,-0.04072070121765137,4.893080040346831e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acaxcwg
2458739.6731366,2,985173131715,19.002700805664062,/ztf/archive/sci/2019/0913/173137/ztf_20190913173137_000599_zr_c05_o_q2_scimrefdiffimg.fits.fz,TESS,1,985,17,599,26.028499603271484,2.1657100660377182e-05,0.04308449849486351,0.13353300094604492,3.015100082848221e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acaxcwg
