jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458732.7326157,2,978232615915,20.265899658203125,/ztf/archive/sci/2019/0906/232616/ztf_20190906232616_000440_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,978,59,440,26.090200424194336,1.3297600389705622e-06,0.017576200887560844,0.07954730093479156,3.8362400118785445e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19accnqaq
2458732.8023727,1,978302375915,20.401899337768555,/ztf/archive/sci/2019/0906/302373/ztf_20190906302373_000440_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,978,59,440,26.13629913330078,1.6565300029469654e-06,0.01989939995110035,-0.02428779937326908,4.729110059997765e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19accnqaq
2458740.8540856,2,986354085915,18.914199829101562,/ztf/archive/sci/2019/0914/354074/ztf_20190914354074_000440_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,986,59,440,26.054500579833984,3.961360107496148e-06,0.030411899089813232,0.0738212987780571,1.131310000346275e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19accnqaq
2458743.7075231,1,989207525915,19.789400100708008,/ztf/archive/sci/2019/0917/207523/ztf_20190917207523_000440_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,989,59,440,26.082799911499023,2.83208009932423e-06,0.025999000295996666,-0.023725299164652824,8.082740350801032e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19accnqaq
2458747.7561227,2,993256125915,20.205400466918945,/ztf/archive/sci/2019/0921/256100/ztf_20190921256100_000440_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,993,59,440,26.104999542236328,9.94871015791432e-07,0.015207500196993351,0.0759975016117096,2.8799099709431175e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19accnqaq
2458747.8011921,1,993301195915,19.941999435424805,/ztf/archive/sci/2019/0921/301192/ztf_20190921301192_000440_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,993,59,440,26.078699111938477,2.54419001066708e-06,0.024640299379825592,-0.012355499900877476,7.277430086105596e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19accnqaq
2458750.7069213,1,996206925915,19.59269905090332,/ztf/archive/sci/2019/0924/206921/ztf_20190924206921_000440_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,996,59,440,26.11910057067871,9.249160029867198e-06,0.04489380121231079,-0.027533000335097313,2.6771900593303144e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19accnqaq
2458750.7539699,2,996253965915,19.921600341796875,/ztf/archive/sci/2019/0924/253970/ztf_20190924253970_000440_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,996,59,440,26.055599212646484,1.7181399698529276e-06,0.020005900412797928,0.07902979850769043,4.974930106982356e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19accnqaq
2458754.7061343,2,1000206135915,20.20330047607422,/ztf/archive/sci/2019/0928/206123/ztf_20190928206123_000440_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1000,59,440,26.133100509643555,1.0723799732659245e-06,0.01582139916718006,0.0729580968618393,3.0960200092522427e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19accnqaq
2458754.7540972,1,1000254095915,20.466699600219727,/ztf/archive/sci/2019/0928/254097/ztf_20190928254097_000440_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1000,59,440,26.15060043334961,2.10435996450542e-06,0.02230600081384182,-0.03084550052881241,6.042129825800657e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19accnqaq
2458757.6885764,1,1003188575915,20.533700942993164,/ztf/archive/sci/2019/1001/188148/ztf_20191001188148_000440_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1003,59,440,26.219200134277344,1.6353300225091516e-06,0.019499799236655235,-0.06295730173587799,4.718459877040004e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19accnqaq
2458732.8175926,3,978317595915,19.463300704956055,/ztf/archive/sci/2019/0906/317593/ztf_20190906317593_000440_zi_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,978,59,440,25.4060001373291,1.6430000187028782e-06,0.024760400876402855,0.2082349956035614,2.532439975766465e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19accnqaq
