jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458756.9305208,1,1002430521015,20.239299774169922,/ztf/archive/sci/2019/0930/430451/ztf_20190930430451_000813_zg_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1002,10,813,26.172000885009766,4.2940800994983874e-06,0.032116301357746124,-0.11613299697637558,8.756610441196244e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acjdufa
2458756.9921412,2,1002492141015,20.2898006439209,/ztf/archive/sci/2019/0930/492106/ztf_20190930492106_000813_zr_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1002,10,813,26.062299728393555,1.661549958953401e-06,0.02022089995443821,0.08724260330200195,3.3020598948496627e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acjdufa
2458759.9651505,1,1005465151015,20.55340003967285,/ztf/archive/sci/2019/1003/465081/ztf_20191003465081_000813_zg_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1005,10,813,26.19029998779297,3.1837200822337763e-06,0.028230199590325356,-0.09856560081243515,6.2979797803564e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acjdufa
2458759.9862384,2,1005486231015,20.31290054321289,/ztf/archive/sci/2019/1003/486215/ztf_20191003486215_000813_zr_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1005,10,813,26.079500198364258,1.442330017198401e-06,0.01893400028347969,0.08056280016899109,2.8570300401042914e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acjdufa
2458763.9663542,1,1009466351015,20.57349967956543,/ztf/archive/sci/2019/1007/466343/ztf_20191007466343_000813_zg_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1009,10,813,26.182300567626953,2.619600081743556e-06,0.025379199534654617,-0.08780000358819962,5.216899808146991e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acjdufa
2458764.0114815,2,1009511481015,20.361299514770508,/ztf/archive/sci/2019/1007/511481/ztf_20191007511481_000813_zr_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1009,10,813,26.067800521850586,1.6962900417638593e-06,0.0204096008092165,0.08623660355806351,3.4078400403814157e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acjdufa
2458766.9703819,1,1012470381015,20.686599731445312,/ztf/archive/sci/2019/1010/470347/ztf_20191010470347_000813_zg_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1012,10,813,26.189899444580078,2.7157700515090255e-06,0.0258737001568079,-0.09978649765253067,5.423590209829854e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acjdufa
2458767.0129398,2,1012512931015,20.283599853515625,/ztf/archive/sci/2019/1010/512940/ztf_20191010512940_000813_zr_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1012,10,813,26.072799682617188,1.4490400417344063e-06,0.01889129914343357,0.08271030336618423,2.8943500183231663e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acjdufa
2458769.9690972,2,1015469091015,19.705799102783203,/ztf/archive/sci/2019/1013/469097/ztf_20191013469097_000813_zr_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1015,10,813,26.04669952392578,2.3975499061634764e-06,0.024332400411367416,0.09753569960594177,4.780190010933438e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acjdufa
2458772.8229745,1,1018322971015,18.205900192260742,/ztf/archive/sci/2019/1016/322951/ztf_20191016322951_000813_zg_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1018,10,813,25.72450065612793,4.259220077074133e-05,0.042517099529504776,-0.055030301213264465,0.00013675200170837343,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acjdufa
