jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460013.7313773,2,2259231371815,19.342500686645508,/ztf/archive/sci/2023/0310/231366/ztf_20230310231366_000260_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.259231371815015e+18,t,8.0,2259,18,260,2242.10009765625,2806.35009765625,114.4870218,-25.9496958,17.739999771118164,0.062293000519275665,2.768249988555908,17.84309959411621,0.08349999785423279,0.11908800154924393,17.8700008392334,0.014999999664723873,0.2720000147819519,0.024000000208616257,-1.8741300106048584,0.10307300090789795,2.7699999809265137,0.984000027179718,274.1520080566406,1.4994100332260132,1.0703999996185303,0.8130000233650208,0.8100000023841858,0.29350200295448303,0.2924189865589142,1.0037000179290771,0.0,0.0,0.8899999856948853,1.0,17.83370018005371,0.10570000112056732,114.4869938,-25.9496694,21.1704,26.266000747680664,2.514849938961561e-06,0.01912130042910576,0.10278099775314331,5.82823986405856e-06,t17_f5_c3,ZTF19ackjjnb
2460013.752419,1,2259252411815,18.78860092163086,/ztf/archive/sci/2023/0310/252419/ztf_20230310252419_000260_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.259252411815015e+18,t,5.0,2259,18,260,2243.5400390625,2801.0400390625,114.4870791,-25.9497488,18.76110076904297,0.19588500261306763,1.0250600576400757,18.74880027770996,0.24740000069141388,0.4175029993057251,18.399999618530273,0.014999999664723873,0.46399998664855957,0.004000000189989805,-0.7429530024528503,-0.01233499962836504,4.460000038146973,0.8479999899864197,279.45599365234375,0.039838001132011414,0.8500760197639465,1.3910000324249268,1.2359999418258667,0.31188300251960754,0.27713000774383545,1.1253999471664429,1.0,0.0,0.5728570222854614,1.0,18.60420036315918,0.2777999937534332,114.4869786,-25.9496691,7.17031,26.10409927368164,1.2362300367385615e-05,0.04224789887666702,-0.0508681982755661,2.885670073737856e-05,t17_f5_c3,ZTF19ackjjnb
2460020.6631597,1,2266163151815,19.946300506591797,/ztf/archive/sci/2023/0317/163148/ztf_20230317163148_000260_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.266163151815015e+18,t,7.0,2266,18,260,2245.840087890625,2837.580078125,114.4870214,-25.9497131,18.960399627685547,0.1452919989824295,2.4597299098968506,18.724899291992188,0.11060000211000443,0.20487000048160553,18.399999618530273,0.014999999664723873,0.46399998664855957,0.004000000189989805,0.513903021812439,-0.23551499843597412,3.2899999618530273,0.9879999756813049,242.91600036621094,1.221369981765747,0.8901439905166626,1.0479999780654907,0.9520000219345093,0.3185409903526306,0.28936201333999634,1.1008399724960327,1.0,0.0,0.7557139992713928,1.0,18.694499969482422,0.13680000603199005,114.4869786,-25.9496691,14.3426,26.18939971923828,2.527149945308338e-06,0.01914460025727749,-0.08539470285177231,5.897909886698471e-06,t17_f5_c3,ZTF19ackjjnb
2460020.7338657,2,2266233861815,19.81329917907715,/ztf/archive/sci/2023/0317/233854/ztf_20230317233854_000260_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.266233861815015e+18,t,8.0,2266,18,260,2245.280029296875,2826.419921875,114.4870193,-25.9496848,17.867799758911133,0.06232900172472,9.809889793395996,17.87649917602539,0.0640999972820282,0.0917930006980896,17.8700008392334,0.014999999664723873,0.2720000147819519,0.024000000208616257,0.69691401720047,0.008698999881744385,2.430000066757202,0.984000027179718,254.0800018310547,1.9367899894714355,1.0787299871444702,0.7630000114440918,0.6690000295639038,0.3139919936656952,0.2753089964389801,1.1405099630355835,1.0,0.0,0.8999999761581421,1.0,17.827600479125977,0.0778999999165535,114.4869938,-25.9496694,25.6987,26.242799758911133,1.7751899576978758e-06,0.016010500490665436,0.09436120092868805,4.1270100155088585e-06,t17_f5_c3,ZTF19ackjjnb
2460030.651169,1,2276151161815,19.735599517822266,/ztf/archive/sci/2023/0327/151169/ztf_20230327151169_000260_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.276151161815015e+18,t,14.0,2276,18,260,2245.419921875,2847.52001953125,114.487066,-25.9496987,18.8164005279541,0.12505300343036652,2.4717700481414795,18.759700775146484,0.13600000739097595,0.2953360080718994,18.399999618530273,0.014999999664723873,0.46399998664855957,0.004000000189989805,0.6754890084266663,-0.056678999215364456,3.4600000381469727,0.9729999899864197,232.97999572753906,0.9758689999580383,0.8544729948043823,0.9350000023841858,0.8669999837875366,0.2702310085296631,0.25057798624038696,1.0784300565719604,2.0,0.0,0.8328570127487183,1.0,18.780099868774414,0.1768999993801117,114.4869786,-25.9496691,14.435,26.174400329589844,3.2398299936176045e-06,0.02156279981136322,-0.08419830352067947,7.573380116809858e-06,t17_f5_c3,ZTF19ackjjnb
2459992.6897338,1,2238189731815,16.805999755859375,/ztf/archive/sci/2023/0217/189583/ztf_20230217189583_000260_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2238,18,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.02680015563965,0.005673829931765795,0.07020139694213867,-0.19204400479793549,0.023326700553297997,t17_f5_c3,ZTF19ackjjnb
2459992.7109375,2,2238210931815,17.044099807739258,/ztf/archive/sci/2023/0217/210938/ztf_20230217210938_000260_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2238,18,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.513900756835938,6.765419675502926e-05,0.06921719759702682,0.0899420976638794,0.0001472709991503507,t17_f5_c3,ZTF19ackjjnb
2460036.6497106,1,2282149711815,19.375,/ztf/archive/sci/2023/0402/149699/ztf_20230402149699_000260_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.282149711815015e+18,1,6.0,2282,18,260,2262.669921875,2841.739990234375,114.4870062,-25.9497578,18.746599197387695,0.1488569974899292,1.7254199981689453,18.660200119018555,0.18199999630451202,0.33761098980903625,18.399999618530273,0.014999999664723873,0.46399998664855957,0.004000000189989805,0.7015179991722107,-0.08639100193977356,2.700000047683716,0.9819999933242798,238.76100158691406,0.7148339748382568,1.0289100408554077,0.8169999718666077,0.6899999976158142,0.3025929927825928,0.25555598735809326,1.184059977531433,5.0,0.0,0.7942860126495361,0.998166024684906,18.661399841308594,0.23330000042915344,114.4869786,-25.9496691,12.487,26.147600173950195,4.123360213270644e-06,0.02465689927339554,-0.06672129780054092,9.597700227459427e-06,t17_f5_c3,ZTF19ackjjnb
2459951.8142593,2,2197314251815,18.821500778198242,/ztf/archive/sci/2023/0107/314259/ztf_20230107314259_000260_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.197314251815015e+18,t,38.0,2197,18,260,2246.800048828125,2838.280029296875,114.4870154,-25.9496364,17.917800903320312,0.09454099833965302,1.481969952583313,18.069400787353516,0.13269999623298645,0.13616900146007538,17.8700008392334,0.014999999664723873,0.2720000147819519,0.024000000208616257,-3.6085100173950195,0.15163999795913696,3.819999933242798,0.9829999804496765,242.2169952392578,0.7520719766616821,0.9614869952201843,1.090999960899353,0.9980000257492065,0.28560200333595276,0.26125699281692505,1.0931899547576904,1.0,0.0,0.5928570032119751,1.0,17.95800018310547,0.15360000729560852,114.4869938,-25.9496694,13.2435,26.287799835205078,6.105430202296702e-06,0.02983199991285801,0.09738100320100784,1.4213100257620681e-05,t17_f5_c3,ZTF19ackjjnb
2459951.8360532,1,2197336051815,18.650999069213867,/ztf/archive/sci/2023/0107/336053/ztf_20230107336053_000260_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2197,18,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.21310043334961,1.708089985186234e-05,0.047738298773765564,-0.04761229828000069,4.086219996679574e-05,t17_f5_c3,ZTF19ackjjnb
2459957.8096875,2,2203309681815,19.638099670410156,/ztf/archive/sci/2023/0113/309688/ztf_20230113309688_000260_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.203309681815015e+18,t,17.0,2203,18,260,2253.469970703125,2823.0,114.4870085,-25.9497001,17.885099411010742,0.05914599820971489,5.48337984085083,17.838600158691406,0.0714000016450882,0.1207050010561943,17.8700008392334,0.014999999664723873,0.2720000147819519,0.024000000208616257,1.7969000339508057,-0.046463001519441605,2.309999942779541,0.9829999804496765,257.4989929199219,1.7995200157165527,1.1461900472640991,0.8149999976158142,0.7400000095367432,0.3528139889240265,0.32034599781036377,1.101349949836731,1.0,0.0,0.9100000262260437,1.0,17.871000289916992,0.09369999915361404,114.4869938,-25.9496694,28.1857,26.251100540161133,1.7679400343695306e-06,0.016008500009775162,0.09518229961395264,4.11848986914265e-06,t17_f5_c3,ZTF19ackjjnb
2459966.8157176,1,2212315711815,19.88789939880371,/ztf/archive/sci/2023/0122/315706/ztf_20230122315706_000260_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.212315711815015e+18,t,8.0,2212,18,260,2247.010009765625,2870.56005859375,114.4869837,-25.9497389,18.834800720214844,0.10671500116586685,1.8825500011444092,18.814300537109375,0.11909999698400497,0.24843500554561615,18.399999618530273,0.014999999664723873,0.46399998664855957,0.004000000189989805,0.03368699923157692,-0.02047000080347061,3.490000009536743,0.9890000224113464,209.93600463867188,1.0736500024795532,0.9011080265045166,0.9620000123977661,0.9549999833106995,0.275644987821579,0.2736389935016632,1.0073299407958984,1.0,0.0,0.8371430039405823,1.0,18.81909942626953,0.15209999680519104,114.4869786,-25.9496691,16.1823,26.23080062866211,3.3285700737906154e-06,0.022044500336050987,-0.07904659956693649,7.741289664409123e-06,t17_f5_c3,ZTF19ackjjnb
2459968.7661227,1,2214266121815,19.71430015563965,/ztf/archive/sci/2023/0124/266123/ztf_20230124266123_000260_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.214266121815015e+18,t,16.0,2214,18,260,2233.489990234375,2846.5,114.4870157,-25.9497108,18.8174991607666,0.13799500465393066,2.0050899982452393,18.700899124145508,0.10980000346899033,0.18968099355697632,18.399999618530273,0.014999999664723873,0.46399998664855957,0.004000000189989805,-1.0816500186920166,-0.1165900006890297,4.199999809265137,0.9760000109672546,234.0,1.013350009918213,0.847465991973877,1.1440000534057617,1.065999984741211,0.2723810076713562,0.25380998849868774,1.0731699466705322,0.0,0.0,0.7128570079803467,1.0,18.79599952697754,0.1526000052690506,114.4869786,-25.9496691,14.0873,26.21649932861328,4.386909949971596e-06,0.025214500725269318,-0.07592269778251648,1.0239199582429137e-05,t17_f5_c3,ZTF19ackjjnb
2459968.7728935,2,2214272891815,19.73710060119629,/ztf/archive/sci/2023/0124/272894/ztf_20230124272894_000260_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.214272891815015e+18,t,17.0,2214,18,260,2230.0400390625,2850.06005859375,114.4869747,-25.9496644,17.816099166870117,0.04827500134706497,1.1491600275039673,17.841800689697266,0.05290000140666962,0.06378199905157089,17.8700008392334,0.014999999664723873,0.2720000147819519,0.024000000208616257,-2.3099000453948975,0.02567099966108799,3.0799999237060547,0.9829999804496765,230.43899536132812,1.8952800035476685,1.0836900472640991,1.003999948501587,0.968999981880188,0.3259739875793457,0.31461000442504883,1.036120057106018,0.0,0.0,0.75142902135849,1.0,17.877199172973633,0.06909999996423721,114.4869938,-25.9496694,25.3203,26.300100326538086,2.5374299639224773e-06,0.0192182008177042,0.09348960220813751,5.882559889869299e-06,t17_f5_c3,ZTF19ackjjnb
2459969.8329398,2,2215332931815,19.699600219726562,/ztf/archive/sci/2023/0125/332928/ztf_20230125332928_000260_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.215332931815015e+18,t,14.0,2215,18,260,2248.02001953125,2892.85009765625,114.4870386,-25.9496803,18.204999923706055,0.06560300290584564,1.724910020828247,18.22439956665039,0.08139999955892563,0.14859500527381897,17.8700008392334,0.014999999664723873,0.2720000147819519,0.024000000208616257,-2.0289499759674072,0.019440999254584312,3.240000009536743,0.9829999804496765,187.64700317382812,1.4752399921417236,0.9675340056419373,0.9620000123977661,0.8700000047683716,0.2969140112400055,0.26851901412010193,1.1057499647140503,0.0,0.0,0.7842860221862793,1.0,18.226699829101562,0.10379999876022339,114.4869938,-25.9496694,19.9371,26.308000564575195,2.3084799067873973e-06,0.018268300220370293,0.09241999685764313,5.352840162231587e-06,t17_f5_c3,ZTF19ackjjnb
2459971.8160995,2,2217316091815,19.51740074157715,/ztf/archive/sci/2023/0127/316019/ztf_20230127316019_000260_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.2173160918150152e+18,t,62.0,2217,18,260,2251.9599609375,2814.669921875,114.4870439,-25.9496989,18.35110092163086,0.08787800371646881,1.7137700319290161,18.391799926757812,0.09120000153779984,0.18290099501609802,17.8700008392334,0.014999999664723873,0.2720000147819519,0.024000000208616257,-4.239960193634033,0.040727000683546066,4.889999866485596,0.9810000061988831,265.82598876953125,1.1255899667739868,0.7921739816665649,1.2510000467300415,1.1430000066757202,0.25582799315452576,0.23374199867248535,1.0944900512695312,1.0,0.0,0.48285698890686035,1.0,18.4512996673584,0.12250000238418579,114.4869938,-25.9496694,13.4039,26.293100357055664,4.117050139029743e-06,0.024364899843931198,0.09831470251083374,9.588429747964256e-06,t17_f5_c3,ZTF19ackjjnb
2459972.7746875,2,2218274681815,19.802600860595703,/ztf/archive/sci/2023/0128/274676/ztf_20230128274676_000260_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.218274681815015e+18,t,24.0,2218,18,260,2244.179931640625,2869.050048828125,114.4870178,-25.9496938,17.989099502563477,0.055893998593091965,1.5942200422286987,18.002500534057617,0.06710000336170197,0.11328300088644028,17.8700008392334,0.014999999664723873,0.2720000147819519,0.024000000208616257,-0.24922800064086914,0.013353000394999981,2.4000000953674316,0.9829999804496765,211.447998046875,1.8001199960708618,1.1800400018692017,0.8610000014305115,0.7409999966621399,0.35874998569488525,0.3087500035762787,1.1619399785995483,0.0,0.0,0.8757140040397644,1.0,18.100000381469727,0.09319999814033508,114.4869938,-25.9496694,25.5913,26.311100006103516,1.876539954537293e-06,0.016673099249601364,0.09246309846639633,4.325630015955539e-06,t17_f5_c3,ZTF19ackjjnb
2459972.8603472,1,2218360341815,19.3700008392334,/ztf/archive/sci/2023/0128/360336/ztf_20230128360336_000260_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.218360341815015e+18,t,4.0,2218,18,260,2251.2900390625,2859.3798828125,114.4870657,-25.9496805,18.747100830078125,0.15627600252628326,1.1987700462341309,18.980300903320312,0.16040000319480896,0.2737460136413574,18.399999618530273,0.014999999664723873,0.46399998664855957,0.004000000189989805,-3.146169900894165,0.2331639975309372,4.760000228881836,0.9490000009536743,221.1219940185547,0.38972601294517517,0.9086400270462036,1.1749999523162842,1.1349999904632568,0.24684900045394897,0.2384449988603592,1.0352400541305542,2.0,0.0,0.642857015132904,1.0,19.060100555419922,0.22040000557899475,114.4869786,-25.9496691,9.82774,26.175100326538086,1.1713499588950071e-05,0.04114700108766556,-0.07602020353078842,2.7279500500299037e-05,t17_f5_c3,ZTF19ackjjnb
2459980.752963,1,2226252961815,18.942399978637695,/ztf/archive/sci/2023/0205/252951/ztf_20230205252951_000260_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2.226252961815015e+18,1,1.0,2226,18,260,2256.659912109375,2831.0400390625,114.4870952,-25.9497948,18.824199676513672,0.19800600409507751,1.052549958229065,19.028900146484375,0.3619000017642975,0.5750280022621155,18.399999618530273,0.014999999664723873,0.46399998664855957,0.004000000189989805,1.4297399520874023,0.20466500520706177,2.809999942779541,0.9779999852180481,249.45599365234375,-0.08647400140762329,1.0337200164794922,0.859000027179718,0.7269999980926514,0.30569401383399963,0.25871899724006653,1.181570053100586,4.0,0.0,0.7814289927482605,0.9860010147094727,18.872800827026367,0.4025000035762787,114.4869786,-25.9496691,8.58259,26.220199584960938,7.267729870363837e-06,0.032756298780441284,-0.06445270031690598,1.6926600437727757e-05,t17_f5_c3,ZTF19ackjjnb
