jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458759.0272222,2,1004527224915,19.306499481201172,/ztf/archive/sci/2019/1002/527222/ztf_20191002527222_000668_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1004,49,668,25.964399337768555,4.194790017209016e-05,0.03591470047831535,0.09641449898481369,5.843690087203868e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acmbkmr
2458762.0072801,2,1007507284915,19.684999465942383,/ztf/archive/sci/2019/1005/507280/ztf_20191005507280_000668_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1007,49,668,25.908100128173828,2.8447799195419066e-05,0.02912279963493347,0.12116699665784836,3.922310133930296e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acmbkmr
2458764.9930324,2,1010493034915,19.835599899291992,/ztf/archive/sci/2019/1008/493032/ztf_20191008493032_000668_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1010,49,668,25.874399185180664,2.8108199330745265e-05,0.029190899804234505,0.10879199951887131,3.870249929605052e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acmbkmr
2458765.0165278,1,1010516524915,20.291099548339844,/ztf/archive/sci/2019/1008/516528/ztf_20191008516528_000668_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1010,49,668,25.96109962463379,3.616050162236206e-05,0.03310669958591461,-0.05312519893050194,5.132699880050495e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acmbkmr
2458767.9899884,1,1013489984915,19.61750030517578,/ztf/archive/sci/2019/1011/489988/ztf_20191011489988_000668_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1013,49,668,25.861799240112305,5.818479985464364e-05,0.040184300392866135,-0.0007986139971762896,9.623369987821206e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acmbkmr
2458770.9937037,2,1016493704915,19.055099487304688,/ztf/archive/sci/2019/1014/493704/ztf_20191014493704_000668_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1016,49,668,25.919700622558594,4.2879601096501574e-05,0.035976700484752655,0.1092509999871254,6.012820085743442e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acmbkmr
2458771.0360417,1,1016536044915,19.072999954223633,/ztf/archive/sci/2019/1014/536042/ztf_20191014536042_000668_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1016,49,668,26.02910041809082,7.23096018191427e-05,0.03899409994482994,-0.026856999844312668,0.00013482000213116407,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acmbkmr
2458777.0161574,2,1022516154915,19.589500427246094,/ztf/archive/sci/2019/1020/516146/ztf_20191020516146_000668_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1022,49,668,25.988800048828125,3.896429916494526e-05,0.03403940051794052,0.1144229993224144,5.349050115910359e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acmbkmr
2458777.0394792,1,1022539474915,19.193599700927734,/ztf/archive/sci/2019/1020/539468/ztf_20191020539468_000668_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1022,49,668,26.08919906616211,8.512479689670727e-05,0.04240110144019127,-0.014384300448000431,0.0001572680048411712,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acmbkmr
2458781.9707176,1,1027470714915,19.216899871826172,/ztf/archive/sci/2019/1025/470718/ztf_20191025470718_000668_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1027,49,668,25.972900390625,0.00010479499906068668,0.03961170092225075,-0.017245600000023842,0.00019495299784466624,t17_f5_c3,1.027470714915015e+18,t,1.0,2849.330078125,1178.5899658203125,159.4045846,36.7105615,19.17490005493164,0.29149898886680603,1.2005900144577026,19.031600952148438,0.1527000069618225,0.9709389805793762,20.60700035095215,0.07199999690055847,2.263000011444092,0.1899999976158142,-0.2720249891281128,-0.1432660073041916,9.970000267028809,0.4970000088214874,223.16900634765625,0.18531599640846252,0.5437809824943542,2.1679999828338623,1.8730000257492065,0.2174520045518875,0.1878640055656433,1.1575000286102295,2.0,0.0,0.32285699248313904,1.0,19.023399353027344,0.193900004029274,159.404586,36.7108345,8.41484,ZTF19acmbkmr
2458784.9918981,1,1030491894915,19.304500579833984,/ztf/archive/sci/2019/1028/491887/ztf_20191028491887_000668_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1030,49,668,26.019399642944336,9.887420310406014e-05,0.04110870137810707,-0.02668040059506893,0.00019366499327588826,t17_f5_c3,1.030491894915015e+18,t,1.0,2828.169921875,1171.5699462890625,159.4045837,36.7105632,18.93440055847168,0.2037689983844757,1.26882004737854,19.059600830078125,0.14880000054836273,0.9646649956703186,20.60700035095215,0.07199999690055847,2.263000011444092,0.1899999976158142,0.13244900107383728,0.1251779943704605,10.720000267028809,0.8399999737739563,244.33299255371094,0.24492600560188293,0.4924130141735077,1.7599999904632568,1.4989999532699585,0.1641789972782135,0.139832004904747,1.1741199493408203,1.0,0.0,0.3371430039405823,1.0,18.947900772094727,0.17180000245571136,159.404586,36.7108345,11.439,ZTF19acmbkmr
2458785.030081,2,1030530084915,19.130399703979492,/ztf/archive/sci/2019/1028/530069/ztf_20191028530069_000668_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1030,49,668,26.011699676513672,6.727939762640744e-05,0.0412570983171463,0.11255999654531479,9.666149708209559e-05,t17_f5_c3,1.030530084915015e+18,t,2.0,2839.919921875,1192.0400390625,159.4044876,36.7105184,19.09469985961914,0.24022600054740906,0.8342419862747192,18.732900619506836,0.1412999927997589,1.2993199825286865,20.0310001373291,0.0560000017285347,2.8420000076293945,0.1599999964237213,-0.3987849950790405,-0.3617680072784424,9.180000305175781,0.6919999718666077,232.58399963378906,0.39754700660705566,0.5237259864807129,2.509999990463257,1.9950000047683716,0.2734200060367584,0.21731999516487122,1.258139967918396,0.0,0.0,0.2214290052652359,1.0,18.667600631713867,0.17030000686645508,159.40453,36.7108822,8.41108,ZTF19acmbkmr
2458789.0166551,1,1034516654915,20.152700424194336,/ztf/archive/sci/2019/1101/516644/ztf_20191101516644_000668_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1034,49,668,26.082599639892578,7.41772964829579e-05,0.04701099917292595,-0.06283629685640335,0.00011212500248802826,t17_f5_c3,1.034516654915015e+18,1,14.0,2828.389892578125,1191.719970703125,159.4046253,36.710637,18.824600219726562,0.12196700274944305,2.499850034713745,18.6924991607666,0.08829999715089798,0.7113360166549683,20.60700035095215,0.07199999690055847,2.263000011444092,0.1899999976158142,-0.1385290026664734,-0.13211500644683838,3.5899999141693115,0.953000009059906,244.10899353027344,1.4602099657058716,0.8229359984397888,1.1460000276565552,1.0800000429153442,0.31922000646591187,0.3008359968662262,1.061110019683838,1.0,0.0,0.8014289736747742,1.0,18.61389923095703,0.10440000146627426,159.404586,36.7108345,22.2071,ZTF19acmbkmr
