jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,ssdistnr,ssmagnr,ssnamenr,obj_id
2460224.0232407,2,2469523242815,19.38520050048828,/ztf/archive/sci/2023/1006/523218/ztf_20231006523218_000417_zr_c08_o_q1_scimrefdiffimg.fits.fz,Prince,1,2.469523242815015e+18,t,0.0,2469,28,417,1272.72998046875,1295.239990234375,147.4590238,-3.099375,19.327999114990234,0.22019599378108978,1.343790054321289,19.757099151611328,0.4535999894142151,0.28327199816703796,17.652000427246094,0.01600000075995922,0.718999981880188,0.04100000113248825,-0.9507380127906799,0.4290989935398102,1.520359992980957,0.7889999747276306,1272.72998046875,-0.3719309866428375,2.0,0.6949999928474426,0.6520000100135803,0.45712798833847046,0.42884498834609985,1.0659500360488892,7.0,0.0,0.8657140135765076,0.8252019882202148,19.785600662231445,0.5960000157356262,147.4590605,-3.0994458,6.9207,26.179000854492188,2.3372900614049286e-05,0.03976979851722717,0.10274799913167953,3.773279968299903e-05,t17_f5_c3,,,,ZTF19acmvttt
2460224.0256713,2,2469525672815,19.365800857543945,/ztf/archive/sci/2023/1006/525590/ztf_20231006525590_000417_zr_c08_o_q1_scimrefdiffimg.fits.fz,Prince,1,,,,2469,28,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.183700561523438,2.465820034558419e-05,0.0406871996819973,0.10262399911880493,3.9823698898544535e-05,t17_f5_c3,,,,ZTF19acmvttt
2460224.0281134,2,2469528112815,19.313499450683594,/ztf/archive/sci/2023/1006/528021/ztf_20231006528021_000417_zr_c08_o_q1_scimrefdiffimg.fits.fz,Prince,1,2.469528112815015e+18,t,2.0,2469,28,417,1275.4200439453125,1296.449951171875,147.459048,-3.0992481,19.168100357055664,0.2315869927406311,1.4681600332260132,19.295000076293945,0.3352000117301941,0.7040320038795471,17.652000427246094,0.01600000075995922,0.718999981880188,0.04100000113248825,-1.0880399942398071,0.12692999839782715,1.4326800107955933,0.9330000281333923,1275.4200439453125,0.018480999395251274,2.0,0.7609999775886536,0.6470000147819519,0.5311740040779114,0.4516020119190216,1.176200032234192,6.0,0.0,0.9257140159606934,0.9764559864997864,19.40060043334961,0.4731000065803528,147.4590605,-3.0994458,5.30747,26.182100296020508,1.7835500329965726e-05,0.03450920060276985,0.11776900291442871,2.9053100661258213e-05,t17_f5_c3,,,,ZTF19acmvttt
2460224.030544,2,2469530542815,19.072200775146484,/ztf/archive/sci/2023/1006/530451/ztf_20231006530451_000417_zr_c08_o_q1_scimrefdiffimg.fits.fz,Prince,1,,,,2469,28,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.197900772094727,2.9438100682455115e-05,0.04326070100069046,0.10590499639511108,4.790169987245463e-05,t17_f5_c3,,,,ZTF19acmvttt
2460224.0329745,2,2469532972815,18.95400047302246,/ztf/archive/sci/2023/1006/532894/ztf_20231006532894_000417_zr_c08_o_q1_scimrefdiffimg.fits.fz,Prince,1,,,,2469,28,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.212099075317383,2.8637799914577045e-05,0.04222720116376877,0.10804899781942368,4.660469858208671e-05,t17_f5_c3,,,,ZTF19acmvttt
2460225.026088,2,2470526082815,19.732500076293945,/ztf/archive/sci/2023/1007/526007/ztf_20231007526007_000417_zr_c08_o_q1_scimrefdiffimg.fits.fz,Prince,1,2.470526082815015e+18,1,2.0,2470,28,417,1277.260009765625,1297.780029296875,147.4592306,-3.0994759,19.455299377441406,0.1744299978017807,0.9618780016899109,19.399700164794922,0.288100004196167,0.6126180291175842,17.652000427246094,0.01600000075995922,0.718999981880188,0.04100000113248825,-0.09533999860286713,-0.05558399856090546,1.2565399408340454,0.8820000290870667,1277.260009765625,0.33275800943374634,2.0,0.8709999918937683,0.675000011920929,0.6931729912757874,0.5371890068054199,1.290369987487793,6.0,0.0,0.942857027053833,0.983053982257843,19.22010040283203,0.31220000982284546,147.4590605,-3.0994458,5.40221,26.22130012512207,1.19182996058953e-05,0.028223199769854546,0.10167799890041351,1.918139969347976e-05,t17_f5_c3,,,,ZTF19acmvttt
2460225.0285185,2,2470528512815,19.64739990234375,/ztf/archive/sci/2023/1007/528438/ztf_20231007528438_000417_zr_c08_o_q1_scimrefdiffimg.fits.fz,Prince,1,,,,2470,28,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.232500076293945,1.0542399650148582e-05,0.026520799845457077,0.1039000004529953,1.7025600755005144e-05,t17_f5_c3,,,,ZTF19acmvttt
2460225.0236458,2,2470523642815,19.885900497436523,/ztf/archive/sci/2023/1007/523576/ztf_20231007523576_000417_zr_c08_o_q1_scimrefdiffimg.fits.fz,Prince,1,,,,2470,28,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.22010040283203,1.0739599929365795e-05,0.026696300134062767,0.10255300253629684,1.7299600585829467e-05,t17_f5_c3,,,,ZTF19acmvttt
2460225.026088,2,2470526082815,19.732500076293945,/ztf/archive/sci/2023/1007/526007/ztf_20231007526007_000417_zr_c08_o_q1_scimrefdiffimg.fits.fz,Prince,1,2.470526082815015e+18,t,2.0,2470,28,417,1277.260009765625,1297.780029296875,147.4592306,-3.0994759,19.455299377441406,0.1744299978017807,0.9618780016899109,19.399700164794922,0.288100004196167,0.6126180291175842,17.652000427246094,0.01600000075995922,0.718999981880188,0.04100000113248825,-0.09533999860286713,-0.05558399856090546,1.2565399408340454,0.8820000290870667,1277.260009765625,0.33275800943374634,2.0,0.8709999918937683,0.675000011920929,0.6931729912757874,0.5371890068054199,1.290369987487793,6.0,0.0,0.942857027053833,0.983053982257843,19.22010040283203,0.31220000982284546,147.4590605,-3.0994458,5.40221,26.22130012512207,1.19182996058953e-05,0.028223199769854546,0.10167799890041351,1.918139969347976e-05,t17_f5_c3,,,,ZTF19acmvttt
2460225.0309606,2,2470530962815,19.528799057006836,/ztf/archive/sci/2023/1007/530880/ztf_20231007530880_000417_zr_c08_o_q1_scimrefdiffimg.fits.fz,Prince,1,2.470530962815015e+18,t,3.0,2470,28,417,1280.8900146484375,1299.3900146484375,147.4589582,-3.0994018,19.100099563598633,0.16495099663734436,1.506119966506958,19.409099578857422,0.3513000011444092,0.3951430022716522,17.652000427246094,0.01600000075995922,0.718999981880188,0.04100000113248825,0.16657300293445587,0.3089649975299835,1.2464499473571777,0.9750000238418579,1280.8900146484375,0.11967899650335312,2.0,0.7459999918937683,0.593999981880188,0.5985010266304016,0.4765540063381195,1.2558900117874146,6.0,0.0,0.949999988079071,0.9754689931869507,19.585599899291992,0.5291000008583069,147.4590605,-3.0994458,10.0462,26.23710060119629,1.7896099961944856e-05,0.034526798874139786,0.10461200028657913,2.8911199478898197e-05,t17_f5_c3,,,,ZTF19acmvttt
