jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459872.9403588,2,2118440355915,19.851499557495117,/ztf/archive/sci/2022/1020/440359/ztf_20221020440359_000362_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2118,59,362,26.155899047851562,3.6462099615164334e-06,0.027728300541639328,0.08725439757108688,8.151810106937774e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acnqhrw
2459872.9626389,1,2118462635915,20.06049919128418,/ztf/archive/sci/2022/1020/462616/ztf_20221020462616_000362_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2118,59,362,26.226999282836914,4.488259946811013e-06,0.030650300905108452,-0.03691830113530159,1.0142700375581626e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acnqhrw
2459878.95875,1,2124458745915,20.102699279785156,/ztf/archive/sci/2022/1026/458750/ztf_20221026458750_000362_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2124,59,362,26.26300048828125,5.174540092411917e-06,0.03264179825782776,-0.05340050160884857,1.1857399840664584e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acnqhrw
2459879.0,2,2124500005915,20.328699111938477,/ztf/archive/sci/2022/1026/499988/ztf_20221026499988_000362_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2124,59,362,26.268999099731445,1.5411500271511613e-06,0.017865600064396858,0.077286496758461,3.45720991390408e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acnqhrw
2459880.9373264,1,2126437325915,20.05970001220703,/ztf/archive/sci/2022/1028/437326/ztf_20221028437326_000362_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2126,59,362,26.213600158691406,5.005890216125408e-06,0.032327800989151,-0.057103898376226425,1.1322399586788379e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acnqhrw
2459880.9787616,2,2126478765915,20.26609992980957,/ztf/archive/sci/2022/1028/478762/ztf_20221028478762_000362_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2126,59,362,26.25790023803711,1.8727099586612894e-06,0.019787799566984177,0.08107730001211166,4.205190180073259e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acnqhrw
2459883.0064352,1,2128506435915,19.328699111938477,/ztf/archive/sci/2022/1030/506435/ztf_20221030506435_000362_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2128,59,362,26.10930061340332,2.6161000278079882e-05,0.04944700002670288,-0.03811990097165108,7.555050251539797e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acnqhrw
2459887.9763889,2,2133476385915,20.037200927734375,/ztf/archive/sci/2022/1104/476377/ztf_20221104476377_000362_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2133,59,362,26.266799926757812,2.345610027987277e-06,0.022195199504494667,0.08119790256023407,5.244599833531538e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acnqhrw
2459889.9161111,1,2135416115915,19.102699279785156,/ztf/archive/sci/2022/1106/416111/ztf_20221106416111_000362_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2135,59,362,26.236400604248047,1.51526000990998e-05,0.040275201201438904,-0.017985999584197998,4.332699973019771e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acnqhrw
2459897.0199306,1,2142519935915,19.833499908447266,/ztf/archive/sci/2022/1113/519722/ztf_20221113519722_000362_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2142,59,362,26.32710075378418,5.991390025883447e-06,0.034133799374103546,-0.02454020082950592,1.4190300134941936e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19acnqhrw
