jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2458828.0535648,2,1073553561515,19.571199417114258,/ztf/archive/sci/2019/1210/553530/ztf_20191210553530_000531_zr_c04_o_q4_scimrefdiffimg.fits.fz,Prince,2,1.073553561515015e+18,1,0.0,1073,15,531,1502.68994140625,386.7349853515625,226.7026257,8.7447252,18.498199462890625,0.11061699688434601,1.4377299547195435,18.448299407958984,0.125,2.5855700969696045,16.739999771118164,0.05999999865889549,4.0329999923706055,0.43700000643730164,-0.2002680003643036,-0.04991700127720833,1.4793100357055664,0.9409999847412109,386.7349853515625,1.122920036315918,2.0,0.8500000238418579,0.7910000085830688,0.5745940208435059,0.5347099900245667,1.0745899677276611,3.0,0.0,0.8199999928474426,1.0,18.307899475097656,0.13809999823570251,226.7032695,8.7443718,5.16687,25.954200744628906,1.6259600670309737e-05,0.03774069994688034,0.10859599709510803,3.234809992136434e-05,t17_f5_c3,ZTF19acxqakw
2458828.0583565,2,1073558351515,19.565399169921875,/ztf/archive/sci/2019/1210/558333/ztf_20191210558333_000531_zr_c04_o_q4_scimrefdiffimg.fits.fz,Prince,2,1.073558351515015e+18,1,0.0,1073,15,531,1505.3299560546875,388.9230041503906,226.7026027,8.7446825,18.487300872802734,0.0974700003862381,1.9606599807739258,18.513599395751953,0.13910000026226044,2.5889298915863037,16.739999771118164,0.05999999865889549,4.0329999923706055,0.43700000643730164,0.38293901085853577,0.026304999366402626,1.4082200527191162,0.9739999771118164,388.9230041503906,1.051759958267212,2.0,0.8679999709129333,0.824999988079071,0.616379976272583,0.5858449935913086,1.0521199703216553,2.0,0.0,0.8457139730453491,1.0,18.571500778198242,0.18479999899864197,226.7032695,8.7443718,6.02216,25.963300704956055,1.3598700206784997e-05,0.03460099920630455,0.10884399712085724,2.6971300030709244e-05,t17_f5_c3,ZTF19acxqakw
2458828.0631597,2,1073563151515,19.308700561523438,/ztf/archive/sci/2019/1210/563137/ztf_20191210563137_000531_zr_c04_o_q4_scimrefdiffimg.fits.fz,Prince,2,,,,1073,15,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.963600158691406,1.7382899386575446e-05,0.03855760022997856,0.11749500036239624,3.3888900361489505e-05,t17_f5_c3,ZTF19acxqakw
2458828.0535648,2,1073553561515,19.571199417114258,/ztf/archive/sci/2019/1210/553530/ztf_20191210553530_000531_zr_c04_o_q4_scimrefdiffimg.fits.fz,Prince,2,1.073553561515015e+18,t,0.0,1073,15,531,1502.68994140625,386.7349853515625,226.7026257,8.7447252,18.498199462890625,0.11061699688434601,1.4377299547195435,18.448299407958984,0.125,2.5855700969696045,16.739999771118164,0.05999999865889549,4.0329999923706055,0.43700000643730164,-0.2002680003643036,-0.04991700127720833,1.4793100357055664,0.9409999847412109,386.7349853515625,1.122920036315918,2.0,0.8500000238418579,0.7910000085830688,0.5745940208435059,0.5347099900245667,1.0745899677276611,3.0,0.0,0.8199999928474426,1.0,18.307899475097656,0.13809999823570251,226.7032695,8.7443718,5.16687,25.954200744628906,1.6259600670309737e-05,0.03774069994688034,0.10859599709510803,3.234809992136434e-05,t17_f5_c3,ZTF19acxqakw
2458828.0583565,2,1073558351515,19.565399169921875,/ztf/archive/sci/2019/1210/558333/ztf_20191210558333_000531_zr_c04_o_q4_scimrefdiffimg.fits.fz,Prince,2,1.073558351515015e+18,t,0.0,1073,15,531,1505.3299560546875,388.9230041503906,226.7026027,8.7446825,18.487300872802734,0.0974700003862381,1.9606599807739258,18.513599395751953,0.13910000026226044,2.5889298915863037,16.739999771118164,0.05999999865889549,4.0329999923706055,0.43700000643730164,0.38293901085853577,0.026304999366402626,1.4082200527191162,0.9739999771118164,388.9230041503906,1.051759958267212,2.0,0.8679999709129333,0.824999988079071,0.616379976272583,0.5858449935913086,1.0521199703216553,2.0,0.0,0.8457139730453491,1.0,18.571500778198242,0.18479999899864197,226.7032695,8.7443718,6.02216,25.963300704956055,1.3598700206784997e-05,0.03460099920630455,0.10884399712085724,2.6971300030709244e-05,t17_f5_c3,ZTF19acxqakw
2458828.067963,2,1073567961515,19.06760025024414,/ztf/archive/sci/2019/1210/567928/ztf_20191210567928_000531_zr_c04_o_q4_scimrefdiffimg.fits.fz,Prince,2,1.073567961515015e+18,t,0.0,1073,15,531,1509.280029296875,393.50799560546875,226.7025887,8.7446908,18.54199981689453,0.1302179992198944,1.6545699834823608,18.428699493408203,0.2020999938249588,2.6463699340820312,16.739999771118164,0.05999999865889549,4.0329999923706055,0.43700000643730164,1.3602800369262695,-0.11330699920654297,2.5399999618530273,0.9900000095367432,393.50799560546875,0.6389359831809998,1.0729399919509888,0.9089999794960022,0.824999988079071,0.3578740060329437,0.3248029947280884,1.1018199920654297,1.0,0.0,0.892857015132904,1.0,18.570100784301758,0.29330000281333923,226.7032695,8.7443718,5.50351,25.979000091552734,1.9199300368200056e-05,0.04009279981255531,0.11347699910402298,3.705059862113558e-05,t17_f5_c3,ZTF19acxqakw
2458830.0545833,2,1075554581515,16.144399642944336,/ztf/archive/sci/2019/1212/554549/ztf_20191212554549_000531_zr_c04_o_q4_scimrefdiffimg.fits.fz,Prince,2,,,,1075,15,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.182300567626953,0.14300699532032013,0.09447350353002548,-1.0235199928283691,0.4214380085468292,t17_f5_c3,ZTF19acxqakw
2458830.0593403,2,1075559341515,15.997400283813477,/ztf/archive/sci/2019/1212/559306/ztf_20191212559306_000531_zr_c04_o_q4_scimrefdiffimg.fits.fz,Prince,2,,,,1075,15,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.95800018310547,0.0015348800225183368,0.043402399867773056,0.09085679799318314,0.004347550217062235,t17_f5_c3,ZTF19acxqakw
2458830.0640972,2,1075564091515,17.023000717163086,/ztf/archive/sci/2019/1212/564063/ztf_20191212564063_000531_zr_c04_o_q4_scimrefdiffimg.fits.fz,Prince,2,,,,1075,15,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.73539924621582,0.0005924159777350724,0.08035310357809067,0.12049099802970886,0.001610080013051629,t17_f5_c3,ZTF19acxqakw
2458830.0688426,2,1075568841515,17.794200897216797,/ztf/archive/sci/2019/1212/568819/ztf_20191212568819_000531_zr_c04_o_q4_scimrefdiffimg.fits.fz,Prince,2,,,,1075,15,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.27589988708496,7.553939940407872e-05,0.050266098231077194,0.05529379844665527,0.00018507600179873407,t17_f5_c3,ZTF19acxqakw
