jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460031.7279514,1,2277227950315,20.101499557495117,/ztf/archive/sci/2023/0328/227940/ztf_20230328227940_000619_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2277,3,619,26.11319923400879,2.574659993115347e-05,0.038854699581861496,-0.06227720156311989,3.6473898944677785e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460031.7635185,2,2277263510315,20.093399047851562,/ztf/archive/sci/2023/0328/263518/ztf_20230328263518_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2277,3,619,26.043800354003906,1.546400017105043e-05,0.030146600678563118,0.08964239805936813,2.053159914794378e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460042.6658565,2,2288165850315,20.298900604248047,/ztf/archive/sci/2023/0408/165845/ztf_20230408165845_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2288,3,619,26.02790069580078,1.0077599654323421e-05,0.024539899080991745,0.09162940084934235,1.3481499991030432e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460042.7679398,1,2288267930315,18.051000595092773,/ztf/archive/sci/2023/0408/267928/ztf_20230408267928_000619_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2288,3,619,25.01449966430664,9.709160076454282e-05,0.045184001326560974,-0.029062500223517418,0.00022360999719239771,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460044.6739352,2,2290173930315,20.394399642944336,/ztf/archive/sci/2023/0410/173924/ztf_20230410173924_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2290,3,619,26.069499969482422,1.1070999789808411e-05,0.025726299732923508,0.09371820092201233,1.4801999896008056e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460046.6601968,2,2292160190315,20.41790008544922,/ztf/archive/sci/2023/0412/160197/ztf_20230412160197_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2292,3,619,25.99250030517578,1.2705399967671838e-05,0.02745719999074936,0.09324599802494049,1.69317008840153e-05,t17_f5_c3,2.29216019031501e+18,f,1.0,2632.419921875,267.9280090332031,146.8240784,23.1836685,19.77549934387207,0.137473002076149,2.613919973373413,19.465900421142578,0.18170000612735748,0.22086399793624878,18.301000595092773,0.014999999664723873,0.5860000252723694,0.023000000044703484,-0.35509398579597473,-0.3095569908618927,1.1419999599456787,0.9620000123977661,267.9280090332031,0.9519609808921814,2.0,0.640999972820282,0.5669999718666077,0.5612959861755371,0.4964970052242279,1.1305099725723267,7.0,0.0,0.9200000166893005,0.9293509721755981,19.385900497436523,0.21490000188350677,146.8241376,23.1836923,5.57586,ZTF19adccdxf
2460046.7093287,1,2292209320315,20.622699737548828,/ztf/archive/sci/2023/0412/209282/ztf_20230412209282_000619_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2292,3,619,26.117399215698242,1.4393799574463628e-05,0.029070699587464333,-0.06082310155034065,1.929030077008065e-05,t17_f5_c3,2.29220932031501e+18,f,2.0,2651.31005859375,262.5270080566406,146.8241572,23.1836328,19.924400329589844,0.19411100447177887,1.7914199829101562,19.81049919128418,0.18199999630451202,0.190994992852211,18.44700050354004,0.014999999664723873,0.7419999837875366,0.020999999716877937,-0.18772299587726593,-0.11389400064945221,2.490000009536743,0.7609999775886536,262.5270080566406,0.8122100234031677,1.0594899654388428,0.8820000290870667,0.753000020980835,0.354216992855072,0.3024100065231323,1.1713099479675293,4.0,0.0,0.9385709762573242,0.9987890124320984,19.89299964904785,0.24899999797344208,146.8241675,23.1836852,9.26501,ZTF19adccdxf
2460050.7048032,2,2296204800315,20.413700103759766,/ztf/archive/sci/2023/0416/204780/ztf_20230416204780_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2296,3,619,26.034900665283203,9.934709851222578e-06,0.02426370047032833,0.0960049033164978,1.3218699677963741e-05,t17_f5_c3,2.29620480031501e+18,f,0.0,2620.199951171875,305.5780029296875,146.8240903,23.1836365,19.76889991760254,0.13771699368953705,1.453760027885437,19.5580997467041,0.18649999797344208,0.2515279948711395,18.301000595092773,0.014999999664723873,0.5860000252723694,0.023000000044703484,-0.0019109999993816018,-0.2108370065689087,1.2169599533081055,0.7200000286102295,305.5780029296875,0.8555629849433899,2.0,0.6610000133514404,0.6190000176429749,0.5431550145149231,0.5086429715156555,1.0678499937057495,7.0,0.0,0.9742860198020935,0.916018009185791,19.72209930419922,0.2759000062942505,146.8241376,23.1836923,8.30281,ZTF19adccdxf
2460052.724213,1,2298224210315,20.66939926147461,/ztf/archive/sci/2023/0418/224213/ztf_20230418224213_000619_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2298,3,619,26.136699676513672,1.7259300875593908e-05,0.03194139897823334,-0.0633540004491806,2.3117399905459024e-05,t17_f5_c3,2.29822421031501e+18,f,2.0,2617.330078125,295.8009948730469,146.8241278,23.1836037,19.87969970703125,0.16084299981594086,1.943600058555603,19.715299606323242,0.15880000591278076,0.31762999296188354,18.44700050354004,0.014999999664723873,0.7419999837875366,0.020999999716877937,0.008174999617040157,-0.16437800228595734,2.4700000286102295,0.7549999952316284,295.8009948730469,0.9541040062904358,1.077720046043396,0.8880000114440918,0.8190000057220459,0.3595139980316162,0.3315789997577667,1.0842499732971191,2.0,0.0,0.9657139778137207,1.0,19.815399169921875,0.22050000727176666,146.8241675,23.1836852,10.1436,ZTF19adccdxf
2460052.789375,2,2298289370315,20.199899673461914,/ztf/archive/sci/2023/0418/289363/ztf_20230418289363_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2298,3,619,25.982500076293945,1.0886899872275535e-05,0.02531070075929165,0.09146089851856232,1.4491400179394986e-05,t17_f5_c3,2.29828937031501e+18,f,0.0,2618.06005859375,289.6059875488281,146.8240365,23.1836446,19.975500106811523,0.17171700298786163,1.0866899490356445,20.300600051879883,0.3928000032901764,0.3713270127773285,18.301000595092773,0.014999999664723873,0.5860000252723694,0.023000000044703484,-0.014461000449955463,0.32510900497436523,1.3890299797058105,0.7910000085830688,289.6059875488281,-0.10072100162506104,2.0,0.8600000143051147,0.7039999961853027,0.6191369891166687,0.5068280100822449,1.2215900421142578,3.0,0.0,0.9700000286102295,1.0,20.478300094604492,0.5892999768257141,146.8241376,23.1836923,8.32681,ZTF19adccdxf
2460054.6758449,1,2300175840315,20.434200286865234,/ztf/archive/sci/2023/0420/175845/ztf_20230420175845_000619_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2300,3,619,26.181800842285156,1.94156000361545e-05,0.033796001225709915,-0.08837609738111496,2.6113699277630076e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460056.6834838,2,2302183480315,20.249900817871094,/ztf/archive/sci/2023/0422/183461/ztf_20230422183461_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2302,3,619,26.152799606323242,1.7439000657759607e-05,0.0321056991815567,0.08870019763708115,2.3261700334842317e-05,t17_f5_c3,2.30218348031501e+18,f,0.0,2632.699951171875,298.5199890136719,146.8241603,23.1836309,20.03380012512207,0.16164399683475494,1.826069951057434,19.8262996673584,0.24279999732971191,0.23048600554466248,18.301000595092773,0.014999999664723873,0.5860000252723694,0.023000000044703484,-0.12263599783182144,-0.20751500129699707,1.3821899890899658,0.7160000205039978,298.5199890136719,0.42361000180244446,2.0,0.7699999809265137,0.6830000281333923,0.5570849776268005,0.49414199590682983,1.1273800134658813,6.0,0.0,0.9657139778137207,0.9520530104637146,19.902599334716797,0.3321000039577484,146.8241376,23.1836923,6.05057,ZTF19adccdxf
2460058.6816204,1,2304181620315,20.292600631713867,/ztf/archive/sci/2023/0424/181620/ztf_20230424181620_000619_zg_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2304,3,619,26.080699920654297,1.825119943532627e-05,0.03287449851632118,-0.0746799036860466,2.482310082996264e-05,t17_f5_c3,2.30418162031501e+18,0,1.0,2646.219970703125,296.62701416015625,146.8241022,23.1836742,19.946699142456055,0.21330399811267853,1.302299976348877,20.017200469970703,0.2750999927520752,0.22609099745750427,18.44700050354004,0.014999999664723873,0.7419999837875366,0.020999999716877937,-0.25214099884033203,0.07049500197172165,1.4059799909591675,0.7620000243186951,296.62701416015625,0.27535900473594666,2.0,0.949999988079071,0.765999972820282,0.6756860017776489,0.5448169708251953,1.2402100563049316,3.0,0.0,0.9542859792709351,0.9961289763450623,20.190500259399414,0.41130000352859497,146.8241675,23.1836852,7.67371,ZTF19adccdxf
2460092.7430556,1,2338243054215,19.339599609375,/ztf/archive/sci/2023/0528/242859/ztf_20230528242859_001616_zg_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2338,42,1616,26.106000900268555,2.8619799195439555e-05,0.03841020166873932,0.004451090004295111,4.679819903685711e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460092.76625,2,2338266254215,19.328800201416016,/ztf/archive/sci/2023/0528/266088/ztf_20230528266088_001616_zr_c11_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2338,42,1616,26.167800903320312,2.2523399820784107e-05,0.03679240122437477,0.12908799946308136,3.0204799259081483e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460094.6824769,2,2340182470315,19.80299949645996,/ztf/archive/sci/2023/0530/182431/ztf_20230530182431_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2340,3,619,26.0221004486084,1.8088399883708917e-05,0.03259800001978874,0.09328210353851318,2.4234699594671838e-05,t17_f5_c3,2.34018247031501e+18,f,0.0,2588.77001953125,290.8590087890625,146.8240013,23.1836999,20.02910041809082,0.2511659860610962,1.3587199449539185,19.738800048828125,0.3878999948501587,0.44625601172447205,18.301000595092773,0.014999999664723873,0.5860000252723694,0.023000000044703484,0.47745001316070557,-0.2902800142765045,1.186750054359436,0.9729999899864197,290.8590087890625,0.06419699639081955,2.0,0.4320000112056732,0.3610000014305115,0.3640199899673462,0.3041920065879822,1.196679949760437,7.0,0.0,0.8385710120201111,0.686968982219696,19.865400314331055,0.5583999752998352,146.8241376,23.1836923,5.05925,ZTF19adccdxf
2460112.6876852,2,2358187680315,19.493000030517578,/ztf/archive/sci/2023/0617/187685/ztf_20230617187685_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2358,3,619,25.84589958190918,2.166619924537372e-05,0.03565970063209534,0.08859720081090927,2.909949944296386e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460115.6846296,2,2361184620315,19.164499282836914,/ztf/archive/sci/2023/0620/184560/ztf_20230620184560_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Prince,2,2361,3,619,25.760900497436523,2.531710015318822e-05,0.03845660015940666,0.08898639678955078,3.375449887244031e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460115.6857176,2,2361185710315,19.230600357055664,/ztf/archive/sci/2023/0620/185637/ztf_20230620185637_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Prince,2,2361,3,619,25.79199981689453,2.9064700356684625e-05,0.04150699824094772,0.09049200266599655,3.9079201087588444e-05,t17_f5_c3,2.36118571031501e+18,f,1.0,2586.419921875,258.9079895019531,146.8242269,23.1837005,19.4689998626709,0.1889519989490509,0.7577880024909973,19.346500396728516,0.3741999864578247,0.2933749854564667,18.301000595092773,0.014999999664723873,0.5860000252723694,0.023000000044703484,3.324860095977783,-0.12248899787664413,1.4469300508499146,0.7120000123977661,258.9079895019531,-0.1158600002527237,2.0,0.8820000290870667,0.8659999966621399,0.6095659732818604,0.5985080003738403,1.0184799432754517,1.0,0.0,0.88857102394104,1.0,19.319599151611328,0.4684999883174896,146.8241376,23.1836923,6.59826,ZTF19adccdxf
2460115.686794,2,2361186790315,19.217199325561523,/ztf/archive/sci/2023/0620/186713/ztf_20230620186713_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Prince,2,2361,3,619,25.81209945678711,3.0338500437210314e-05,0.04226220026612282,0.09213390201330185,4.0640199586050585e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460115.6878704,2,2361187870315,19.326000213623047,/ztf/archive/sci/2023/0620/187789/ztf_20230620187789_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Prince,2,2361,3,619,25.912599563598633,1.9175999113940634e-05,0.03354410082101822,0.09279090166091919,2.557299922045786e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460116.6822338,2,2362182230315,19.045400619506836,/ztf/archive/sci/2023/0621/182164/ztf_20230621182164_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Prince,2,2362,3,619,25.956100463867188,3.8487298297695816e-05,0.04477820172905922,0.10093200206756592,5.335680179996416e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460116.6833102,2,2362183310315,19.193899154663086,/ztf/archive/sci/2023/0621/183241/ztf_20230621183241_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Prince,2,2362,3,619,25.964099884033203,3.668669887701981e-05,0.04584389925003052,0.0870755985379219,4.906189860776067e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460116.6843866,2,2362184380315,19.13360023498535,/ztf/archive/sci/2023/0621/184317/ztf_20230621184317_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Prince,2,2362,3,619,25.96109962463379,3.312799890409224e-05,0.04204019904136658,0.08715049922466278,4.3766100134234875e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460116.685463,2,2362185460315,19.21269989013672,/ztf/archive/sci/2023/0621/185394/ztf_20230621185394_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Prince,2,2362,3,619,25.954500198364258,2.6043100660899654e-05,0.03815409913659096,0.10003700107336044,3.450519943726249e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460203.0136227,2,2448513620315,19.044099807739258,/ztf/archive/sci/2023/0915/513623/ztf_20230915513623_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Prince,1,2448,3,619,25.763200759887695,3.5134999052388594e-05,0.044599998742341995,0.09789890050888062,4.7282301238738e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460203.0160417,2,2448516040315,18.970800399780273,/ztf/archive/sci/2023/0915/516030/ztf_20230915516030_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Prince,1,2448,3,619,25.77519989013672,3.806810127571225e-05,0.04643230140209198,0.1024250015616417,5.1111201173625886e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460203.0184491,2,2448518440315,18.909900665283203,/ztf/archive/sci/2023/0915/518449/ztf_20230915518449_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Prince,1,2448,3,619,25.774999618530273,3.824939994956367e-05,0.046496398746967316,0.11095800250768661,5.050329855293967e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460203.0208565,2,2448520850315,18.631799697875977,/ztf/archive/sci/2023/0915/520856/ztf_20230915520856_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Prince,1,2448,3,619,25.79960060119629,4.683620136347599e-05,0.04877699911594391,0.1139800027012825,6.352210039040074e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460203.0232639,2,2448523260315,18.468399047851562,/ztf/archive/sci/2023/0915/523252/ztf_20230915523252_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Prince,1,2448,3,619,25.83489990234375,5.240460086497478e-05,0.04986799880862236,0.10004600137472153,7.348869985435158e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
2460204.0146296,2,2449514620315,19.059600830078125,/ztf/archive/sci/2023/0916/514630/ztf_20230916514630_000619_zr_c01_o_q4_scimrefdiffimg.fits.fz,Prince,1,2449,3,619,25.818700790405273,6.930639938218519e-05,0.06217750161886215,0.10735700279474258,9.175779996439815e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adccdxf
