jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,ssdistnr,ssmagnr,ssnamenr,obj_id
2460031.6521296,2,2277152121015,20.29680061340332,/ztf/archive/sci/2023/0328/152083/ztf_20230328152083_000664_zr_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2277,10,664,26.247400283813477,3.5757000205194345e-06,0.020619099959731102,0.09461119771003723,5.670030077453703e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adceobn
2460031.6569213,2,2277156924915,20.058399200439453,/ztf/archive/sci/2023/0328/156921/ztf_20230328156921_000616_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2277,49,616,26.20009994506836,5.6422500165353995e-06,0.02515220083296299,0.09746699780225754,9.19757985684555e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adceobn
2460031.6832986,1,2277183291015,20.198299407958984,/ztf/archive/sci/2023/0328/183287/ztf_20230328183287_000664_zg_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2277,10,664,26.433799743652344,1.0365400157752447e-05,0.03452249988913536,-0.14438000321388245,1.7057800505426712e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adceobn
2460031.6955093,1,2277195504915,19.94179916381836,/ztf/archive/sci/2023/0328/195509/ztf_20230328195509_000616_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2277,49,616,26.27669906616211,1.0332099918741733e-05,0.03290880098938942,-0.042876601219177246,1.838000025600195e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adceobn
2460036.7148843,2,2282214884915,19.512800216674805,/ztf/archive/sci/2023/0402/214792/ztf_20230402214792_000616_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2282,49,616,26.174800872802734,6.595209924853407e-06,0.027113700285553932,0.1035889983177185,1.0649700016074348e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adceobn
2460036.7153588,2,2282215351015,19.774200439453125,/ztf/archive/sci/2023/0402/215347/ztf_20230402215347_000664_zr_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2282,10,664,26.209400177001953,6.165339982544538e-06,0.026974700391292572,0.09404820203781128,9.720730304252356e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adceobn
2460036.778669,1,2282278661015,19.104299545288086,/ztf/archive/sci/2023/0402/278657/ztf_20230402278657_000664_zg_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2282,10,664,26.327800750732422,2.3085600332706235e-05,0.040873900055885315,-0.10281900316476822,5.3103798563824967e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adceobn
2460036.8108565,1,2282310854915,18.880399703979492,/ztf/archive/sci/2023/0402/310856/ztf_20230402310856_000616_zg_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2282,49,616,26.131900787353516,3.0042299840715714e-05,0.041355200111866,-0.007367580197751522,7.390580140054226e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adceobn
2460043.691412,2,2289191414915,19.70639991760254,/ztf/archive/sci/2023/0409/191400/ztf_20230409191400_000616_zr_c13_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2289,49,616,25.958599090576172,6.420129921025364e-06,0.026798700913786888,0.09023520350456238,1.0464899787621107e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adceobn
2460043.6923727,2,2289192371015,19.98819923400879,/ztf/archive/sci/2023/0409/192361/ztf_20230409192361_000664_zr_c03_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2289,10,664,25.978599548339844,4.8319498091586865e-06,0.02400369942188263,0.09799090027809143,7.641449883522e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF19adceobn
