jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,ssdistnr,ssmagnr,ssnamenr,obj_id
2460031.7289815,1,2277228983315,20.22209930419922,/ztf/archive/sci/2023/0328/228935/ztf_20230328228935_000666_zg_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.277228983315015e+18,t,2.0,2277,33,666,2325.169921875,3038.919921875,143.8233706,34.3206197,19.8164005279541,0.16972899436950684,1.2117199897766113,19.68910026550293,0.23109999299049377,0.3181619942188263,21.01300048828125,0.07000000029802322,1.1929999589920044,0.08399999886751175,-0.2653520107269287,-0.1272909939289093,2.3399999141693115,0.9649999737739563,41.58380126953125,0.5330129861831665,1.105720043182373,0.7919999957084656,0.6800000071525574,0.3384619951248169,0.2905980050563812,1.1647100448608398,3.0,0.0,0.8799999952316284,0.9928920269012451,19.347000122070312,0.21649999916553497,143.8232663,34.3205956,10.3927,26.260400772094727,1.728770075715147e-05,0.03173990175127983,-0.05382759869098663,2.5936700694728643e-05,t17_f5_c3,,,,ZTF19adcfhxp
2460031.7644676,2,2277264463315,20.18440055847168,/ztf/archive/sci/2023/0328/264468/ztf_20230328264468_000666_zr_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2277,33,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.236299514770508,1.0498400115466211e-05,0.024963200092315674,0.12012899667024612,1.4702300177305005e-05,t17_f5_c3,,,,ZTF19adcfhxp
2460042.6504861,2,2288150483315,20.48349952697754,/ztf/archive/sci/2023/0408/149954/ztf_20230408149954_000666_zr_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2288,33,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.279800415039062,1.4543499673891347e-05,0.02939870022237301,0.11463399976491928,2.0421299268491566e-05,t17_f5_c3,,,,ZTF19adcfhxp
2460042.7655556,1,2288265553315,18.29789924621582,/ztf/archive/sci/2023/0408/265405/ztf_20230408265405_000666_zg_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2288,33,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.164600372314453,0.00012146300286985934,0.05030769854784012,-0.008534429594874382,0.00026910900487564504,t17_f5_c3,,,,ZTF19adcfhxp
2460044.6662269,1,2290166223315,20.738000869750977,/ztf/archive/sci/2023/0410/166227/ztf_20230410166227_000666_zg_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2290,33,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.31730079650879,1.630529914109502e-05,0.030864199623465538,-0.06652390211820602,2.2830699890619144e-05,t17_f5_c3,,,,ZTF19adcfhxp
2460044.6885301,2,2290188533315,20.52400016784668,/ztf/archive/sci/2023/0410/188044/ztf_20230410188044_000666_zr_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.290188533315015e+18,t,11.0,2290,33,666,2348.0400390625,3005.389892578125,143.823372,34.320625,20.05590057373047,0.1851239949464798,1.2743200063705444,20.260499954223633,0.3084999918937683,0.3232330083847046,19.839000701904297,0.05900000035762787,3.1740000247955322,0.25099998712539673,-0.23144200444221497,0.20458699762821198,2.369999885559082,0.968999981880188,75.11499786376953,0.2634829878807068,1.0603699684143066,0.6919999718666077,0.5580000281333923,0.2919830083847046,0.23544299602508545,1.2401399612426758,6.0,0.0,0.8728569746017456,0.8340839743614197,20.15399932861328,0.3573000133037567,143.8233004,34.320556,9.21711,26.309900283813477,1.189500017062528e-05,0.026337699964642525,0.12216600030660629,1.665499985392671e-05,t17_f5_c3,,,,ZTF19adcfhxp
2460046.6616088,2,2292161603315,20.539499282836914,/ztf/archive/sci/2023/0412/161609/ztf_20230412161609_000666_zr_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2292,33,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.25480079650879,1.7830099750426598e-05,0.03249510005116463,0.11689300090074539,2.5129900677711703e-05,t17_f5_c3,,,,ZTF19adcfhxp
2460046.6969792,1,2292196973315,20.783300399780273,/ztf/archive/sci/2023/0412/196979/ztf_20230412196979_000666_zg_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.292196973315015e+18,t,11.0,2292,33,666,2344.6201171875,2977.179931640625,143.8233754,34.3206311,20.012300491333008,0.17548300325870514,1.2718499898910522,20.179100036621094,0.2328999936580658,0.34443598985671997,21.01300048828125,0.07000000029802322,1.1929999589920044,0.08399999886751175,0.04548399895429611,0.1667969971895218,2.0199999809265137,0.9279999732971191,103.32499694824219,0.6042119860649109,1.2010600566864014,0.7170000076293945,0.6600000262260437,0.3549500107765198,0.3267329931259155,1.086359977722168,4.0,0.0,0.9071429967880249,0.9797989726066589,20.048200607299805,0.2639999985694885,143.8232663,34.3205956,12.761,26.279300689697266,1.5379600881715305e-05,0.030190199613571167,-0.07109919935464859,2.1772699255961925e-05,t17_f5_c3,,,,ZTF19adcfhxp
2460050.7033218,2,2296203323315,20.51729965209961,/ztf/archive/sci/2023/0416/203275/ztf_20230416203275_000666_zr_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2296,33,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.277099609375,1.1877299584739376e-05,0.026473799720406532,0.11847800016403198,1.6744099411880597e-05,t17_f5_c3,,,,ZTF19adcfhxp
2460052.72375,1,2298223743315,20.779499053955078,/ztf/archive/sci/2023/0418/223704/ztf_20230418223704_000666_zg_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.298223743315015e+18,t,5.0,2298,33,666,2318.85009765625,3007.43994140625,143.8233474,34.3206071,20.111499786376953,0.19044899940490723,0.9083439707756042,20.194499969482422,0.22169999778270721,0.2417609989643097,21.01300048828125,0.07000000029802322,1.1929999589920044,0.08399999886751175,0.2216770052909851,0.08297599852085114,2.3399999141693115,0.871999979019165,73.06189727783203,0.5849559903144836,1.1109199523925781,0.8270000219345093,0.800000011920929,0.3534190058708191,0.3418799936771393,1.033750057220459,3.0,0.0,0.8957139849662781,0.9592700004577637,20.15060043334961,0.27230000495910645,143.8232663,34.3205956,11.4321,26.269500732421875,2.159510040655732e-05,0.03570229932665825,-0.06875500082969666,3.0513599995174445e-05,t17_f5_c3,,,,ZTF19adcfhxp
