jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460032.7945718,1,2278294574715,19.872699737548828,/ztf/archive/sci/2023/0329/294560/ztf_20230329294560_000269_zg_c12_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.27829457471501e+18,f,9.0,2278,47,269,2166.169921875,1530.1700439453125,174.952407,-23.664826,19.27989959716797,0.14014500379562378,1.0369600057601929,19.78380012512207,0.3253999948501587,0.13879600167274475,17.91900062561035,0.026000000536441803,2.138000011444092,0.06800000369548798,0.11547599732875824,0.5038790106773376,2.799999952316284,0.9919999837875366,906.3330078125,0.08887399733066559,1.0066699981689453,0.7409999966621399,0.671999990940094,0.26464301347732544,0.23999999463558197,1.102679967880249,6.0,0.0,0.8442860245704651,0.9888179898262024,19.826499938964844,0.4316999912261963,174.9524364,-23.6648543,9.536,26.1919002532959,2.2754100427846424e-05,0.03367000073194504,-0.033970098942518234,4.480560164665803e-05,t17_f5_c3,ZTF20aadbosk
2460042.7893171,1,2288289314715,18.217899322509766,/ztf/archive/sci/2023/0408/289236/ztf_20230408289236_000269_zg_c12_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2288,47,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.515600204467773,0.00030218501342460513,0.047759998589754105,-0.05148189887404442,0.0010582299437373877,t17_f5_c3,ZTF20aadbosk
2460042.816794,2,2288316794715,18.94729995727539,/ztf/archive/sci/2023/0408/316771/ztf_20230408316771_000269_zr_c12_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.28831679471501e+18,f,5.0,2288,47,269,2170.989990234375,1518.3399658203125,174.9521836,-23.6651184,19.124900817871094,0.20316900312900543,0.6315770149230957,18.60300064086914,0.2671999931335449,1.252310037612915,17.400999069213867,0.039000000804662704,3.2309999465942383,0.1889999955892563,-2.8720200061798096,-0.5219389796257019,1.3274199962615967,0.9190000295639038,901.5139770507812,0.34434500336647034,2.0,0.8560000061988831,0.6980000138282776,0.644860029220581,0.5258319973945618,1.2263599634170532,9.0,0.0,0.5899999737739563,0.8332599997520447,18.582599639892578,0.33629998564720154,174.9524526,-23.6648663,5.84432,26.103900909423828,3.84146005671937e-05,0.04377879947423935,0.12424899637699127,7.021630153758451e-05,t17_f5_c3,ZTF20aadbosk
2460044.7299653,2,2290229964715,19.980899810791016,/ztf/archive/sci/2023/0410/229931/ztf_20230410229931_000269_zr_c12_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.29022996471501e+18,f,10.0,2290,47,269,2188.949951171875,1499.47998046875,174.9524325,-23.6649632,19.57670021057129,0.17521299421787262,1.1184500455856323,19.719999313354492,0.2678000032901764,0.3300830125808716,17.400999069213867,0.039000000804662704,3.2309999465942383,0.1889999955892563,0.10448600351810455,0.14330899715423584,1.5068000555038452,0.8199999928474426,883.5549926757812,0.2608560025691986,2.0,0.925000011920929,0.6800000071525574,0.6138830184936523,0.45128700137138367,1.3602900505065918,6.0,0.0,0.8757140040397644,0.9603449702262878,19.806299209594727,0.3659000098705292,174.9524526,-23.6648663,5.64031,26.255699157714844,1.4699599887535442e-05,0.028432700783014297,0.1159759983420372,2.600090010673739e-05,t17_f5_c3,ZTF20aadbosk
2460044.7478125,2,2290247814715,21.11639976501465,/ztf/archive/sci/2023/0410/247778/ztf_20230410247778_000269_zr_c12_o_q4_scimrefdiffimg.fits.fz,Kasliwal,3,2.29024781471501e+18,f,10.0,2290,47,269,2193.820068359375,1501.47998046875,174.9524257,-23.6649243,19.29010009765625,0.05246200039982796,3.619719982147217,19.243200302124023,0.0625,0.20516599714756012,17.340999603271484,0.03999999910593033,3.305000066757202,0.2160000056028366,-0.40780898928642273,-0.04693799838423729,2.8299999237060547,1.0,878.6749877929688,1.8732099533081055,1.02947998046875,0.9169999957084656,0.8360000252723694,0.32402798533439636,0.2954060137271881,1.0968899726867676,1.0,0.0,0.8428570032119751,1.0,19.207599639892578,0.07649999856948853,174.9524636,-23.6648751,15.4547,28.771099090576172,1.2904300092486665e-05,0.026602400466799736,0.12425500154495239,2.2877000446897e-05,t17_f5_c3,ZTF20aadbosk
2460044.816088,1,2290316084715,19.58769989013672,/ztf/archive/sci/2023/0410/316076/ztf_20230410316076_000269_zg_c12_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2290,47,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.181900024414062,3.525429929140955e-05,0.03854529932141304,-0.029801400378346443,7.987149729160592e-05,t17_f5_c3,ZTF20aadbosk
2460046.7300116,1,2292230014715,20.30030059814453,/ztf/archive/sci/2023/0412/229734/ztf_20230412229734_000269_zg_c12_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.29223001471501e+18,f,10.0,2292,47,269,2195.830078125,1465.219970703125,174.9523322,-23.6648516,19.257999420166016,0.1252789944410324,1.30239999294281,19.155000686645508,0.12160000205039978,0.33919501304626465,17.91900062561035,0.026000000536441803,2.138000011444092,0.06800000369548798,-0.4358310103416443,-0.10300400108098984,2.9200000762939453,0.9739999771118164,876.6740112304688,1.145259976387024,0.9984949827194214,0.9580000042915344,0.8399999737739563,0.32808199524879456,0.2876709997653961,1.1404800415039062,3.0,0.0,0.86142897605896,1.0,19.083200454711914,0.14380000531673431,174.9524364,-23.6648543,15.0604,26.197999954223633,1.4823600395175163e-05,0.028709199279546738,-0.037048500031232834,2.6726800570031628e-05,t17_f5_c3,ZTF20aadbosk
2460050.719537,2,2296219534715,20.118799209594727,/ztf/archive/sci/2023/0416/219132/ztf_20230416219132_000269_zr_c12_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2296,47,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.179399490356445,1.0222899618383963e-05,0.02374579943716526,0.12146800011396408,1.8169799659517594e-05,t17_f5_c3,ZTF20aadbosk
2460050.8392824,1,2296339284715,19.855499267578125,/ztf/archive/sci/2023/0416/339271/ztf_20230416339271_000269_zg_c12_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.29633928471501e+18,f,7.0,2296,47,269,2182.169921875,1496.739990234375,174.9524009,-23.6648661,19.302400588989258,0.15528999269008636,1.156999945640564,19.747299194335938,0.3237999975681305,0.12292800098657608,17.91900062561035,0.026000000536441803,2.138000011444092,0.06800000369548798,0.31755000352859497,0.4448870122432709,3.609999895095825,0.949999988079071,890.3280029296875,0.10821100324392319,0.7733160257339478,0.7049999833106995,0.6539999842643738,0.19529099762439728,0.1811629980802536,1.0779800415039062,5.0,0.0,0.8285710215568542,0.9906010031700134,19.38800048828125,0.29660001397132874,174.9524364,-23.6648543,9.35471,26.002399444580078,2.4395099899265915e-05,0.03465849906206131,-0.03382299840450287,4.747340062749572e-05,t17_f5_c3,ZTF20aadbosk
2460052.7302431,1,2298230244715,20.31599998474121,/ztf/archive/sci/2023/0418/229896/ztf_20230418229896_000269_zg_c12_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2.29823024471501e+18,f,8.0,2298,47,269,2153.639892578125,1506.5899658203125,174.952352,-23.6648421,19.26609992980957,0.14209799468517303,1.7285900115966797,19.28860092163086,0.1378999948501587,0.27836498618125916,17.91900062561035,0.026000000536441803,2.138000011444092,0.06800000369548798,-0.16797399520874023,0.022456999868154526,2.9100000858306885,0.9929999709129333,918.8560180664062,1.0274200439453125,1.0048999786376953,0.8920000195503235,0.8519999980926514,0.3065289855003357,0.2927840054035187,1.0469499826431274,1.0,0.0,0.8842859864234924,1.0,19.222299575805664,0.16369999945163727,174.9524364,-23.6648543,15.1843,26.159099578857422,1.8337599613005295e-05,0.03158130124211311,-0.04923510178923607,3.299500167486258e-05,t17_f5_c3,ZTF20aadbosk
