jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,ssdistnr,ssmagnr,ssnamenr,obj_id
2460202.817037,2,2448317032815,20.474199295043945,/ztf/archive/sci/2023/0915/317025/ztf_20230915317025_000345_zr_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2448,28,345,26.26259994506836,9.462210073252209e-06,0.024243799969553947,0.12476799637079239,1.3177200344216544e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaepbbf
2460202.8697685,2,2448369762815,21.650800704956055,/ztf/archive/sci/2023/0915/369768/ztf_20230915369768_000345_zr_c08_o_q1_scimrefdiffimg.fits.fz,Richard Dekany,3,2448,28,345,28.792299270629883,7.475290203728946e-06,0.021173199638724327,0.12794500589370728,1.0338500032958109e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaepbbf
2460202.8733681,2,2448373362815,21.742000579833984,/ztf/archive/sci/2023/0915/373368/ztf_20230915373368_000345_zr_c08_o_q1_scimrefdiffimg.fits.fz,Richard Dekany,3,2448,28,345,28.82979965209961,1.1765399904106744e-05,0.02660980075597763,0.12982399761676788,1.6252899513347074e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaepbbf
2460202.8769676,2,2448376962815,21.80109977722168,/ztf/archive/sci/2023/0915/376968/ztf_20230915376968_000345_zr_c08_o_q1_scimrefdiffimg.fits.fz,Richard Dekany,3,2448,28,345,28.833499908447266,8.276980224763975e-06,0.022175200283527374,0.12105800211429596,1.133820023824228e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaepbbf
2460202.9055208,1,2448405522815,20.613000869750977,/ztf/archive/sci/2023/0915/405521/ztf_20230915405521_000345_zg_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2448,28,345,26.23390007019043,1.5964200429152697e-05,0.03125689923763275,-0.0661424994468689,2.2501799321617e-05,t17_f5_c3,2.448405522815015e+18,t,7.0,1989.2099609375,698.0159912109375,2.7158759,-10.1080252,20.796899795532227,0.2433910071849823,0.8454830050468445,20.391300201416016,0.2971999943256378,0.486954003572464,21.00200080871582,0.054999999701976776,0.9629999995231628,-0.03200000151991844,-0.19604100286960602,-0.405582994222641,2.4200000762939453,0.5059999823570251,698.0159912109375,0.22165900468826294,1.1203900575637817,0.996999979019165,0.8880000114440918,0.41198301315307617,0.36694198846817017,1.1227500438690186,3.0,0.0,0.642857015132904,1.0,20.329999923706055,0.3603000044822693,2.7159578,-10.1079145,6.4972,,,,ZTF20aaepbbf
2460202.9409491,3,2448440942815,19.662799835205078,/ztf/archive/sci/2023/0915/440938/ztf_20230915440938_000345_zi_c08_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2448,28,345,25.698400497436523,2.6953900942316977e-06,0.019700000062584877,0.19022099673748016,9.083940312848426e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaepbbf
2460203.8266204,2,2449326622815,21.766000747680664,/ztf/archive/sci/2023/0916/326609/ztf_20230916326609_000345_zr_c08_o_q1_scimrefdiffimg.fits.fz,Richard Dekany,3,2449,28,345,28.8346004486084,7.506040219595889e-06,0.02118059992790222,0.12670700252056122,1.0327699783374555e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaepbbf
2460203.8302083,2,2449330202815,21.77050018310547,/ztf/archive/sci/2023/0916/330208/ztf_20230916330208_000345_zr_c08_o_q1_scimrefdiffimg.fits.fz,Richard Dekany,3,2449,28,345,28.840200424194336,9.441549991606735e-06,0.023829899728298187,0.12774400413036346,1.30595999507932e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaepbbf
2460203.8338079,2,2449333802815,21.744400024414062,/ztf/archive/sci/2023/0916/333808/ztf_20230916333808_000345_zr_c08_o_q1_scimrefdiffimg.fits.fz,Richard Dekany,3,2449,28,345,28.838699340820312,8.323299880430568e-06,0.022394200786948204,0.12941500544548035,1.1545000234036706e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaepbbf
2460204.7634606,2,2450263462815,21.638500213623047,/ztf/archive/sci/2023/0917/263461/ztf_20230917263461_000345_zr_c08_o_q1_scimrefdiffimg.fits.fz,Richard Dekany,3,2450,28,345,28.791500091552734,8.190820153686218e-06,0.022288000211119652,0.12712199985980988,1.1331600035191514e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaepbbf
2460204.7670602,2,2450267062815,21.6023006439209,/ztf/archive/sci/2023/0917/267060/ztf_20230917267060_000345_zr_c08_o_q1_scimrefdiffimg.fits.fz,Richard Dekany,3,2450,28,345,28.790000915527344,7.6272099249763414e-06,0.021581899374723434,0.12925300002098083,1.0569799997028895e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaepbbf
2460204.7706597,2,2450270652815,21.582000732421875,/ztf/archive/sci/2023/0917/270648/ztf_20230917270648_000345_zr_c08_o_q1_scimrefdiffimg.fits.fz,Richard Dekany,3,2450,28,345,28.804100036621094,9.518389560980722e-06,0.02419159933924675,0.13037200272083282,1.3257599675853271e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaepbbf
