jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458833.6887037,1,1079188702915,19.80340003967285,/ztf/archive/sci/2019/1216/188218/ztf_20191216188218_000301_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1079,29,301,26.21769905090332,4.1995401261374354e-05,0.03785350173711777,-0.0644880011677742,6.643510278081521e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaewban
2458833.7417014,2,1079241702915,19.52120018005371,/ztf/archive/sci/2019/1216/241701/ztf_20191216241701_000301_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1079,29,301,26.226299285888672,3.422790177864954e-05,0.03610450029373169,0.12091899663209915,4.471039937925525e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaewban
2458837.6290509,1,1083129052915,19.928800582885742,/ztf/archive/sci/2019/1220/129051/ztf_20191220129051_000301_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1083,29,301,26.166000366210938,4.099689977010712e-05,0.038157299160957336,-0.06073259934782982,6.231320003280416e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaewban
2458837.7351042,2,1083235102915,19.731700897216797,/ztf/archive/sci/2019/1220/235093/ztf_20191220235093_000301_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1083,29,301,26.236799240112305,2.7778100047726184e-05,0.03256490081548691,0.11265700310468674,3.665199983515777e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaewban
2458851.5860648,2,1097086062915,17.078399658203125,/ztf/archive/sci/2020/0103/086053/ztf_20200103086053_000301_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1097,29,301,24.46109962463379,0.00028993800515308976,0.05463600158691406,0.05036510154604912,0.0004957399796694517,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaewban
2458851.6675116,1,1097167512915,18.18400001525879,/ztf/archive/sci/2020/0103/167396/ztf_20200103167396_000301_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1097,29,301,25.21109962463379,0.00014385000395122916,0.04177450016140938,-0.06231040135025978,0.0003754239878617227,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaewban
2458854.6679977,2,1100167992915,18.675800323486328,/ztf/archive/sci/2020/0106/167396/ztf_20200106167396_000301_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1100,29,301,26.248600006103516,0.00012318200606387109,0.05218600109219551,0.13923199474811554,0.00017652100359555334,t17_f5_c3,1.100167992915015e+18,t,2.0,231.50799560546875,2081.39990234375,48.2269716,-17.7133176,18.640600204467773,0.2521820068359375,1.5268000364303589,18.904399871826172,0.1964000016450882,0.9351530075073242,18.55900001525879,0.06800000369548798,5.675000190734863,0.2630000114440918,-0.4369400143623352,0.263821005821228,3.619999885559082,0.5659999847412109,231.50799560546875,-0.22864000499248505,1.6987899541854858,1.7580000162124634,1.5959999561309814,0.48563501238822937,0.440883994102478,1.1015000343322754,4.0,0.0,0.36714300513267517,0.9453150033950806,18.969499588012695,0.2669999897480011,48.2266996,-17.7132729,6.91658,ZTF20aaewban
2458860.6055903,1,1106105592915,19.439599990844727,/ztf/archive/sci/2020/0112/105579/ztf_20200112105579_000301_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1106,29,301,26.181299209594727,6.195809692144394e-05,0.043233200907707214,-0.0562606006860733,0.00010571000166237354,t17_f5_c3,1.106105592915015e+18,1,10.0,228.8800048828125,2098.590087890625,48.2272318,-17.7132618,18.806299209594727,0.13381899893283844,1.0562000274658203,18.66860008239746,0.1378999948501587,1.8724100589752197,19.22800064086914,0.06300000101327896,4.809999942779541,0.23399999737739563,-0.7916259765625,-0.13765299320220947,4.269999980926514,0.9750000238418579,228.8800048828125,0.7710099816322327,0.8201689720153809,1.2829999923706055,1.1679999828338623,0.30046799778938293,0.27353599667549133,1.0984599590301514,3.0,0.0,0.7342860102653503,0.9975669980049133,18.698699951171875,0.18140000104904175,48.2266798,-17.7132914,12.8685,ZTF20aaewban
2458860.6055903,1,1106105592915,19.439599990844727,/ztf/archive/sci/2020/0112/105579/ztf_20200112105579_000301_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1106,29,301,26.181299209594727,6.195809692144394e-05,0.043233200907707214,-0.0562606006860733,0.00010571000166237354,t17_f5_c3,1.106105592915015e+18,t,10.0,228.8800048828125,2098.590087890625,48.2272318,-17.7132618,18.806299209594727,0.13381899893283844,1.0562000274658203,18.66860008239746,0.1378999948501587,1.8724100589752197,19.22800064086914,0.06300000101327896,4.809999942779541,0.23399999737739563,-0.7916259765625,-0.13765299320220947,4.269999980926514,0.9750000238418579,228.8800048828125,0.7710099816322327,0.8201689720153809,1.2829999923706055,1.1679999828338623,0.30046799778938293,0.27353599667549133,1.0984599590301514,3.0,0.0,0.7342860102653503,0.9975669980049133,18.698699951171875,0.18140000104904175,48.2266798,-17.7132914,12.8685,ZTF20aaewban
2458860.6468981,2,1106146892915,19.30470085144043,/ztf/archive/sci/2020/0112/146887/ztf_20200112146887_000301_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1106,29,301,26.21179962158203,3.065920100198127e-05,0.03397370129823685,0.12417100369930267,4.006969902548008e-05,t17_f5_c3,1.106146892915015e+18,t,3.0,208.9759979248047,2100.949951171875,48.2272642,-17.7133986,18.80579948425293,0.1254200041294098,0.9772449731826782,18.622600555419922,0.16179999709129333,1.9637500047683716,18.55900001525879,0.06800000369548798,5.675000190734863,0.2630000114440918,-0.6601430177688599,-0.18319599330425262,4.320000171661377,0.8679999709129333,208.9759979248047,0.6821460127830505,0.7481529712677002,1.1169999837875366,1.0640000104904175,0.2585650086402893,0.2462960034608841,1.0498100519180298,0.0,0.0,0.798570990562439,1.0,18.658700942993164,0.21400000154972076,48.2266996,-17.7132729,11.077,ZTF20aaewban
2458863.6263657,1,1109126362915,20.233699798583984,/ztf/archive/sci/2020/0115/126366/ztf_20200115126366_000301_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1109,29,301,26.214799880981445,3.056310015381314e-05,0.03363350033760071,-0.08553150296211243,4.1575498471502215e-05,t17_f5_c3,1.109126362915015e+18,t,18.0,203.87399291992188,2076.0400390625,48.2272604,-17.7132849,18.804800033569336,0.07915599644184113,1.4598300457000732,18.997900009155273,0.10899999737739563,1.9664599895477295,19.22800064086914,0.06300000101327896,4.809999942779541,0.23399999737739563,-0.006095999851822853,0.19307099282741547,2.819999933242798,0.9810000061988831,203.87399291992188,1.2357699871063232,1.0521800518035889,0.8320000171661377,0.7850000262260437,0.2950350046157837,0.2783690094947815,1.0598700046539307,1.0,0.0,0.9614289999008179,1.0,19.112899780273438,0.1534000039100647,48.2266798,-17.7132914,23.0996,ZTF20aaewban
2458863.6899884,2,1109189982915,16.514699935913086,/ztf/archive/sci/2020/0115/189988/ztf_20200115189988_000301_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1109,29,301,23.566600799560547,0.0004853470018133521,0.04388339817523956,0.1757189929485321,0.0010934500023722649,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaewban
2458872.6421296,2,1118142122915,19.754899978637695,/ztf/archive/sci/2020/0124/142130/ztf_20200124142130_000301_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1118,29,301,25.836000442504883,2.8083699362468906e-05,0.032467298209667206,0.12037000060081482,3.694780025398359e-05,t17_f5_c3,1.1181421229150152e+18,1,113.0,233.15499877929688,2093.590087890625,48.2272525,-17.7133101,19.10300064086914,0.14083300530910492,1.359910011291504,19.249399185180664,0.24770000576972961,1.8772499561309814,18.55900001525879,0.06800000369548798,5.675000190734863,0.2630000114440918,-0.24924300611019135,0.14640699326992035,2.0199999809265137,0.9789999723434448,233.15499877929688,0.5054680109024048,1.241610050201416,0.6959999799728394,0.5860000252723694,0.34455400705337524,0.29009899497032166,1.1877100467681885,4.0,0.0,0.74857097864151,0.964447021484375,19.39080047607422,0.36000001430511475,48.2266996,-17.7132729,11.0589,ZTF20aaewban
