jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459904.9526852,2,2150452685915,20.283199310302734,/ztf/archive/sci/2022/1121/452627/ztf_20221121452627_000662_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2150,59,662,26.19339942932129,2.6867301130550914e-06,0.0216389000415802,0.09339810162782669,5.3575399761029985e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aahcrjn
2459906.8502431,1,2152350245915,20.637500762939453,/ztf/archive/sci/2022/1123/350243/ztf_20221123350243_000662_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2152,59,662,26.366600036621094,4.296280167181976e-06,0.02728860080242157,-0.048879001289606094,8.580829671700485e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aahcrjn
2459906.8908102,2,2152390815915,20.42690086364746,/ztf/archive/sci/2022/1123/390787/ztf_20221123390787_000662_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2152,59,662,26.304800033569336,2.452040007483447e-06,0.020566599443554878,0.09306229650974274,4.889790034212638e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aahcrjn
2459909.857037,1,2155357035915,20.770299911499023,/ztf/archive/sci/2022/1126/356863/ztf_20221126356863_000662_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2155,59,662,26.394399642944336,3.8559501263080165e-06,0.025982800871133804,-0.06396789848804474,7.690549864491913e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aahcrjn
2459909.9048727,2,2155404875915,20.46739959716797,/ztf/archive/sci/2022/1126/404873/ztf_20221126404873_000662_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2155,59,662,26.322599411010742,2.526139951442019e-06,0.021077999845147133,0.08697549998760223,5.050570052844705e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aahcrjn
2459913.8413773,1,2159341375915,20.546899795532227,/ztf/archive/sci/2022/1130/341366/ztf_20221130341366_000662_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2159,59,662,26.38010025024414,5.022890036343597e-06,0.029599199071526527,-0.05772170051932335,1.017199974739924e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aahcrjn
2459913.9081134,2,2159408115915,20.27790069580078,/ztf/archive/sci/2022/1130/408090/ztf_20221130408090_000662_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2159,59,662,26.306400299072266,2.8330400709819514e-06,0.022173499688506126,0.0933649018406868,5.602999863185687e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aahcrjn
2459928.8416551,2,2174341655915,18.83009910583496,/ztf/archive/sci/2022/1215/341655/ztf_20221215341655_000662_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2174,59,662,25.432600021362305,1.707340015855152e-05,0.05247670039534569,0.08567299693822861,3.419709901208989e-05,t17_f5_c3,2.174341655915015e+18,t,6.0,1974.0400390625,1770.1700439453125,109.0675594,35.7525614,17.586599349975586,0.07701600342988968,1.876189947128296,17.432600021362305,0.10520000010728836,1.9516799449920654,20.892000198364258,0.05900000035762787,0.6909999847412109,0.006000000052154064,-2.054610013961792,-0.153998002409935,2.0899999141693115,0.9829999804496765,1098.4599609375,1.3975199460983276,1.2262400388717651,0.7680000066757202,0.6480000019073486,0.36746400594711304,0.31004801392555237,1.1851799488067627,5.0,0.0,0.8257139921188354,0.9741380214691162,17.339500427246094,0.12370000034570694,109.0681341,35.7522752,18.8138,ZTF20aahcrjn
2459932.8436806,2,2178343685915,20.524700164794922,/ztf/archive/sci/2022/1219/343669/ztf_20221219343669_000662_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2178,59,662,26.30500030517578,2.3176301056082593e-06,0.020146699622273445,0.08831000328063965,4.607739811035572e-06,t17_f5_c3,2.178343685915015e+18,t,27.0,1982.3499755859375,1745.06005859375,109.0675552,35.7525413,17.93000030517578,0.04590800032019615,10.171500205993652,17.85059928894043,0.033900000154972076,1.920799970626831,20.892000198364258,0.05900000035762787,0.6909999847412109,0.006000000052154064,1.464020013809204,-0.07937099784612656,2.740000009536743,0.9919999837875366,1090.1500244140625,2.674099922180176,0.9654409885406494,0.8560000061988831,0.7950000166893005,0.31240901350975037,0.29014599323272705,1.0767300128936768,2.0,0.0,0.9085710048675537,1.0,17.759199142456055,0.03909999877214432,109.0681341,35.7522752,40.3252,ZTF20aahcrjn
2459932.9474537,1,2178447455915,20.738500595092773,/ztf/archive/sci/2022/1219/447407/ztf_20221219447407_000662_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2178,59,662,26.39069938659668,3.984760041930713e-06,0.026278700679540634,-0.06541769951581955,8.058040293690283e-06,t17_f5_c3,2.178447455915015e+18,t,29.0,1983.5899658203125,1722.239990234375,109.06755,35.7525706,17.84670066833496,0.06411200016736984,27.491100311279297,17.83989906311035,0.03020000085234642,0.5829089879989624,22.283000946044922,0.22300000488758087,1.2860000133514404,-0.22499999403953552,0.027149999514222145,-0.006765000056475401,1.9900000095367432,0.9829999804496765,1088.9100341796875,2.8986399173736572,1.223080039024353,0.7200000286102295,0.6840000152587891,0.36180898547172546,0.3437190055847168,1.0526299476623535,2.0,0.0,0.9442859888076782,1.0,17.82740020751953,0.03709999844431877,109.0673491,35.7525942,55.3775,ZTF20aahcrjn
