jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460184.9443634,1,2430444360915,20.15060043334961,/ztf/archive/sci/2023/0828/444352/ztf_20230828444352_000353_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.430444360915015e+18,t,0.0,2430,9,353,692.9149780273438,332.2879943847656,60.4992941,-11.9417679,19.753299713134766,0.19242499768733978,1.2968599796295166,20.097299575805664,0.2913999855518341,0.25906598567962646,19.61400032043457,0.028999999165534973,1.3229999542236328,0.09700000286102295,0.03490399941802025,0.3439500033855438,2.5899999141693115,0.9210000038146973,332.2879943847656,0.053321998566389084,1.2403199672698975,0.765999972820282,0.7160000205039978,0.29575300216674805,0.27644801139831543,1.0698299407958984,6.0,0.0,0.9085710048675537,0.8816220164299011,19.776599884033203,0.2777999937534332,60.4993665,-11.9417507,10.4225,26.236299514770508,1.9095499737886712e-05,0.03741149976849556,-0.08874049782752991,3.100440153502859e-05,t17_f5_c3,ZTF20aahiooj
2460184.9808796,2,2430480870915,20.344200134277344,/ztf/archive/sci/2023/0828/480868/ztf_20230828480868_000353_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.430480870915015e+18,t,3.0,2430,9,353,689.1959838867188,345.0539855957031,60.4993486,-11.9417659,19.723800659179688,0.1367740035057068,1.0635000467300415,19.754499435424805,0.23270000517368317,0.08958599716424942,19.027999877929688,0.039000000804662704,2.1549999713897705,0.17299999296665192,-0.168271005153656,0.030703000724315643,1.2337199449539185,0.8939999938011169,345.0539855957031,0.5897409915924072,2.0,0.6169999837875366,0.5830000042915344,0.5001149773597717,0.4725559949874878,1.0583200454711914,6.0,0.0,0.9242860078811646,0.8901429772377014,19.831899642944336,0.31869998574256897,60.4993738,-11.9417711,6.89319,26.20479965209961,1.0102399755851366e-05,0.027712199836969376,0.11333099752664566,1.5292900570784695e-05,t17_f5_c3,ZTF20aahiooj
2460186.9191204,2,2432419120915,19.24340057373047,/ztf/archive/sci/2023/0830/419109/ztf_20230830419109_000353_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2432,9,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.13170051574707,1.2545299796329346e-05,0.030634799972176552,0.09954530000686646,1.8875700334319845e-05,t17_f5_c3,ZTF20aahiooj
2460186.9828819,1,2432482880915,19.384700775146484,/ztf/archive/sci/2023/0830/482870/ztf_20230830482870_000353_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2432,9,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.251100540161133,2.268659955007024e-05,0.03605220094323158,-0.05313120037317276,4.771820022142492e-05,t17_f5_c3,ZTF20aahiooj
2460187.9166898,2,2433416684015,19.06999969482422,/ztf/archive/sci/2023/0831/416678/ztf_20230831416678_001345_zr_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2433,40,1345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.24090003967285,1.3382000361161772e-05,0.03195580095052719,0.11580099910497665,1.991869976336602e-05,t17_f5_c3,ZTF20aahiooj
2460187.9229282,2,2433422924015,19.043899536132812,/ztf/archive/sci/2023/0831/422859/ztf_20230831422859_001345_zr_c11_o_q1_scimrefdiffimg.fits.fz,Kulkarni,3,,,,2433,40,1345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.270700454711914,5.773330121883191e-05,0.06598670035600662,0.09768480062484741,8.61056032590568e-05,t17_f5_c3,ZTF20aahiooj
2460191.9219792,1,2437421970915,19.1210994720459,/ztf/archive/sci/2023/0904/421968/ztf_20230904421968_000353_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2437,9,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.243000030517578,3.0411099942284636e-05,0.038072001188993454,-0.07960270345211029,6.77642019581981e-05,t17_f5_c3,ZTF20aahiooj
2460191.9794329,2,2437479430915,19.79759979248047,/ztf/archive/sci/2023/0904/479433/ztf_20230904479433_000353_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2437,9,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.230300903320312,7.5027001003036276e-06,0.023906400427222252,0.10385700315237045,1.1380199794075452e-05,t17_f5_c3,ZTF20aahiooj
2460192.9751273,3,2438475120915,19.621400833129883,/ztf/archive/sci/2023/0905/475116/ztf_20230905475116_000353_zi_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2438,9,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.582700729370117,2.9510299555113306e-06,0.022993499413132668,0.19217899441719055,1.2414599950716365e-05,t17_f5_c3,ZTF20aahiooj
2460194.9412847,1,2440441280915,20.13949966430664,/ztf/archive/sci/2023/0907/441285/ztf_20230907441285_000353_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.440441280915015e+18,t,0.0,2440,9,353,672.9089965820312,364.8869934082031,60.4993208,-11.9418091,19.967300415039062,0.15228599309921265,1.331779956817627,20.0585994720459,0.34599998593330383,0.2536959946155548,19.61400032043457,0.028999999165534973,1.3229999542236328,0.09700000286102295,-0.3165830075740814,0.09129100292921066,1.7100000381469727,0.8619999885559082,364.8869934082031,0.08091100305318832,1.534350037574768,0.7519999742507935,0.6859999895095825,0.439765989780426,0.4011699855327606,1.09621000289917,6.0,0.0,0.9257140159606934,0.9160280227661133,19.77050018310547,0.3400999903678894,60.4993665,-11.9417507,8.95673,26.29129981994629,1.0945599569822662e-05,0.028760800138115883,-0.06393689662218094,1.7333000869257376e-05,t17_f5_c3,ZTF20aahiooj
