jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458847.0373148,3,1092537316115,20.145599365234375,/ztf/archive/sci/2019/1229/537222/ztf_20191229537222_000792_zi_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,1092,61,792,26.540700912475586,3.016499931618455e-06,0.017420200631022453,0.18477700650691986,1.2692999916907866e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aahrjwb
2458847.060544,1,1092560544815,20.554100036621094,/ztf/archive/sci/2019/1229/560544/ztf_20191229560544_000791_zg_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1092,48,791,26.156299591064453,5.191360105527565e-05,0.04834410175681114,-0.09165400266647339,8.212790271500126e-05,t17_f5_c3,1.09256054481501e+18,f,9.0,2632.590087890625,817.9600219726562,207.9789157,58.3348548,20.523300170898438,0.27596598863601685,1.0276700258255005,20.597700119018555,0.37279999256134033,1.0326100587844849,18.639999389648438,0.06199999898672104,4.910999774932861,0.3160000145435333,0.2340569943189621,0.07442600280046463,2.3499999046325684,0.47099998593330383,439.90899658203125,-0.04361499845981598,1.248039960861206,0.9649999737739563,0.7429999709129333,0.4106380045413971,0.31617000699043274,1.2987899780273438,6.0,0.0,0.8242859840393066,0.8911370038986206,20.53499984741211,0.44269999861717224,207.9784675,58.335025,5.71838,ZTF20aahrjwb
2458851.014213,2,1096514216115,19.903799057006836,/ztf/archive/sci/2020/0102/514201/ztf_20200102514201_000792_zr_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1096,61,792,26.02239990234375,1.708550007606391e-05,0.02806060016155243,0.0944959968328476,2.4416500309598632e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aahrjwb
2458851.0508102,1,1096550816115,20.227699279785156,/ztf/archive/sci/2020/0102/550775/ztf_20200102550775_000792_zg_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1096,61,792,26.136499404907227,2.5761499273357913e-05,0.03437649831175804,-0.0822020024061203,3.729989839484915e-05,t17_f5_c3,1.09655081611501e+18,f,5.0,332.1419982910156,850.0280151367188,207.978512,58.3350256,19.720500946044922,0.24553799629211426,3.748189926147461,20.273399353027344,0.32100000977516174,0.2710860073566437,18.665000915527344,0.05999999865889549,4.763000011444092,0.18700000643730164,0.1415809988975525,0.5528900027275085,4.230000019073486,0.9049999713897705,332.1419982910156,-0.04569999873638153,0.7872779965400696,0.7229999899864197,0.44999998807907104,0.17092199623584747,0.10638300329446793,1.6066700220108032,5.0,0.0,0.5385710000991821,0.957131028175354,20.32110023498535,0.42480000853538513,207.9784886,58.334951,11.8557,ZTF20aahrjwb
2458853.0346644,1,1098534664815,20.745500564575195,/ztf/archive/sci/2020/0104/534630/ztf_20200104534630_000791_zg_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1098,48,791,26.186599731445312,5.991239959257655e-05,0.052600301802158356,-0.12822799384593964,9.295310155721381e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aahrjwb
2458853.0502546,2,1098550254815,20.449899673461914,/ztf/archive/sci/2020/0104/550243/ztf_20200104550243_000791_zr_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1098,48,791,26.06439971923828,2.1588899471680634e-05,0.03162480145692825,0.08835010230541229,3.358590038260445e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aahrjwb
2458853.0738194,2,1098573816115,20.172000885009766,/ztf/archive/sci/2020/0104/573819/ztf_20200104573819_000792_zr_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1098,61,792,26.060800552368164,1.3414700333669316e-05,0.024876300245523453,0.09133079648017883,1.9049199181608856e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aahrjwb
2458853.074294,2,1098574294815,20.24880027770996,/ztf/archive/sci/2020/0104/574271/ztf_20200104574271_000791_zr_c13_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1098,48,791,26.084699630737305,1.7663900507614017e-05,0.028488000854849815,0.09031990170478821,2.738699913606979e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aahrjwb
2458854.0292824,1,1099529286115,20.44059944152832,/ztf/archive/sci/2020/0105/529282/ztf_20200105529282_000792_zg_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1099,61,792,26.152700424194336,2.3850499928812496e-05,0.033092498779296875,-0.07290039956569672,3.368550096638501e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aahrjwb
2458855.8832755,3,1101383276115,19.164600372314453,/ztf/archive/sci/2020/0107/383264/ztf_20200107383264_000792_zi_c16_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,1101,61,792,25.325000762939453,8.565310054109432e-06,0.029617400839924812,0.19004100561141968,3.546500010997988e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aahrjwb
