jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458846.5966088,1,1092096603015,20.608400344848633,/ztf/archive/sci/2019/1229/096597/ztf_20191229096597_000602_zg_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1092,30,602,26.32360076904297,1.316050020250259e-05,0.033055998384952545,-0.0939377024769783,1.990959935938008e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaiihky
2458846.6452546,2,1092145253015,20.269699096679688,/ztf/archive/sci/2019/1229/145231/ztf_20191229145231_000602_zr_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1092,30,602,26.262399673461914,8.991720278572757e-06,0.027080299332737923,0.11079300194978714,1.3366499842959456e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaiihky
2458849.6497569,2,1095149753015,20.12969970703125,/ztf/archive/sci/2020/0101/149745/ztf_20200101149745_000602_zr_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1095,30,602,26.267799377441406,9.955459972843528e-06,0.028224999085068703,0.1126910001039505,1.4613199709856417e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaiihky
2458852.6540162,2,1098154013015,19.31559944152832,/ztf/archive/sci/2020/0104/153970/ztf_20200104153970_000602_zr_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1098,30,602,26.15410041809082,1.2270499610167462e-05,0.03141620010137558,0.1141119971871376,1.8174299839301966e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaiihky
2458853.6460995,2,1099146093015,19.02680015563965,/ztf/archive/sci/2020/0105/146088/ztf_20200105146088_000602_zr_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1099,30,602,26.024599075317383,1.9575300029828213e-05,0.039427999407052994,0.10603199899196625,2.9143700885470025e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaiihky
2458854.6490162,2,1100149013015,18.847299575805664,/ztf/archive/sci/2020/0106/149005/ztf_20200106149005_000602_zr_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1100,30,602,26.281099319458008,3.71054993593134e-05,0.04330940172076225,0.10328599810600281,6.316920189419761e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaiihky
2458855.6533565,1,1101153353015,19.162099838256836,/ztf/archive/sci/2020/0107/153356/ztf_20200107153356_000602_zg_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1101,30,602,26.31170082092285,3.518439916661009e-05,0.0406653992831707,-0.0714716985821724,7.611400360474363e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaiihky
2458855.7051157,2,1101205113015,19.216899871826172,/ztf/archive/sci/2020/0107/205116/ztf_20200107205116_000602_zr_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1101,30,602,26.24020004272461,1.938929926836863e-05,0.03953789919614792,0.12435600161552429,2.8713500796584412e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaiihky
2458859.5935185,1,1105093513015,19.6382999420166,/ztf/archive/sci/2020/0111/093507/ztf_20200111093507_000602_zg_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1105,30,602,26.303199768066406,1.8080399968312122e-05,0.03495600074529648,-0.04520139843225479,3.423189991735853e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaiihky
2458859.6758218,2,1105175823015,19.77720069885254,/ztf/archive/sci/2020/0111/175775/ztf_20200111175775_000602_zr_c08_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1105,30,602,26.24410057067871,9.435189895157237e-06,0.02768010087311268,0.10956600308418274,1.3975200090499129e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaiihky
