jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460211.9709606,2,2457470966315,20.59760093688965,/ztf/archive/sci/2023/0924/470938/ztf_20230924470938_000783_zr_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2457,63,783,26.19409942626953,2.375539907006896e-06,0.01935330033302307,0.09310460090637207,3.990609911852516e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaisbor
2460211.9974306,1,2457497436315,20.740299224853516,/ztf/archive/sci/2023/0924/497419/ztf_20230924497419_000783_zg_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2457,63,783,26.268800735473633,4.533660103334114e-06,0.026815500110387802,-0.03914570063352585,7.719780114712194e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaisbor
2460213.9035301,1,2459403536315,19.634300231933594,/ztf/archive/sci/2023/0926/403356/ztf_20230926403356_000783_zg_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2459,63,783,26.19059944152832,9.414719897904433e-06,0.03516789898276329,-0.03844359889626503,1.9063299987465143e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaisbor
2460214.0029745,2,2459502976315,20.587499618530273,/ztf/archive/sci/2023/0926/502951/ztf_20230926502951_000783_zr_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2459,63,783,26.196199417114258,2.3104000774765154e-06,0.019223999232053757,0.09208639711141586,3.881690190610243e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaisbor
2460220.8992708,1,2466399276315,19.281700134277344,/ztf/archive/sci/2023/1003/399259/ztf_20231003399259_000783_zg_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2466,63,783,26.140499114990234,1.6814399714348838e-05,0.0422682985663414,-0.030768800526857376,3.75300005543977e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaisbor
2460220.9928704,2,2466492876315,19.83449935913086,/ztf/archive/sci/2023/1003/492859/ztf_20231003492859_000783_zr_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2466,63,783,26.181699752807617,4.4491098378784955e-06,0.02668830007314682,0.09965170174837112,7.480489784938982e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaisbor
2460222.9036111,2,2468403616315,19.543100357055664,/ztf/archive/sci/2023/1005/403600/ztf_20231005403600_000783_zr_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2468,63,783,26.164499282836914,9.577360287948977e-06,0.038961999118328094,0.09651380032300949,1.613079984963406e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaisbor
2460222.9461921,1,2468446196315,19.435699462890625,/ztf/archive/sci/2023/1005/446192/ztf_20231005446192_000783_zg_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2468,63,783,26.255699157714844,2.0196199329802766e-05,0.044646698981523514,-0.03569750115275383,4.52878994110506e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaisbor
2460224.9474884,1,2470447486315,20.250499725341797,/ztf/archive/sci/2023/1007/447477/ztf_20231007447477_000783_zg_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2470,63,783,26.2593994140625,6.6361299104755744e-06,0.031969599425792694,-0.05055230110883713,1.1627400454017334e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaisbor
2460230.0129051,2,2475512906315,19.655500411987305,/ztf/archive/sci/2023/1012/512905/ztf_20231012512905_000783_zr_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2475,63,783,26.185300827026367,9.881649930321146e-06,0.03960280120372772,0.08846589922904968,1.6494999727001414e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaisbor
2460232.9658565,1,2478465856315,20.73870086669922,/ztf/archive/sci/2023/1015/465845/ztf_20231015465845_000783_zg_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2478,63,783,26.28380012512207,4.123010057810461e-06,0.02566869929432869,-0.05813319981098175,6.951900104468223e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaisbor
2460233.007037,2,2478507036315,20.54789924621582,/ztf/archive/sci/2023/1015/507025/ztf_20231015507025_000783_zr_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2478,63,783,26.21540069580078,3.265120085416129e-06,0.02280060015618801,0.08653900027275085,5.4526499297935516e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaisbor
2460234.9234144,2,2480423416315,20.536300659179688,/ztf/archive/sci/2023/1017/423414/ztf_20231017423414_000783_zr_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2480,63,783,26.130800247192383,2.700520099097048e-06,0.0207435991615057,0.08966950327157974,4.510300186666427e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaisbor
2460234.9505556,1,2480450556315,20.348800659179688,/ztf/archive/sci/2023/1017/450544/ztf_20231017450544_000783_zg_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2480,63,783,25.9424991607666,2.3764099751133472e-05,0.06155410036444664,-0.06405500322580338,4.035910023958422e-05,t17_f5_c3,2.480450556315015e+18,t,29.0,797.5499877929688,2856.7099609375,110.9649892,56.9596643,20.24650001525879,0.27913299202919006,1.1870700120925903,20.136899948120117,0.3276999890804291,0.33796098828315735,19.135000228881836,0.01899999938905239,0.7749999761581421,-0.027000000700354576,-1.6979800462722778,-0.10960199683904648,1.2401000261306763,0.4749999940395355,223.78900146484375,0.21186600625514984,2.0,0.9810000061988831,0.6959999799728394,0.7910670042037964,0.5612459778785706,1.4094799757003784,7.0,0.0,0.7785710096359253,0.9615499973297119,20.096599578857422,0.4032999873161316,110.9650449,56.9597589,6.05706,ZTF20aaisbor
2459951.7968519,2,2197296856315,19.068199157714844,/ztf/archive/sci/2023/0107/296829/ztf_20230107296829_000783_zr_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2197,63,783,26.225200653076172,1.0053499863715842e-05,0.039041999727487564,0.10323499888181686,1.6844700439833105e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaisbor
2459951.8799421,1,2197379946315,18.879600524902344,/ztf/archive/sci/2023/0107/379653/ztf_20230107379653_000783_zg_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2197,63,783,26.306699752807617,3.0180099201970734e-05,0.04272200167179108,-0.016307899728417397,7.629519677720964e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaisbor
2459956.7875116,1,2202287516315,20.17460060119629,/ztf/archive/sci/2023/0112/287477/ztf_20230112287477_000783_zg_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2202,63,783,26.255300521850586,8.064659596129786e-06,0.03546150028705597,-0.02255750074982643,1.434519981557969e-05,t17_f5_c3,2.202287516315015e+18,t,9.0,725.2550048828125,2894.199951171875,110.9650587,56.959681,19.619300842285156,0.19335199892520905,0.796580970287323,19.70599937438965,0.24230000376701355,0.25827598571777344,19.135000228881836,0.01899999938905239,0.7749999761581421,-0.027000000700354576,-0.20348599553108215,0.08669599890708923,3.190000057220459,0.968999981880188,186.2969970703125,0.4686430096626282,0.8262509703636169,0.8970000147819519,0.6729999780654907,0.28119099140167236,0.21097199618816376,1.3328399658203125,6.0,0.0,0.9114289879798889,0.8934659957885742,19.742900848388672,0.3203999996185303,110.9650449,56.9597589,8.64196,ZTF20aaisbor
