jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458867.6956829,1,1113195683915,20.277000427246094,/ztf/archive/sci/2020/0119/195660/ztf_20200119195660_000745_zg_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1113,39,745,26.22439956665039,5.719969976780703e-06,0.03455429896712303,-0.06436850130558014,1.3782700079900678e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaogrqe
2458867.7444444,2,1113244443915,20.1742000579834,/ztf/archive/sci/2020/0119/244444/ztf_20200119244444_000745_zr_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1113,39,745,26.16320037841797,2.2404899482353358e-06,0.021358199417591095,0.08394979685544968,5.4268798521661665e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaogrqe
2458871.7183565,1,1117218353915,20.558900833129883,/ztf/archive/sci/2020/0123/218194/ztf_20200123218194_000745_zg_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1117,39,745,26.302000045776367,5.415869964053854e-06,0.0337258018553257,-0.06747130304574966,1.29726995510282e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaogrqe
2458871.7381944,2,1117238193915,20.22610092163086,/ztf/archive/sci/2020/0123/238194/ztf_20200123238194_000745_zr_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1117,39,745,26.31329917907715,2.307820068381261e-06,0.02158989943563938,0.08795969933271408,5.618659997708164e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaogrqe
2458872.700625,1,1118200623915,20.75830078125,/ztf/archive/sci/2020/0124/200590/ztf_20200124200590_000745_zg_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1118,39,745,26.296100616455078,4.9584500629862305e-06,0.03209700062870979,-0.07560169696807861,1.1921600162168033e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaogrqe
2458873.6709144,2,1119170913915,20.477399826049805,/ztf/archive/sci/2020/0125/170880/ztf_20200125170880_000745_zr_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1119,39,745,26.312400817871094,1.9681899630086264e-06,0.02007729932665825,0.08139339834451675,4.770050054503372e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaogrqe
2458874.6981829,1,1120198183915,20.132699966430664,/ztf/archive/sci/2020/0126/198183/ztf_20200126198183_000745_zg_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1120,39,745,25.64550018310547,7.3504102147126105e-06,0.039090000092983246,-0.08105660229921341,1.7804899471229874e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaogrqe
2458874.7174769,2,1120217473915,20.147899627685547,/ztf/archive/sci/2020/0126/217477/ztf_20200126217477_000745_zr_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1120,39,745,25.932300567626953,2.827219987011631e-06,0.023998400196433067,0.07708299905061722,6.891630164318485e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaogrqe
2458875.7156019,2,1121215603915,20.431800842285156,/ztf/archive/sci/2020/0127/215602/ztf_20200127215602_000745_zr_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1121,39,745,26.296300888061523,2.6386198896943824e-06,0.023320399224758148,0.08554880321025848,6.394589945557527e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaogrqe
2458876.6823727,1,1122182373915,20.70840072631836,/ztf/archive/sci/2020/0128/182373/ztf_20200128182373_000745_zg_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1122,39,745,26.29290008544922,4.912809799861861e-06,0.0318416990339756,-0.08286870270967484,1.1888399967574514e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaogrqe
