jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458871.8447569,3,1117344751415,19.496999740600586,/ztf/archive/sci/2020/0123/344745/ztf_20200123344745_000718_zi_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,1117,14,718,26.49570083618164,3.4514600883994717e-06,0.020169299095869064,0.1986590027809143,1.2143699677835684e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458871.8911458,3,1117391145215,19.691200256347656,/ztf/archive/sci/2020/0123/391134/ztf_20200123391134_000674_zi_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,1117,52,674,26.707199096679688,3.4522099667810835e-06,0.02068289928138256,0.1873439997434616,1.1741300113499165e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458871.9445023,1,1117444505215,20.531099319458008,/ztf/archive/sci/2020/0123/444491/ztf_20200123444491_000674_zg_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,1117,52,674,26.308000564575195,3.7963498471071944e-05,0.045058801770210266,-0.08960890024900436,5.665190110448748e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458871.9454051,1,1117445401415,20.41119956970215,/ztf/archive/sci/2020/0123/445405/ztf_20200123445405_000718_zg_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,1117,14,718,26.181100845336914,2.139870048267767e-05,0.03265320137143135,-0.0983245000243187,3.271560126449913e-05,t17_f5_c3,1.11744540141501e+18,f,8.0,158.1199951171875,2877.830078125,205.9657238,36.8028238,20.508100509643555,0.26305699348449707,1.2569199800491333,21.183900833129883,0.6970999836921692,0.7833139896392822,18.514999389648438,0.039000000804662704,3.0269999504089355,0.14800000190734863,0.4474540054798126,0.675832986831665,1.4718199968338013,0.5979999899864197,158.1199951171875,-0.7726989984512329,2.0,0.8230000138282776,0.6919999718666077,0.5591729879379272,0.47016799449920654,1.1893099546432495,4.0,0.0,0.8399999737739563,0.9222149848937988,20.993600845336914,0.7422000169754028,205.9659944,36.8027848,5.6577,ZTF20aaoznxc
2458871.9615741,1,1117461575215,20.321199417114258,/ztf/archive/sci/2020/0123/461562/ztf_20200123461562_000674_zg_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,1117,52,674,26.314699172973633,3.554729846655391e-05,0.043351899832487106,-0.08214990049600601,5.376890112529509e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458871.9620255,1,1117462021415,20.316699981689453,/ztf/archive/sci/2020/0123/462025/ztf_20200123462025_000718_zg_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,1117,14,718,26.16349983215332,2.1259700588416308e-05,0.03232470154762268,-0.07029099762439728,3.330159961478785e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458871.9751157,1,1117475115215,20.356599807739258,/ztf/archive/sci/2020/0123/475104/ztf_20200123475104_000674_zg_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1117,52,674,26.32859992980957,3.89892011298798e-05,0.04562529921531677,-0.09085410088300705,5.8791498304344714e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458872.0189583,2,1117518951415,20.093599319458008,/ztf/archive/sci/2020/0123/518935/ztf_20200123518935_000718_zr_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,1117,14,718,26.01460075378418,1.3388200386543758e-05,0.025668300688266754,0.11825200170278549,2.0213399693602696e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458872.0208333,2,1117520835215,20.1343994140625,/ztf/archive/sci/2020/0123/520822/ztf_20200123520822_000674_zr_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,1117,52,674,26.10810089111328,1.3047600077698007e-05,0.026593100279569626,0.10931900143623352,1.902169969980605e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458872.0377546,2,1117537751415,20.022300720214844,/ztf/archive/sci/2020/0123/537755/ztf_20200123537755_000718_zr_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,1117,14,718,26.03660011291504,1.4734700016560964e-05,0.0266014002263546,0.11661799997091293,2.2086700482759625e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458872.0387153,2,1117538715215,20.17300033569336,/ztf/archive/sci/2020/0123/538669/ztf_20200123538669_000674_zr_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,1117,52,674,26.18670082092285,1.4082599591347389e-05,0.027528999373316765,0.10052099823951721,2.0461999156395905e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458872.0396412,2,1117539645215,20.03730010986328,/ztf/archive/sci/2020/0123/539630/ztf_20200123539630_000674_zr_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1117,52,674,26.17889976501465,1.4869199731037952e-05,0.028430400416254997,0.10455600172281265,2.172170025005471e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458872.0438542,3,1117543855215,20.083599090576172,/ztf/archive/sci/2020/0123/543472/ztf_20200123543472_000674_zi_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,1117,52,674,26.732999801635742,1.8580000187284895e-06,0.015179299749433994,0.19292500615119934,6.385039796441561e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458872.0557523,3,1117555751415,19.89229965209961,/ztf/archive/sci/2020/0123/555752/ztf_20200123555752_000718_zi_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,1117,14,718,26.566099166870117,2.3073200736689614e-06,0.01644749939441681,0.19730600714683533,8.231720130424947e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458872.9356134,1,1118435611415,20.643600463867188,/ztf/archive/sci/2020/0124/435602/ztf_20200124435602_000718_zg_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,1118,14,718,26.09779930114746,1.7652599126449786e-05,0.029658200219273567,-0.07517959922552109,2.6855699616135098e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458872.9374653,1,1118437465215,20.642000198364258,/ztf/archive/sci/2020/0124/437454/ztf_20200124437454_000674_zg_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,1118,52,674,26.129199981689453,3.1719999242341146e-05,0.04119059816002846,-0.08902259916067123,4.6264500269899145e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458872.9470602,1,1118447061415,20.049800872802734,/ztf/archive/sci/2020/0124/447060/ztf_20200124447060_000718_zg_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1118,14,718,25.69879913330078,2.5514300432405435e-05,0.03493329882621765,-0.0883788987994194,4.0075301512843e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458872.9564699,1,1118456461415,20.53019905090332,/ztf/archive/sci/2020/0124/456458/ztf_20200124456458_000718_zg_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,1118,14,718,26.121400833129883,1.6419000530731864e-05,0.02827030047774315,-0.0918010026216507,2.4673099687788635e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458872.9977431,3,1118497745215,20.42169952392578,/ztf/archive/sci/2020/0124/497720/ztf_20200124497720_000674_zi_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,1118,52,674,26.733200073242188,4.320099833421409e-06,0.023128999397158623,0.18896499276161194,1.4820900105405599e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458873.0073264,3,1118507321415,19.494699478149414,/ztf/archive/sci/2020/0124/507292/ztf_20200124507292_000718_zi_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,1118,14,718,25.7362003326416,1.0827699952642433e-05,0.0354033000767231,0.18502600491046906,3.8403301005018875e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458873.0236111,3,1118523615215,19.76580047607422,/ztf/archive/sci/2020/0124/523576/ztf_20200124523576_000674_zi_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,1118,52,674,26.180299758911133,6.92214007358416e-06,0.029185399413108826,0.1817460060119629,2.4042599761742167e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458873.0270949,3,1118527091415,20.224000930786133,/ztf/archive/sci/2020/0124/527072/ztf_20200124527072_000718_zi_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,1118,14,718,26.41990089416504,2.2993799575488083e-06,0.01626710034906864,0.18860700726509094,8.332789548148867e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458873.0468287,2,1118546825215,20.57110023498535,/ztf/archive/sci/2020/0124/546817/ztf_20200124546817_000674_zr_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,1118,52,674,26.1968994140625,1.3281999599712435e-05,0.026744399219751358,0.10756000131368637,1.9392700778553262e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458873.0512731,2,1118551271415,20.32200050354004,/ztf/archive/sci/2020/0124/551238/ztf_20200124551238_000718_zr_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,1118,14,718,25.967300415039062,1.4039699635759462e-05,0.02615319937467575,0.10894899815320969,2.124290040228516e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458873.0521759,2,1118552171415,20.29990005493164,/ztf/archive/sci/2020/0124/552176/ztf_20200124552176_000718_zr_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1118,14,718,25.891700744628906,1.636160050111357e-05,0.028096899390220642,0.10828900337219238,2.4684000891284086e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458873.0741204,2,1118574121415,19.678199768066406,/ztf/archive/sci/2020/0124/574109/ztf_20200124574109_000718_zr_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,1118,14,718,25.764400482177734,2.155900074285455e-05,0.032440099865198135,0.11490699648857117,3.2621599530102685e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458873.0764468,2,1118576445215,19.55459976196289,/ztf/archive/sci/2020/0124/576435/ztf_20200124576435_000674_zr_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,1118,52,674,25.888200759887695,1.635410080780275e-05,0.029546400532126427,0.10658100247383118,2.3714899725746363e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458873.8817245,1,1119381725215,20.630599975585938,/ztf/archive/sci/2020/0125/381725/ztf_20200125381725_000674_zg_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,1119,52,674,26.22089958190918,3.3214200811926275e-05,0.04245670139789581,-0.0887686014175415,4.869890108238906e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458873.8826273,1,1119382621415,20.480100631713867,/ztf/archive/sci/2020/0125/382627/ztf_20200125382627_000718_zg_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,1119,14,718,26.0846004486084,1.7663500329945236e-05,0.029664600268006325,-0.07657559961080551,2.6734700441011228e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458873.9113542,1,1119411351415,20.201499938964844,/ztf/archive/sci/2020/0125/411354/ztf_20200125411354_000718_zg_c04_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,1119,14,718,25.72010040283203,2.1973499315208755e-05,0.03298129886388779,-0.08073119819164276,3.372810169821605e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458873.9122685,1,1119412265215,20.276100158691406,/ztf/archive/sci/2020/0125/412257/ztf_20200125412257_000674_zg_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,1119,52,674,25.818500518798828,4.705050014308654e-05,0.04974979907274246,-0.06200240179896355,7.197810191428289e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
2458873.964375,3,1119464375215,20.25469970703125,/ztf/archive/sci/2020/0125/464352/ztf_20200125464352_000674_zi_c14_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,1119,52,674,26.750200271606445,1.7754799728209036e-06,0.01489850040525198,0.18165899813175201,6.125229901954299e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaoznxc
