jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460072.9034259,1,2318403422915,18.926599502563477,/ztf/archive/sci/2023/0508/403252/ztf_20230508403252_000624_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2.318403422915015e+18,t,10.0,2318,29,624,726.2540283203125,1777.3399658203125,177.7383076,25.5303208,19.0846004486084,0.18975600600242615,0.7122520208358765,18.7367000579834,0.2700999975204468,0.601170003414154,17.354999542236328,0.028999999165534973,1.4509999752044678,0.11900000274181366,-0.7088660001754761,-0.34787699580192566,1.520359992980957,0.8460000157356262,726.2540283203125,0.1898999959230423,2.0,0.9649999737739563,0.9470000267028809,0.6347169876098633,0.6228780150413513,1.0190099477767944,4.0,0.0,0.8600000143051147,1.0,18.659900665283203,0.3222000002861023,177.7381279,25.5302722,5.25537,26.026599884033203,7.223369902931154e-05,0.03606560081243515,-0.056218501180410385,0.00015185300435405225,t17_f5_c3,ZTF20aapzyvj
2460073.7578935,1,2319257892915,20.431100845336914,/ztf/archive/sci/2023/0509/257870/ztf_20230509257870_000624_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2.319257892915015e+18,t,12.0,2319,29,624,774.3670043945312,1820.7900390625,177.7381285,25.5303186,19.046899795532227,0.08910500258207321,2.079740047454834,19.033599853515625,0.11429999768733978,0.16498200595378876,17.354999542236328,0.028999999165534973,1.4509999752044678,0.11900000274181366,-0.1797190010547638,-0.01334100030362606,1.3082499504089355,0.968999981880188,774.3670043945312,1.3974800109863281,2.0,0.7829999923706055,0.6710000038146973,0.5985090136528015,0.5128989815711975,1.1669199466705322,2.0,0.0,0.9271429777145386,1.0,19.050600051879883,0.1437000036239624,177.7381279,25.5302722,6.6929,26.247900009155273,3.580870179575868e-05,0.03462069854140282,-0.07741890102624893,5.2254599722800776e-05,t17_f5_c3,ZTF20aapzyvj
2460073.758831,1,2319258832915,20.507400512695312,/ztf/archive/sci/2023/0509/258831/ztf_20230509258831_000624_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2.319258832915015e+18,t,4.0,2319,29,624,769.9359741210938,1821.5899658203125,177.738182,25.5302899,19.082599639892578,0.09382600337266922,2.5817599296569824,19.07900047302246,0.11509999632835388,0.18476299941539764,17.354999542236328,0.028999999165534973,1.4509999752044678,0.11900000274181366,-0.1097939983010292,-0.0036329999566078186,1.2653100490570068,0.9800000190734863,769.9359741210938,1.4283499717712402,2.0,0.8080000281333923,0.753000020980835,0.6385809779167175,0.5951129794120789,1.0730400085449219,2.0,0.0,0.9314290285110474,1.0,19.019100189208984,0.1348000019788742,177.7381279,25.5302722,5.22632,26.279600143432617,3.507750079734251e-05,0.03408750146627426,-0.08045929670333862,5.0145299610449e-05,t17_f5_c3,ZTF20aapzyvj
2460073.8246065,2,2319324602915,19.96649932861328,/ztf/archive/sci/2023/0509/324595/ztf_20230509324595_000624_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2319,29,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.24410057067871,3.483190084807575e-05,0.03356119990348816,0.11531399935483932,4.985390114597976e-05,t17_f5_c3,ZTF20aapzyvj
2460073.8670833,1,2319367082915,19.347700119018555,/ztf/archive/sci/2023/0509/366852/ztf_20230509366852_000624_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2.319367082915015e+18,t,2.0,2319,29,624,731.8909912109375,1788.72998046875,177.7382619,25.530275,18.871200561523438,0.10862799733877182,1.3814799785614014,18.642499923706055,0.19040000438690186,0.42991000413894653,17.354999542236328,0.028999999165534973,1.4509999752044678,0.11900000274181366,-0.05102600157260895,-0.2286819964647293,2.3399999141693115,0.6679999828338623,731.8909912109375,0.7051839828491211,1.1586899757385254,0.9430000185966492,0.925000011920929,0.40299099683761597,0.3952989876270294,1.0194599628448486,2.0,0.0,0.9399999976158142,0.9995539784431458,18.58839988708496,0.23100000619888306,177.7381279,25.5302722,6.69206,26.048200607299805,6.647060217801481e-05,0.043202899396419525,-0.04236200079321861,0.00012388400500640273,t17_f5_c3,ZTF20aapzyvj
2460073.8691898,2,2319369182915,19.646900177001953,/ztf/archive/sci/2023/0509/368727/ztf_20230509368727_000624_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2319,29,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.11639976501465,3.3556898415554315e-05,0.03331419825553894,0.1246350035071373,4.887629984295927e-05,t17_f5_c3,ZTF20aapzyvj
2460077.6629282,2,2323162925315,20.30069923400879,/ztf/archive/sci/2023/0513/162928/ztf_20230513162928_001620_zr_c14_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2323,53,1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.17259979248047,1.786659959179815e-05,0.027033299207687378,0.10227199643850327,2.443730045342818e-05,t17_f5_c3,ZTF20aapzyvj
2460077.7083333,2,2323208332915,20.553199768066406,/ztf/archive/sci/2023/0513/208183/ztf_20230513208183_000624_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2323,29,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.28380012512207,3.1926199881127104e-05,0.03229669854044914,0.12689800560474396,4.611699841916561e-05,t17_f5_c3,ZTF20aapzyvj
2460077.7558796,1,2323255872915,20.666400909423828,/ztf/archive/sci/2023/0513/255833/ztf_20230513255833_000624_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2323,29,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.297199249267578,3.3716900361469015e-05,0.033147700130939484,-0.09285199642181396,4.9146201490657404e-05,t17_f5_c3,ZTF20aapzyvj
2460077.7577662,1,2323257762915,20.68589973449707,/ztf/archive/sci/2023/0513/257755/ztf_20230513257755_000624_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2.323257762915015e+18,t,18.0,2323,29,624,769.447021484375,1804.18994140625,177.7381892,25.5302769,18.726499557495117,0.08410000056028366,3.8676300048828125,18.89550018310547,0.0869000032544136,0.19742600619792938,17.354999542236328,0.028999999165534973,1.4509999752044678,0.11900000274181366,-0.09796799719333649,0.16897299885749817,2.319999933242798,0.6919999718666077,769.447021484375,1.790410041809082,1.0756200551986694,0.6800000071525574,0.6520000100135803,0.29310300946235657,0.281033992767334,1.0429500341415405,1.0,0.0,0.9385709762573242,1.0,18.920400619506836,0.10859999805688858,177.7381279,25.5302722,9.46571,26.30150032043457,3.7434001569636166e-05,0.03509119898080826,-0.09629940241575241,5.467249866342172e-05,t17_f5_c3,ZTF20aapzyvj
