jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458877.0362731,1,1122536275415,20.596399307250977,/ztf/archive/sci/2020/0128/536262/ztf_20200128536262_000634_zg_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1122,54,634,26.240800857543945,5.543160114029888e-06,0.03376790136098862,-0.07154510170221329,1.0273400221194606e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aarbktd
2458877.0745602,2,1122574565415,20.007699966430664,/ztf/archive/sci/2020/0128/574549/ztf_20200128574549_000634_zr_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1122,54,634,26.25469970703125,2.836010025930591e-06,0.02406810037791729,0.08740580081939697,5.294869879435282e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aarbktd
2458880.0046412,1,1125504645415,19.452800750732422,/ztf/archive/sci/2020/0131/504630/ztf_20200131504630_000634_zg_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1125,54,634,26.206600189208984,2.3549100660602562e-05,0.04405270144343376,-0.03583139926195145,6.055220001144335e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aarbktd
2458880.0409375,2,1125540935415,19.198400497436523,/ztf/archive/sci/2020/0131/540799/ztf_20200131540799_000634_zr_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1125,54,634,26.22260093688965,1.1976499990851153e-05,0.04159549996256828,0.10846199840307236,2.3138500182540156e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aarbktd
2458885.966794,1,1131466795415,19.027000427246094,/ztf/archive/sci/2020/0206/466794/ztf_20200206466794_000634_zg_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1131,54,634,26.175600051879883,2.1637199097312987e-05,0.044353898614645004,-0.023745199665427208,5.323900040821172e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aarbktd
2458886.0435301,2,1131543535415,20.389699935913086,/ztf/archive/sci/2020/0206/543530/ztf_20200206543530_000634_zr_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1131,54,634,26.231800079345703,2.5316999199276324e-06,0.022710399702191353,0.0905710980296135,4.745139904116513e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aarbktd
2458889.0102546,2,1134510255415,18.91390037536621,/ztf/archive/sci/2020/0209/510243/ztf_20200209510243_000634_zr_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1134,54,634,26.222200393676758,9.965449862647802e-06,0.04023899883031845,0.10462900251150131,1.9077999240835197e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aarbktd
2458891.9746644,1,1137474665415,19.39299964904785,/ztf/archive/sci/2020/0212/474664/ztf_20200212474664_000634_zg_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1137,54,634,26.22089958190918,1.0859999747481197e-05,0.039106398820877075,-0.026614699512720108,2.508629950170871e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aarbktd
2458895.0408565,2,1140540855415,20.130199432373047,/ztf/archive/sci/2020/0215/540822/ztf_20200215540822_000634_zr_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1140,54,634,26.23889923095703,2.3314100872084964e-06,0.021812699735164642,0.09200680255889893,4.368589998193784e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aarbktd
2458895.0593056,1,1140559305415,20.08919906616211,/ztf/archive/sci/2020/0215/559294/ztf_20200215559294_000634_zg_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1140,54,634,26.305599212646484,4.741929842566606e-06,0.030317900702357292,-0.0592304989695549,9.296960342908278e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aarbktd
