jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458908.8524306,1,1154352430415,20.666400909423828,/ztf/archive/sci/2020/0229/352419/ztf_20200229352419_000627_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1154,4,627,26.34630012512207,1.729910036374349e-05,0.03215000033378601,-0.10335700213909149,2.7891399440704845e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aatqgeo
2458908.9755671,2,1154475560415,20.66860008239746,/ztf/archive/sci/2020/0229/475509/ztf_20200229475509_000627_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1154,4,627,26.261600494384766,9.761900400917511e-06,0.024165000766515732,0.10381300002336502,1.5667099432903342e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aatqgeo
2458911.9159375,1,1157415930415,20.385000228881836,/ztf/archive/sci/2020/0303/415880/ztf_20200303415880_000627_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1157,4,627,26.336000442504883,2.1743999241152778e-05,0.035913899540901184,-0.06332439929246902,3.585980084608309e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aatqgeo
2458911.9531713,2,1157453170415,20.478500366210938,/ztf/archive/sci/2020/0303/453171/ztf_20200303453171_000627_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1157,4,627,26.257999420166016,9.18296973395627e-06,0.02359040081501007,0.11305099725723267,1.475730005040532e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aatqgeo
2458914.9741088,1,1160474100415,20.193700790405273,/ztf/archive/sci/2020/0306/474109/ztf_20200306474109_000627_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1160,4,627,26.206499099731445,1.498769961472135e-05,0.030013199895620346,-0.052722200751304626,2.546620089560747e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aatqgeo
2458915.008588,2,1160508580415,20.691099166870117,/ztf/archive/sci/2020/0306/508530/ztf_20200306508530_000627_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1160,4,627,26.255599975585938,1.1266500223428011e-05,0.026096999645233154,0.11481200158596039,1.8204200387117453e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aatqgeo
2458906.8324653,1,1152332460415,20.40169906616211,/ztf/archive/sci/2020/0227/332454/ztf_20200227332454_000627_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,1152,4,627,26.300100326538086,1.8464199456502683e-05,0.033366698771715164,-0.05363190174102783,3.086130163865164e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aatqgeo
2458906.8370023,1,1152337000415,20.468299865722656,/ztf/archive/sci/2020/0227/336991/ztf_20200227336991_000627_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,1152,4,627,26.30419921875,1.7039399608620442e-05,0.03225009888410568,-0.06036809831857681,2.756970025075134e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aatqgeo
2458906.9171991,3,1152417190415,20.544599533081055,/ztf/archive/sci/2020/0227/416713/ztf_20200227416713_000627_zi_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,1152,4,627,26.807199478149414,1.5386400491479435e-06,0.014323100447654724,0.18509499728679657,5.73700981476577e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aatqgeo
2458906.9389236,3,1152438920415,20.429000854492188,/ztf/archive/sci/2020/0227/438576/ztf_20200227438576_000627_zi_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,1152,4,627,26.764799118041992,1.6135800251504406e-06,0.014708300121128559,0.18635599315166473,5.885819973627804e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aatqgeo
