jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459849.6982176,1,2095198215515,20.541099548339844,/ztf/archive/sci/2022/0927/198206/ztf_20220927198206_000827_zg_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2095,55,827,26.263999938964844,2.7884500468644546e-06,0.024776900187134743,-0.036587800830602646,5.88116017752327e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaturgh
2459853.7489236,2,2099248925515,20.62380027770996,/ztf/archive/sci/2022/1001/248912/ztf_20221001248912_000827_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2099,55,827,26.270999908447266,2.667969965841621e-06,0.024310199543833733,0.08122029900550842,5.551470167119987e-06,t17_f5_c3,2.099248925515015e+18,t,12.0,3057.43994140625,1453.97998046875,288.9255867,64.5900144,20.349000930786133,0.19004100561141968,1.0944600105285645,20.28350067138672,0.2992999851703644,0.019310999661684036,20.291000366210938,0.039000000804662704,0.7760000228881836,-0.0430000014603138,0.16031000018119812,-0.06549099832773209,2.440000057220459,0.9399999976158142,15.0649995803833,0.3402499854564667,0.9803490042686462,0.753000020980835,0.6539999842643738,0.3086070120334625,0.2680329978466034,1.151379942893982,3.0,0.0,0.7699999809265137,0.9871870279312134,20.07710075378418,0.31690001487731934,288.9255973,64.5900174,7.74063,ZTF20aaturgh
2459857.6832176,2,2103183215515,19.94339942932129,/ztf/archive/sci/2022/1005/183171/ztf_20221005183171_000827_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2103,55,827,26.13759994506836,2.6838199573830934e-06,0.024422600865364075,0.09017390012741089,5.585260169027606e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaturgh
2459857.7588889,1,2103258885515,19.969499588012695,/ztf/archive/sci/2022/1005/258854/ztf_20221005258854_000827_zg_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2103,55,827,26.18560028076172,4.7971998355933465e-06,0.03193119913339615,-0.030625000596046448,1.0364099580328912e-05,t17_f5_c3,2.103258885515015e+18,t,2.0,3060.659912109375,1444.72998046875,288.9254293,64.5899825,20.349599838256836,0.3354969918727875,1.0657399892807007,19.54640007019043,0.28189998865127563,0.23789000511169434,20.44700050354004,0.041999999433755875,1.0299999713897705,-0.03999999910593033,0.2007489949464798,-0.8031830191612244,1.1679699420928955,0.8899999856948853,11.840499877929688,0.4231419861316681,2.0,0.6480000019073486,0.5590000152587891,0.5548070073127747,0.4786059856414795,1.159209966659546,8.0,0.0,0.44714298844337463,0.8057820200920105,19.389799118041992,0.3131999969482422,288.9255499,64.5900319,5.44347,ZTF20aaturgh
2459859.6858565,1,2105185855515,19.8174991607666,/ztf/archive/sci/2022/1007/185845/ztf_20221007185845_000827_zg_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2105,55,827,26.237499237060547,5.806310127809411e-06,0.033944301307201385,-0.04493049904704094,1.3063900041743182e-05,t17_f5_c3,2.105185855515015e+18,t,4.0,3061.0,1501.18994140625,288.9254598,64.5900405,20.40250015258789,0.3509640097618103,0.854843020439148,20.219999313354492,0.614300012588501,0.14870500564575195,20.44700050354004,0.041999999433755875,1.0299999713897705,-0.03999999910593033,1.093500018119812,-0.18246500194072723,1.143380045890808,0.9430000185966492,11.502799987792969,-0.4024609923362732,2.0,0.5960000157356262,0.4950000047683716,0.5212600231170654,0.4329259991645813,1.2040400505065918,11.0,0.0,0.6600000262260437,0.7500060200691223,19.817899703979492,0.5450000166893005,288.9255499,64.5900319,5.14212,ZTF20aaturgh
2459859.7180208,2,2105218025515,19.875900268554688,/ztf/archive/sci/2022/1007/217998/ztf_20221007217998_000827_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2105,55,827,26.194700241088867,2.4548498913645744e-06,0.02338940091431141,0.08792389929294586,5.128630164108472e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaturgh
2459862.6828588,1,2108182855515,19.542299270629883,/ztf/archive/sci/2022/1010/182836/ztf_20221010182836_000827_zg_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2108,55,827,26.2810001373291,8.13508995634038e-06,0.03696279972791672,-0.018619799986481667,1.9929999325540848e-05,t17_f5_c3,2.108182855515015e+18,t,2.0,3062.3798828125,1507.199951171875,288.9258417,64.5899216,19.948999404907227,0.4408000111579895,1.3553099632263184,19.152000427246094,0.29750001430511475,0.59306800365448,20.44700050354004,0.041999999433755875,1.0299999713897705,-0.03999999910593033,1.0882799625396729,-0.7970489859580994,1.1364599466323853,0.984000027179718,10.123100280761719,0.3902519941329956,2.0,1.0479999780654907,0.5899999737739563,0.9221640229225159,0.5191569924354553,1.7762700319290161,10.0,0.0,0.24428600072860718,0.6484140157699585,18.9242000579834,0.3100000023841858,288.9255499,64.5900319,5.20113,ZTF20aaturgh
2459866.6381134,1,2112138115515,20.39349937438965,/ztf/archive/sci/2022/1014/137986/ztf_20221014137986_000827_zg_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2112,55,827,26.324100494384766,3.439650072323275e-06,0.02755899913609028,-0.03935270011425018,7.268420176842483e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaturgh
2459872.6733912,1,2118173395515,20.304000854492188,/ztf/archive/sci/2022/1020/173391/ztf_20221020173391_000827_zg_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2118,55,827,26.316200256347656,3.264359975219122e-06,0.026790499687194824,-0.04179859906435013,6.885300081194146e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaturgh
2459874.6384375,2,2120138435515,20.45680046081543,/ztf/archive/sci/2022/1022/138426/ztf_20221022138426_000827_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2120,55,827,26.25029945373535,1.4743200154043734e-06,0.0179750993847847,0.08295749872922897,3.078479949181201e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaturgh
2459874.6808102,1,2120180815515,20.63249969482422,/ztf/archive/sci/2022/1022/180810/ztf_20221022180810_000827_zg_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2120,55,827,26.26449966430664,2.2968899884290295e-06,0.022612299770116806,-0.05661449953913689,4.798229838343104e-06,t17_f5_c3,2.120180815515015e+18,t,6.0,3061.7900390625,1504.0400390625,288.9255477,64.5899629,20.31450080871582,0.2100439965724945,0.8352500200271606,20.203899383544922,0.27549999952316284,0.24543899297714233,20.44700050354004,0.041999999433755875,1.0299999713897705,-0.03999999910593033,0.5176399946212769,-0.1106019988656044,2.130000114440918,0.9190000295639038,10.705300331115723,0.42861300706863403,1.125499963760376,0.7419999837875366,0.6129999756813049,0.3483569920063019,0.28779301047325134,1.2104400396347046,5.0,0.0,0.8742859959602356,0.9269940257072449,19.88249969482422,0.26269999146461487,288.9255499,64.5900319,9.44994,ZTF20aaturgh
2459877.6424537,2,2123142455515,20.106800079345703,/ztf/archive/sci/2022/1025/142454/ztf_20221025142454_000827_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2123,55,827,26.273700714111328,1.7194299744005548e-06,0.01952029950916767,0.08549600094556808,3.5978600863018073e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaturgh
2459823.7790856,2,2069279085515,20.4325008392334,/ztf/archive/sci/2022/0901/279074/ztf_20220901279074_000827_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2069,55,827,26.22960090637207,2.1607800135825528e-06,0.021925099194049835,0.08745849877595901,4.49070012109587e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aaturgh
