jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459905.9048727,1,2151404873115,18.546499252319336,/ztf/archive/sci/2022/1122/404861/ztf_20221122404861_000709_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2151,31,709,24.45709991455078,5.209320079302415e-05,0.0504750981926918,-0.045239098370075226,0.00011217899736948311,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aatxbgj
2459905.946088,2,2151446083115,19.489200592041016,/ztf/archive/sci/2022/1122/446088/ztf_20221122446088_000709_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2151,31,709,25.414100646972656,1.1534400073287543e-05,0.03239389881491661,0.1124270036816597,1.6293799490085803e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aatxbgj
2459908.9363426,2,2154436343115,20.03339958190918,/ztf/archive/sci/2022/1125/436331/ztf_20221125436331_000709_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2154,31,709,26.30660057067871,1.2567000339913648e-05,0.03380110114812851,0.10668099671602249,1.7697100702207536e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aatxbgj
2459908.943831,1,2154443833115,20.277000427246094,/ztf/archive/sci/2022/1125/443831/ztf_20221125443831_000709_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2154,31,709,26.328800201416016,1.3414300156000536e-05,0.03451570123434067,-0.07363119721412659,2.0015499103465118e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aatxbgj
2459910.9231944,1,2156423193115,20.55929946899414,/ztf/archive/sci/2022/1127/423194/ztf_20221127423194_000709_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2156,31,709,26.363000869750977,1.1689599887176882e-05,0.032612498849630356,-0.13064299523830414,1.6429399693151936e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aatxbgj
2459910.9708796,2,2156470873115,20.58530044555664,/ztf/archive/sci/2022/1127/470880/ztf_20221127470880_000709_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2156,31,709,26.315399169921875,6.463790214183973e-06,0.024338800460100174,0.1085209995508194,9.15018972591497e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aatxbgj
2459914.905,2,2160404993115,20.624399185180664,/ztf/archive/sci/2022/1201/405000/ztf_20221201405000_000709_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2160,31,709,26.292699813842773,6.542959908983903e-06,0.02461789920926094,0.11064399778842926,9.259750186174642e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aatxbgj
2459923.8416204,2,2169341623115,19.605300903320312,/ztf/archive/sci/2022/1210/341539/ztf_20221210341539_000709_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2169,31,709,26.269100189208984,1.0269200174661819e-05,0.030691100284457207,0.11455799639225006,1.4560599993274081e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aatxbgj
2459923.9266088,1,2169426603115,19.642099380493164,/ztf/archive/sci/2022/1210/426609/ztf_20221210426609_000709_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2169,31,709,26.325899124145508,1.4926799849490635e-05,0.03506480157375336,-0.0664834976196289,2.5437100703129545e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aatxbgj
2459929.875162,1,2175375163115,19.836200714111328,/ztf/archive/sci/2022/1216/375150/ztf_20221216375150_000709_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2175,31,709,26.225200653076172,1.6789599612820894e-05,0.036701500415802,-0.08448629826307297,2.860570020857267e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aatxbgj
