jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460075.9692245,1,2321469226315,20.1830997467041,/ztf/archive/sci/2023/0511/469225/ztf_20230511469225_000638_zg_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2321,63,638,26.262100219726562,6.871100140415365e-06,0.02471950091421604,-0.010499199852347374,1.8799499230226502e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauwysn
2460077.9328241,1,2323432822515,20.444400787353516,/ztf/archive/sci/2023/0513/432812/ztf_20230513432812_001682_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2323,25,1682,26.322799682617188,2.216829898316064e-06,0.013905299827456474,-0.05817529931664467,6.017230134602869e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauwysn
2460077.933287,1,2323433282515,20.483600616455078,/ztf/archive/sci/2023/0513/433287/ztf_20230513433287_001682_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,3,2323,25,1682,26.32270050048828,2.0904899429297075e-06,0.013420999981462955,-0.056724101305007935,5.6815902098605875e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauwysn
2460078.8895486,1,2324389546315,21.002199172973633,/ztf/archive/sci/2023/0514/389537/ztf_20230514389537_000638_zg_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2324,63,638,26.248600006103516,3.063400072278455e-06,0.016350699588656425,-0.04656650125980377,8.367939699382987e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauwysn
2460078.91375,2,2324413746315,20.84160041809082,/ztf/archive/sci/2023/0514/413669/ztf_20230514413669_000638_zr_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2324,63,638,26.19409942626953,3.9267001739062835e-06,0.01849439926445484,0.07254890352487564,1.0741699952632189e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauwysn
2460081.8683912,1,2327368396315,20.72719955444336,/ztf/archive/sci/2023/0517/368380/ztf_20230517368380_000638_zg_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2327,63,638,26.236499786376953,2.4404400846833596e-06,0.014661700464785099,-0.04917439818382263,6.646830115641933e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauwysn
2460081.9007639,2,2327400766315,20.793100357055664,/ztf/archive/sci/2023/0517/400752/ztf_20230517400752_000638_zr_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2327,63,638,26.202600479125977,2.762750000329106e-06,0.01555550005286932,0.0695900022983551,7.539249963883776e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauwysn
2460081.954919,2,2327454912515,20.503400802612305,/ztf/archive/sci/2023/0517/454919/ztf_20230517454919_001682_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2327,25,1682,26.36750030517578,2.3401400994771393e-06,0.014181699603796005,0.07855589687824249,6.3607999436499085e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauwysn
2460081.9553935,2,2327455392515,20.635299682617188,/ztf/archive/sci/2023/0517/455382/ztf_20230517455382_001682_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,3,2327,25,1682,26.369199752807617,2.3942300231283298e-06,0.014384199865162373,0.07598060369491577,6.4977898546203505e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauwysn
2460083.9287731,1,2329428776315,21.034500122070312,/ztf/archive/sci/2023/0519/428762/ztf_20230519428762_000638_zg_c16_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2329,63,638,26.229299545288086,3.1382000997837167e-06,0.01642250083386898,-0.03346860036253929,8.582090231357142e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauwysn
