jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458938.6737037,2,1184173705515,20.33340072631836,/ztf/archive/sci/2020/0330/173669/ztf_20200330173669_000748_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1184,55,748,26.18910026550293,4.883800102106761e-06,0.0223642997443676,0.09813600033521652,7.702599759795703e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauzoca
2458939.6520718,2,1185152075515,20.028400421142578,/ztf/archive/sci/2020/0331/152072/ztf_20200331152072_000748_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1185,55,748,26.15920066833496,5.312710072757909e-06,0.02347240038216114,0.10074599832296371,8.424750376434531e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauzoca
2458941.6624074,1,1187162405515,19.909099578857422,/ztf/archive/sci/2020/0402/162396/ztf_20200402162396_000748_zg_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1187,55,748,26.302799224853516,1.1447499673522543e-05,0.033376600593328476,-0.05116080120205879,1.9997600247734226e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauzoca
2458941.7039583,2,1187203955515,19.81410026550293,/ztf/archive/sci/2020/0402/203924/ztf_20200402203924_000748_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1187,55,748,26.221500396728516,6.500240033346927e-06,0.026107599958777428,0.08693210035562515,1.0298899724148214e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauzoca
2458944.6639236,2,1190163925515,19.702999114990234,/ztf/archive/sci/2020/0405/163912/ztf_20200405163912_000748_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1190,55,748,26.1924991607666,6.3199699980032165e-06,0.02557389996945858,0.10050799697637558,9.973449778044596e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauzoca
2458939.6764931,2,1185176495515,20.206300735473633,/ztf/archive/sci/2020/0331/176470/ztf_20200331176470_000748_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,1185,55,748,26.20359992980957,4.986599833500804e-06,0.022746499627828598,0.09882070124149323,7.917449693195522e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauzoca
2458939.7810185,1,1185281015515,19.495399475097656,/ztf/archive/sci/2020/0331/281007/ztf_20200331281007_000748_zg_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,1185,55,748,25.787799835205078,1.581330070621334e-05,0.036583900451660156,-0.03537129983305931,3.0952098313719034e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauzoca
2458940.6617824,1,1186161785515,20.10700035095215,/ztf/archive/sci/2020/0401/161782/ztf_20200401161782_000748_zg_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,1186,55,748,26.282899856567383,9.651949767430779e-06,0.030960600823163986,-0.05539190024137497,1.6379799490096048e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauzoca
2458940.7067708,2,1186206775515,18.674699783325195,/ztf/archive/sci/2020/0401/206736/ztf_20200401206736_000748_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,1186,55,748,25.679000854492188,2.5755000024219044e-05,0.04785909876227379,0.09618669748306274,4.227599856676534e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauzoca
2458941.6615046,1,1187161505515,19.94339942932129,/ztf/archive/sci/2020/0402/161481/ztf_20200402161481_000748_zg_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,1187,55,748,26.312700271606445,1.183360018330859e-05,0.034066200256347656,-0.05603310093283653,2.049589966190979e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauzoca
2458941.7024884,2,1187202485515,19.759599685668945,/ztf/archive/sci/2020/0402/202431/ztf_20200402202431_000748_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,1187,55,748,26.218000411987305,6.947640031285118e-06,0.02684660069644451,0.09574580192565918,1.0959300198010169e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauzoca
2458944.6630208,2,1190163025515,19.73390007019043,/ztf/archive/sci/2020/0405/163009/ztf_20200405163009_000748_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,1190,55,748,26.19770050048828,6.352299806167139e-06,0.02573470026254654,0.10063999891281128,1.0022299647971522e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aauzoca
2458954.6965278,2,1200196525515,20.361799240112305,/ztf/archive/sci/2020/0415/196516/ztf_20200415196516_000748_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,1200,55,748,26.178800582885742,4.6543500502593815e-06,0.02191229909658432,0.10307999700307846,7.3547598731238395e-06,t17_f5_c3,1.200196525515015e+18,t,3.0,1743.739990234375,691.4110107421875,121.6065628,50.4067886,20.00779914855957,0.1816300004720688,1.4930399656295776,19.595699310302734,0.1923999935388565,1.1109199523925781,20.947999954223633,0.05700000002980232,0.859000027179718,0.054999999701976776,0.04435700178146362,-0.4120889902114868,1.8200000524520874,0.9739999771118164,691.4110107421875,0.7661439776420593,1.3835699558258057,0.8050000071525574,0.7540000081062317,0.4423080086708069,0.4142859876155853,1.067639946937561,7.0,0.0,0.41999998688697815,0.8917109966278076,19.509700775146484,0.22759999334812164,121.6061026,50.40688,9.44174,ZTF20aauzoca
2458955.7178704,2,1201217875515,20.351499557495117,/ztf/archive/sci/2020/0416/217870/ztf_20200416217870_000748_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,1201,55,748,26.194000244140625,6.489569841505727e-06,0.025916099548339844,0.10342200100421906,1.0251899766444694e-05,t17_f5_c3,1.201217875515015e+18,t,8.0,1753.43994140625,673.822998046875,121.6065977,50.4067909,19.51099967956543,0.12188199907541275,1.9020999670028687,19.36949920654297,0.16120000183582306,1.1756600141525269,20.947999954223633,0.05700000002980232,0.859000027179718,0.054999999701976776,0.12053599953651428,-0.14150400459766388,2.25,0.9990000128746033,673.822998046875,0.9820089936256409,1.0977699756622314,0.6830000281333923,0.6669999957084656,0.30355599522590637,0.29644399881362915,1.0239900350570679,4.0,0.0,0.8528569936752319,0.9501960277557373,19.381900787353516,0.20839999616146088,121.6061026,50.40688,14.2298,ZTF20aauzoca
2458955.7188079,2,1201218805515,20.360700607299805,/ztf/archive/sci/2020/0416/218796/ztf_20200416218796_000748_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1201,55,748,26.19070053100586,6.494739864137955e-06,0.026015300303697586,0.10695900022983551,1.0247699719911907e-05,t17_f5_c3,1.201218805515015e+18,t,3.0,1747.5899658203125,676.22900390625,121.6065535,50.4068266,19.685699462890625,0.16193200647830963,2.6926000118255615,19.737300872802734,0.22630000114440918,1.0475300550460815,20.947999954223633,0.05700000002980232,0.859000027179718,0.054999999701976776,0.4686860144138336,0.051555000245571136,2.0,0.9789999723434448,676.22900390625,0.623420000076294,1.2221399545669556,0.6779999732971191,0.621999979019165,0.33899998664855957,0.3109999895095825,1.0900299549102783,7.0,0.0,0.7685710191726685,0.8792279958724976,19.668800354003906,0.2718000113964081,121.6061026,50.40688,11.419,ZTF20aauzoca
2458956.6580903,2,1202158095515,20.418699264526367,/ztf/archive/sci/2020/0417/158079/ztf_20200417158079_000748_zr_c14_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,1202,55,748,26.212600708007812,5.735470040235668e-06,0.02435689978301525,0.10006699711084366,9.050810149346944e-06,t17_f5_c3,1.202158095515015e+18,1,1.0,1756.9000244140625,686.1380004882812,121.6065675,50.4068345,19.344600677490234,0.10503300279378891,2.13319993019104,19.32469940185547,0.14710000157356262,1.0720200538635254,20.947999954223633,0.05700000002980232,0.859000027179718,0.054999999701976776,0.3569610118865967,-0.01990400068461895,2.0899999141693115,0.9810000061988831,686.1380004882812,1.0939799547195435,1.1707500219345093,0.6439999938011169,0.6129999756813049,0.308133989572525,0.293300986289978,1.050570011138916,8.0,0.0,0.8628569841384888,0.8548579812049866,19.263599395751953,0.1777999997138977,121.6061026,50.40688,14.1816,ZTF20aauzoca
