jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460092.7517824,1,2338251783115,19.95829963684082,/ztf/archive/sci/2023/0528/251192/ztf_20230528251192_000752_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2338,31,752,26.140499114990234,2.4927699996624142e-05,0.03276579827070236,-0.06688839942216873,3.837859912891872e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aavptjf
2460092.7522569,1,2338252255915,19.93589973449707,/ztf/archive/sci/2023/0528/252257/ztf_20230528252257_001751_zg_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2338,59,1751,26.19029998779297,4.120570156374015e-05,0.03832929953932762,-0.005427219904959202,6.128769746283069e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aavptjf
2460092.7740046,2,2338274003115,20.05419921875,/ztf/archive/sci/2023/0528/273461/ztf_20230528273461_000752_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2338,31,752,26.16710090637207,2.9804999940097332e-05,0.035659998655319214,0.11209899932146072,4.2878400563495234e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aavptjf
2460092.7744792,2,2338274475915,20.050500869750977,/ztf/archive/sci/2023/0528/274479/ztf_20230528274479_001751_zr_c15_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2338,59,1751,26.18709945678711,2.9380600608419627e-05,0.03339749947190285,0.11395300179719925,3.875499896821566e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aavptjf
2460097.6968056,2,2343196803115,19.872499465942383,/ztf/archive/sci/2023/0602/196794/ztf_20230602196794_000752_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2343,31,752,26.210599899291992,2.480930015735794e-05,0.03256760165095329,0.12093300372362137,3.5365101211937144e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aavptjf
2460099.7220718,1,2345222073115,18.971399307250977,/ztf/archive/sci/2023/0604/222060/ztf_20230604222060_000752_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2345,31,752,26.143299102783203,7.753120007691905e-05,0.04489779844880104,-0.05851469933986664,0.0001461729989387095,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aavptjf
2460099.7412153,2,2345241213115,19.43630027770996,/ztf/archive/sci/2023/0604/241215/ztf_20230604241215_000752_zr_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2345,31,752,26.169599533081055,2.8833499527536333e-05,0.03494910150766373,0.12603600323200226,4.080680082552135e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aavptjf
2460101.7003935,1,2347200393115,20.219499588012695,/ztf/archive/sci/2023/0606/200394/ztf_20230606200394_000752_zg_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,2347,31,752,26.15839958190918,2.65536000370048e-05,0.03335610032081604,-0.06809350103139877,3.9721999200992286e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aavptjf
2460105.6955671,3,2351195563115,19.864599227905273,/ztf/archive/sci/2023/0610/195556/ztf_20230610195556_000752_zi_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2351,31,752,25.666400909423828,7.124700005078921e-06,0.027112100273370743,0.19362199306488037,2.6460500521352515e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aavptjf
2460110.7029861,3,2356202983115,19.76259994506836,/ztf/archive/sci/2023/0615/202975/ztf_20230615202975_000752_zi_c08_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2356,31,752,25.61840057373047,3.967079919675598e-06,0.02011849917471409,0.19542600214481354,1.5045499822008424e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aavptjf
