jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460059.9440509,2,2305444053715,20.58690071105957,/ztf/archive/sci/2023/0425/444028/ztf_20230425444028_000680_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2305,37,680,26.213699340820312,2.236230102425907e-06,0.02095540054142475,0.11489900201559067,4.580840140988585e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aavsjvp
2460059.9672222,1,2305467223715,20.41230010986328,/ztf/archive/sci/2023/0425/467211/ztf_20230425467211_000680_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2305,37,680,26.20479965209961,5.2265700105635915e-06,0.03184090182185173,-0.05520600080490112,1.1127400284749456e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aavsjvp
2460061.9547801,2,2307454783715,20.65290069580078,/ztf/archive/sci/2023/0427/454780/ztf_20230427454780_000680_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2307,37,680,26.246700286865234,3.1625900192011613e-06,0.024951299652457237,0.11471600085496902,6.488779945357237e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aavsjvp
2460063.9439352,1,2309443933715,20.723800659179688,/ztf/archive/sci/2023/0429/443924/ztf_20230429443924_000680_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2309,37,680,26.241500854492188,3.8347498048096895e-06,0.027542099356651306,-0.04114120081067085,7.950119652377907e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aavsjvp
2460067.8430787,1,2313343073715,19.245800018310547,/ztf/archive/sci/2023/0503/342975/ztf_20230503342975_000680_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2313,37,680,26.2096004486084,1.23705003716168e-05,0.03841429948806763,-0.04472669959068298,3.577820098144002e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aavsjvp
2460075.8313079,2,2321331303715,20.541000366210938,/ztf/archive/sci/2023/0511/331296/ztf_20230511331296_000680_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2321,37,680,26.24970054626465,2.6282000362698454e-06,0.022934699431061745,0.116907998919487,5.4061802075011656e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aavsjvp
2460078.9046181,2,2324404613715,20.711200714111328,/ztf/archive/sci/2023/0514/404618/ztf_20230514404618_000680_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2324,37,680,26.254100799560547,2.420639930278412e-06,0.021902399137616158,0.1105090007185936,4.983170128980419e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aavsjvp
2460078.9521181,1,2324452113715,20.688899993896484,/ztf/archive/sci/2023/0514/451736/ztf_20230514451736_000680_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2324,37,680,26.207399368286133,3.6172800719214138e-06,0.026659000664949417,-0.04351799935102463,7.575029940198874e-06,t17_f5_c3,2.32445211371501e+18,f,12.0,3056.6201171875,2415.52001953125,251.2796084,34.5096087,20.2283992767334,0.23370499908924103,1.7854100465774536,19.91790008544922,0.1876000016927719,0.19258199632167816,18.832000732421875,0.03500000014901161,2.306999921798706,0.12200000137090683,-0.14353099465370178,-0.3104960024356842,2.0399999618530273,0.6439999938011169,15.875,0.7710480093955994,1.2814099788665771,0.9049999713897705,0.7670000195503235,0.4436269998550415,0.3759799897670746,1.179919958114624,3.0,0.0,0.9342859983444214,0.994392991065979,20.201000213623047,0.3100999891757965,251.2796651,34.5096361,8.1024,ZTF20aavsjvp
2460081.8186111,1,2327318613715,20.60449981689453,/ztf/archive/sci/2023/0517/318600/ztf_20230517318600_000680_zg_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2327,37,680,26.216400146484375,4.111730049771722e-06,0.0284378994256258,-0.042991701513528824,8.563690244045574e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aavsjvp
2460081.8822685,2,2327382263715,20.70669937133789,/ztf/archive/sci/2023/0517/382222/ztf_20230517382222_000680_zr_c10_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2327,37,680,26.25830078125,2.4149999262590427e-06,0.021814100444316864,0.11134299635887146,4.961179911333602e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aavsjvp
