jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,ssdistnr,ssmagnr,ssnamenr,obj_id
2458963.7929745,1,1209292975715,20.35110092163086,/ztf/archive/sci/2020/0424/292963/ztf_20200424292963_000325_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1209,57,325,26.17460060119629,4.889890078629833e-06,0.029698200523853302,-0.07872659713029861,1.036079993355088e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abaknoz
2458966.8358796,2,1212335875715,17.101999282836914,/ztf/archive/sci/2020/0427/335868/ztf_20200427335868_000325_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1212,57,325,23.449800491333008,0.0002031439944403246,0.0770765021443367,0.0632966011762619,0.0005484619759954512,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abaknoz
2458966.8986806,1,1212398685715,20.340299606323242,/ztf/archive/sci/2020/0427/398495/ztf_20200427398495_000325_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1212,57,325,26.145000457763672,4.803599949809723e-06,0.029324499890208244,-0.05212860181927681,1.0278399713570252e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abaknoz
2458969.7498148,1,1215249815715,19.5093994140625,/ztf/archive/sci/2020/0430/249815/ztf_20200430249815_000325_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1215,57,325,25.623699188232422,1.694370075711049e-05,0.04956530034542084,-0.025727199390530586,4.2884301365120336e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abaknoz
2458969.8153125,2,1215315315715,17.937299728393555,/ztf/archive/sci/2020/0430/315312/ztf_20200430315312_000325_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1215,57,325,24.385400772094727,0.0003787500027101487,0.18504400551319122,0.1064160019159317,0.0008890060125850141,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abaknoz
2458972.7716435,1,1218271645715,19.604299545288086,/ztf/archive/sci/2020/0503/271308/ztf_20200503271308_000325_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1218,57,325,26.200899124145508,9.451950063521508e-06,0.03688250109553337,-0.05414320155978203,2.4159400709322654e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abaknoz
2458972.8567477,2,1218356745715,19.792299270629883,/ztf/archive/sci/2020/0503/356736/ztf_20200503356736_000325_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1218,57,325,26.126399993896484,3.864020072796848e-06,0.0263838991522789,0.09848050028085709,8.13665974419564e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abaknoz
2458979.7694444,1,1225269445715,19.470399856567383,/ztf/archive/sci/2020/0510/269375/ztf_20200510269375_000325_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1225,57,325,26.125,1.1756999811041169e-05,0.038953300565481186,-0.04573940113186836,3.205009852536023e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abaknoz
2458979.8096412,2,1225309645715,19.3218994140625,/ztf/archive/sci/2020/0510/309641/ztf_20200510309641_000325_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1225,57,325,26.09000015258789,5.785720077255974e-06,0.0319937989115715,0.0870727002620697,1.219240039063152e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abaknoz
2458987.7493634,1,1233249365715,20.585800170898438,/ztf/archive/sci/2020/0518/249363/ztf_20200518249363_000325_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1233,57,325,26.255300521850586,4.324020210333401e-06,0.02791309915482998,-0.08168359845876694,9.22857998375548e-06,t17_f5_c3,1.233249365715015e+18,1,9.0,2082.7900390625,1229.8399658203125,218.8461255,-13.6540817,19.66629981994629,0.12716400623321533,0.9744200110435486,19.632099151611328,0.15410000085830688,1.9541000127792358,20.5049991607666,0.08799999952316284,1.5479999780654907,0.24699999392032623,0.15344500541687012,-0.03420799970626831,2.5299999713897705,0.9750000238418579,989.7130126953125,0.9537270069122314,1.057770013809204,0.8320000171661377,0.7400000095367432,0.3288539946079254,0.29249000549316406,1.1243200302124023,2.0,0.0,0.8585709929466248,1.0,19.651899337768555,0.19979999959468842,218.84573,-13.6536902,16.4205,,,,ZTF20abaknoz
