jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,ssdistnr,ssmagnr,ssnamenr,obj_id
2459336.835544,2,1582335540615,20.200000762939453,/ztf/archive/sci/2021/0502/335544/ztf_20210502335544_000376_zr_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1582,6,376,26.180200576782227,2.190140094171511e-06,0.02187260054051876,0.09543299674987793,4.518320110946661e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abbfelu
2459336.8989468,1,1582398940615,19.743900299072266,/ztf/archive/sci/2021/0502/398947/ztf_20210502398947_000376_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1582,6,376,26.19610023498535,6.389880127244396e-06,0.03519050031900406,-0.06419309973716736,1.4915999599907082e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abbfelu
2459339.731412,1,1585231410615,20.19849967956543,/ztf/archive/sci/2021/0505/231412/ztf_20210505231412_000376_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1585,6,376,26.114900588989258,3.935329914384056e-06,0.029341399669647217,-0.06203899905085564,8.194950169126969e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abbfelu
2459339.8148611,2,1585314860615,20.37310028076172,/ztf/archive/sci/2021/0505/314861/ztf_20210505314861_000376_zr_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1585,6,376,26.176599502563477,2.303280098203686e-06,0.022450299933552742,0.08598479628562927,4.746820195578039e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abbfelu
2459341.775544,2,1587275540615,20.448200225830078,/ztf/archive/sci/2021/0507/275544/ztf_20210507275544_000376_zr_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1587,6,376,26.201200485229492,1.6919600511755561e-06,0.01923930086195469,0.08636420220136642,3.502389972709352e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abbfelu
2459343.7736458,1,1589273640615,20.261499404907227,/ztf/archive/sci/2021/0509/273646/ztf_20210509273646_000376_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1589,6,376,26.14299964904785,3.5241300793131813e-06,0.02764110080897808,-0.06558089703321457,7.3746900852711406e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abbfelu
2459343.8147569,2,1589314750615,20.222299575805664,/ztf/archive/sci/2021/0509/314757/ztf_20210509314757_000376_zr_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1589,6,376,26.11210060119629,2.1380099042289658e-06,0.02165759913623333,0.09251149743795395,4.405239906191127e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abbfelu
2459345.8573264,1,1591357320615,20.112699508666992,/ztf/archive/sci/2021/0511/357326/ztf_20210511357326_000376_zg_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1591,6,376,26.21619987487793,4.53333996119909e-06,0.03094789944589138,-0.0795259028673172,9.66141033131862e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abbfelu
2459347.815,2,1593315000615,21.65329933166504,/ztf/archive/sci/2021/0513/315000/ztf_20210513315000_000376_zr_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1593,6,376,28.92449951171875,1.0304900407791138,1.2031199932098389,-2.862529993057251,1.5337599515914917,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abbfelu
2459349.7941204,2,1595294120615,20.451900482177734,/ztf/archive/sci/2021/0515/294097/ztf_20210515294097_000376_zr_c02_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1595,6,376,26.179899215698242,1.8684099813981447e-06,0.020292600616812706,0.09251529723405838,3.828450189757859e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abbfelu
