jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2458980.9379167,1,1226437911115,19.476699829101562,/ztf/archive/sci/2020/0511/437917/ztf_20200511437917_000538_zg_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1226,11,538,26.428699493408203,3.6374599403643515e-06,0.019131900742650032,-0.10971699655056,8.70692019816488e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abeffoq
2458980.9824074,2,1226482401115,19.729900360107422,/ztf/archive/sci/2020/0511/482396/ztf_20200511482396_000538_zr_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1226,11,538,26.290300369262695,1.3937500398242264e-06,0.011901499703526497,0.08948169648647308,3.332210098960786e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abeffoq
2458991.9024884,1,1237402481115,20.38129997253418,/ztf/archive/sci/2020/0522/402488/ztf_20200522402488_000538_zg_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1237,11,538,26.463300704956055,2.950999942186172e-06,0.017394499853253365,-0.12658099830150604,7.001940048212418e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abeffoq
2458994.9332639,1,1240433261115,20.398500442504883,/ztf/archive/sci/2020/0525/433264/ztf_20200525433264_000538_zg_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1240,11,538,26.447500228881836,2.228980065410724e-06,0.01504020020365715,-0.09405060112476349,5.332370164978784e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abeffoq
2458997.8978009,1,1243397801115,20.61050033569336,/ztf/archive/sci/2020/0528/397731/ztf_20200528397731_000538_zg_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1243,11,538,26.421899795532227,2.1598400508082705e-06,0.014757400378584862,-0.09634479880332947,5.184670044400264e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abeffoq
2459000.8528241,2,1246352821115,17.010400772094727,/ztf/archive/sci/2020/0531/352824/ztf_20200531352824_000538_zr_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1246,11,538,23.744600296020508,0.00024652801221236587,0.14979100227355957,0.043118301779031754,0.0005617690039798617,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abeffoq
2459000.8769676,2,1246376961115,17.677099227905273,/ztf/archive/sci/2020/0531/376956/ztf_20200531376956_000538_zr_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1246,11,538,25.00320053100586,5.8741199609357864e-05,0.07720919698476791,0.12415900081396103,0.00014073199417907745,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abeffoq
2459005.7143056,1,1251214301115,18.575899124145508,/ztf/archive/sci/2020/0605/214306/ztf_20200605214306_000538_zg_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1251,11,538,26.156600952148438,6.746040071448078e-06,0.0262473002076149,-0.0601021982729435,1.6070500350906514e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abeffoq
2459005.7957176,2,1251295711115,17.28380012512207,/ztf/archive/sci/2020/0605/295718/ztf_20200605295718_000538_zr_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1251,11,538,25.22369956970215,0.0003505889908410609,0.1807979941368103,0.11392799764871597,0.0008131130016408861,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abeffoq
2459009.7753356,1,1255275331115,19.564899444580078,/ztf/archive/sci/2020/0609/275336/ztf_20200609275336_000538_zg_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1255,11,538,26.39900016784668,3.6774999898625538e-06,0.019346600398421288,-0.0660862997174263,8.80009974935092e-06,t17_f5_c3,1.255275331115015e+18,1,8.0,1503.6199951171875,628.6279907226562,277.4316065,8.6808178,18.128999710083008,0.07962899655103683,2.6526100635528564,18.159099578857422,0.07959999889135361,4.052840232849121,20.658000946044922,0.061000000685453415,0.7139999866485596,-0.10700000077486038,-1.5585999488830566,0.030114000663161278,3.4600000381469727,0.9829999804496765,628.6279907226562,1.4057799577713013,0.9750069975852966,1.0080000162124634,0.9929999709129333,0.2913289964199066,0.28699401021003723,1.0151100158691406,0.0,0.0,0.8342859745025635,1.0,18.14349937438965,0.10029999911785126,277.4326401,8.681321,21.6944,ZTF20abeffoq
