jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,ssdistnr,ssmagnr,ssnamenr,obj_id
2460055.7675463,2,2301267542915,20.245800018310547,/ztf/archive/sci/2023/0421/267546/ztf_20230421267546_000475_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2301,29,475,26.2810001373291,8.626289854873903e-06,0.025807000696659088,0.11772400140762329,1.3574500371760223e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfelmx
2460055.8181944,1,2301318192915,20.452199935913086,/ztf/archive/sci/2023/0421/318183/ztf_20230421318183_000475_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2301,29,475,26.314199447631836,1.1459200322860852e-05,0.02983889915049076,-0.0741787999868393,1.8489899957785383e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfelmx
2460055.8416319,3,2301341632915,19.923200607299805,/ztf/archive/sci/2023/0421/341632/ztf_20230421341632_000475_zi_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2301,29,475,25.728599548339844,2.310129957550089e-06,0.01989319920539856,0.19217799603939056,9.551689799991436e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfelmx
2460055.842581,3,2301342581615,19.74180030822754,/ztf/archive/sci/2023/0421/342569/ztf_20230421342569_000474_zi_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2301,16,474,25.689599990844727,2.06201002583839e-06,0.01964220032095909,0.19304999709129333,8.709370376891457e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfelmx
2460056.7751273,1,2302275121615,20.43910026550293,/ztf/archive/sci/2023/0422/275116/ztf_20230422275116_000474_zg_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2302,16,474,26.257699966430664,1.5265799447661266e-05,0.03525979816913605,-0.05734090134501457,2.5910099793691188e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfelmx
2460056.8185185,2,2302318511615,20.385400772094727,/ztf/archive/sci/2023/0422/318519/ztf_20230422318519_000474_zr_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2302,16,474,26.256399154663086,8.227740181609988e-06,0.026021799072623253,0.11396399885416031,1.3493699952960014e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfelmx
2460057.790463,2,2303290462915,20.44099998474121,/ztf/archive/sci/2023/0423/290440/ztf_20230423290440_000475_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2303,29,475,26.297700881958008,8.023440386750735e-06,0.025104200467467308,0.10693199932575226,1.2672900083998684e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfelmx
2460057.7966435,1,2303296642915,20.54599952697754,/ztf/archive/sci/2023/0423/296644/ztf_20230423296644_000475_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2303,29,475,26.2992000579834,8.068280294537544e-06,0.025096600875258446,-0.07316509634256363,1.2923799658892676e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfelmx
2460058.7684028,2,2304268401615,20.278400421142578,/ztf/archive/sci/2023/0424/268403/ztf_20230424268403_000474_zr_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2304,16,474,26.17289924621582,9.903999853122514e-06,0.02881070040166378,0.1256050020456314,1.6293699445668608e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfelmx
2460058.7741088,3,2304274101615,19.59239959716797,/ztf/archive/sci/2023/0424/274097/ztf_20230424274097_000474_zi_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2304,16,474,25.62619972229004,3.1442500585399102e-06,0.024322500452399254,0.19567599892616272,1.2870499631389976e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfelmx
