jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460058.9442014,2,2304444201215,20.351999282836914,/ztf/archive/sci/2023/0424/444190/ztf_20230424444190_000683_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2304,12,683,26.038999557495117,1.4845400073681958e-06,0.01789730042219162,0.08767259865999222,4.455870111996774e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfunqp
2460058.9682523,1,2304468251215,20.71109962463379,/ztf/archive/sci/2023/0424/468241/ztf_20230424468241_000683_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2304,12,683,26.057199478149414,3.2320099307980854e-06,0.026848899200558662,-0.03457019850611687,9.612410394765902e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfunqp
2460059.9104977,3,2305410491215,19.558000564575195,/ztf/archive/sci/2023/0425/410498/ztf_20230425410498_000683_zi_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2305,12,683,25.475000381469727,1.7665900031715864e-06,0.026179300621151924,0.17983700335025787,2.9227599952719174e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfunqp
2460060.9061574,1,2306406151215,20.63159942626953,/ztf/archive/sci/2023/0426/405972/ztf_20230426405972_000683_zg_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2306,12,683,26.25119972229004,2.4014200334931957e-06,0.023029299452900887,-0.024657800793647766,7.1261601988226175e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfunqp
2460060.9636458,2,2306463641215,20.120800018310547,/ztf/archive/sci/2023/0426/463634/ztf_20230426463634_000683_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2306,12,683,26.19540023803711,2.4344899429706857e-06,0.022774100303649902,0.09680330008268356,7.3260698627564125e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfunqp
2460062.9055208,3,2308405521215,20.057899475097656,/ztf/archive/sci/2023/0428/405521/ztf_20230428405521_000683_zi_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2308,12,683,25.57740020751953,1.8052600125884055e-06,0.026287900283932686,0.1765100061893463,3.015770016645547e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfunqp
2460062.9705787,2,2308470571215,20.38319969177246,/ztf/archive/sci/2023/0428/470567/ztf_20230428470567_000683_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2308,12,683,26.148399353027344,4.381849976198282e-06,0.030472900718450546,0.08567240089178085,1.326549954683287e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfunqp
2460063.8511111,2,2309351113315,20.401199340820312,/ztf/archive/sci/2023/0429/351100/ztf_20230429351100_001680_zr_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2309,33,1680,26.278499603271484,1.1919099733859184e-06,0.016450900584459305,0.08781550079584122,3.5288101116748294e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfunqp
2460064.8768171,2,2310376813315,20.25309944152832,/ztf/archive/sci/2023/0430/376806/ztf_20230430376806_001680_zr_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2310,33,1680,26.243600845336914,1.3658500392921269e-06,0.017613699659705162,0.0897890031337738,4.0426298255624715e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfunqp
2460064.9490972,2,2310449091215,20.12820053100586,/ztf/archive/sci/2023/0430/449097/ztf_20230430449097_000683_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2310,12,683,26.143600463867188,3.03615001939761e-06,0.025187000632286072,0.09069550037384033,9.113359737966675e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfunqp
2460065.8668287,3,2311366821215,19.595800399780273,/ztf/archive/sci/2023/0501/366829/ztf_20230501366829_000683_zi_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2311,12,683,25.542800903320312,1.3388499837674317e-06,0.0225054994225502,0.1801059991121292,2.2525300664710812e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfunqp
2460067.9309375,2,2313430931215,19.317100524902344,/ztf/archive/sci/2023/0503/430926/ztf_20230503430926_000683_zr_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,2313,12,683,26.188199996948242,4.177009941486176e-06,0.030023999512195587,0.09367380291223526,1.240029996552039e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfunqp
2460072.8441319,3,2318344131215,19.6289005279541,/ztf/archive/sci/2023/0508/344120/ztf_20230508344120_000683_zi_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2318,12,683,25.576099395751953,1.221430011355551e-06,0.021959200501441956,0.17666800320148468,2.007930015679449e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfunqp
2460072.8693403,1,2318369343315,19.64929962158203,/ztf/archive/sci/2023/0508/369329/ztf_20230508369329_001680_zg_c09_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2318,33,1680,26.25830078125,4.002859895990696e-06,0.0307375006377697,-0.02157909981906414,1.1689599887176882e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfunqp
2460075.8453819,3,2321345381215,19.673900604248047,/ztf/archive/sci/2023/0511/345359/ztf_20230511345359_000683_zi_c04_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2321,12,683,25.534299850463867,1.6627900549792685e-06,0.02560039982199669,0.17035099864006042,2.740889976848848e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abfunqp
