jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459009.7524306,1,1255252435415,20.31439971923828,/ztf/archive/sci/2020/0609/252431/ztf_20200609252431_000582_zg_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1255,54,582,26.372800827026367,1.1522700333443936e-05,0.034539300948381424,-0.06163579970598221,2.0826300897169858e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abjcuep
2459012.7539815,2,1258253985415,20.787700653076172,/ztf/archive/sci/2020/0612/253982/ztf_20200612253982_000582_zr_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1258,54,582,26.311599731445312,6.4347500483563635e-06,0.025941599160432816,0.0941895991563797,1.1523299690452404e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abjcuep
2459012.7956829,1,1258295685415,20.926700592041016,/ztf/archive/sci/2020/0612/295683/ztf_20200612295683_000582_zg_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1258,54,582,26.364900588989258,9.76288993115304e-06,0.031948499381542206,-0.07207229733467102,1.744399924064055e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abjcuep
2459016.7011574,1,1262201155415,20.884199142456055,/ztf/archive/sci/2020/0616/201157/ztf_20200616201157_000582_zg_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1262,54,582,26.331899642944336,9.214049896399956e-06,0.031058499589562416,-0.0660460963845253,1.6362699170713313e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abjcuep
2459016.7345255,2,1262234525415,20.522600173950195,/ztf/archive/sci/2020/0616/234525/ztf_20200616234525_000582_zr_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1262,54,582,26.225299835205078,6.055930043658009e-06,0.024476200342178345,0.09443479776382446,1.0932700206467416e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abjcuep
2459019.7127546,2,1265212755415,20.66360092163086,/ztf/archive/sci/2020/0619/212755/ztf_20200619212755_000582_zr_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1265,54,582,26.26110076904297,5.372210125642596e-06,0.023643599823117256,0.0951554998755455,9.64661012403667e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abjcuep
2459019.7551852,1,1265255185415,20.869699478149414,/ztf/archive/sci/2020/0619/255185/ztf_20200619255185_000582_zg_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1265,54,582,26.318700790405273,1.1802900189650245e-05,0.035286299884319305,-0.07923330366611481,2.0912399122607894e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abjcuep
2459022.7026968,1,1268202695415,20.891000747680664,/ztf/archive/sci/2020/0622/202697/ztf_20200622202697_000582_zg_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1268,54,582,26.351900100708008,1.1767599971790332e-05,0.034937601536512375,-0.06707049906253815,2.1182000637054443e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abjcuep
2459022.7321759,2,1268232175415,20.820600509643555,/ztf/archive/sci/2020/0622/232176/ztf_20200622232176_000582_zr_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1268,54,582,26.292800903320312,5.33479988007457e-06,0.023596499115228653,0.0990384966135025,9.488559953751974e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abjcuep
2459025.6908681,2,1271190865415,20.292400360107422,/ztf/archive/sci/2020/0625/190868/ztf_20200625190868_000582_zr_c14_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1271,54,582,26.034000396728516,2.4745799237280153e-05,0.05040900036692619,0.08931300044059753,4.443970101419836e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abjcuep
