jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,ssdistnr,ssmagnr,ssnamenr,obj_id
2459010.9642593,1,1256464255115,19.881399154663086,/ztf/archive/sci/2020/0610/464259/ztf_20200610464259_000544_zg_c13_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1256,51,544,26.303199768066406,5.1889401220250875e-06,0.03484230116009712,-0.03128350153565407,1.0955500329146162e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abkcril
2459013.8568171,2,1259356815115,20.351900100708008,/ztf/archive/sci/2020/0613/356817/ztf_20200613356817_000544_zr_c13_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1259,51,544,26.14889907836914,2.062879957520636e-06,0.022518500685691833,0.0941672995686531,4.1346202124259435e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abkcril
2459016.9637847,2,1262463785115,20.769800186157227,/ztf/archive/sci/2020/0616/463785/ztf_20200616463785_000544_zr_c13_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1262,51,544,26.174400329589844,2.6661900847102515e-06,0.025578999891877174,0.08032819628715515,5.36601010026061e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abkcril
2459019.8393519,1,1265339355115,20.72100067138672,/ztf/archive/sci/2020/0619/339352/ztf_20200619339352_000544_zg_c13_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1265,51,544,26.141799926757812,7.848229870432988e-06,0.04402879998087883,-0.07138969749212265,1.5799900211277418e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abkcril
2459019.9793403,2,1265479345115,20.436599731445312,/ztf/archive/sci/2020/0619/478935/ztf_20200619478935_000544_zr_c13_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1265,51,544,26.19339942932129,1.7560299738761387e-06,0.02078150026500225,0.08373810350894928,3.503359948808793e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abkcril
2459020.9812616,2,1266481265115,20.279399871826172,/ztf/archive/sci/2020/0620/481262/ztf_20200620481262_000544_zr_c13_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1266,51,544,26.19029998779297,1.8730600004346343e-06,0.021510599181056023,0.08605380356311798,3.759640094358474e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abkcril
2459023.8431019,1,1269343105115,20.515600204467773,/ztf/archive/sci/2020/0623/343079/ztf_20200623343079_000544_zg_c13_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1269,51,544,26.194799423217773,7.054120032989886e-06,0.041749801486730576,-0.06196440011262894,1.4094500329520088e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abkcril
2459026.8788194,1,1272378815115,20.63680076599121,/ztf/archive/sci/2020/0626/378808/ztf_20200626378808_000544_zg_c13_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1272,51,544,26.286399841308594,5.79960988034145e-06,0.037878599017858505,-0.07698430120944977,1.1579099918890279e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abkcril
2459026.9618519,2,1272461855115,20.657400131225586,/ztf/archive/sci/2020/0626/461852/ztf_20200626461852_000544_zr_c13_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1272,51,544,26.209699630737305,2.6706700282375095e-06,0.02553570084273815,0.07878140360116959,5.345969839254394e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abkcril
2459026.9791667,2,1272479165115,20.540300369262695,/ztf/archive/sci/2020/0626/479167/ztf_20200626479167_000544_zr_c13_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1272,51,544,26.214000701904297,1.8482099903849303e-06,0.021288199350237846,0.07937149703502655,3.703210040839622e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abkcril
