jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459036.9652894,1,1282465285615,19.26689910888672,/ztf/archive/sci/2020/0706/465243/ztf_20200706465243_000347_zg_c15_o_q1_scimrefdiffimg.fits.fz,SRG,1,1282,56,347,26.25830078125,5.180740117793903e-05,0.042063601315021515,-0.04874330013990402,8.1023303209804e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abmsxxr
2459038.9849769,1,1284484975615,19.16710090637207,/ztf/archive/sci/2020/0708/484977/ztf_20200708484977_000347_zg_c15_o_q1_scimrefdiffimg.fits.fz,SRG,1,1284,56,347,26.308799743652344,6.676669727312401e-05,0.04745220020413399,-0.045419201254844666,0.0001095629995688796,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abmsxxr
2459048.9202546,2,1294420255615,20.37179946899414,/ztf/archive/sci/2020/0718/420255/ztf_20200718420255_000347_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1294,56,347,26.18869972229004,1.7610600480111316e-05,0.028647400438785553,0.10723400115966797,2.196219975303393e-05,t17_f5_c3,1.294420255615015e+18,t,8.0,2810.820068359375,790.2570190429688,18.4649902,-6.3587304,20.367700576782227,0.19939100742340088,0.9760839939117432,20.07110023498535,0.3057999908924103,2.312030076980591,22.132999420166016,0.1550000011920929,0.9890000224113464,0.23800000548362732,-0.38784199953079224,-0.29655399918556213,3.4000000953674316,0.8889999985694885,261.6780090332031,0.3007279932498932,0.7264670133590698,0.8600000143051147,0.7009999752044678,0.2529410123825073,0.2061759978532791,1.2268199920654297,3.0,0.0,0.5028570294380188,1.0,19.952800750732422,0.35030001401901245,18.4656143,-6.3585348,8.00059,ZTF20abmsxxr
2459048.9611921,1,1294461195615,20.61050033569336,/ztf/archive/sci/2020/0718/461181/ztf_20200718461181_000347_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1294,56,347,26.319299697875977,2.1345600544009358e-05,0.031555499881505966,-0.07438179850578308,2.6385299861431122e-05,t17_f5_c3,1.294461195615015e+18,t,13.0,2796.929931640625,804.3930053710938,18.464916,-6.3587431,20.5132999420166,0.22750699520111084,1.306089997291565,20.324399948120117,0.3028999865055084,4.566400051116943,22.325000762939453,0.19200000166893005,0.953000009059906,0.08699999749660492,-0.21674999594688416,-0.18885000050067902,3.4800000190734863,0.8920000195503235,275.5690002441406,0.28613901138305664,0.7250319719314575,0.8309999704360962,0.6650000214576721,0.2387930005788803,0.19109199941158295,1.249619960784912,6.0,0.0,0.5342860221862793,0.9045299887657166,20.546199798583984,0.4742000102996826,18.4638719,-6.3594949,8.82059,ZTF20abmsxxr
2459051.9200231,2,1297420025615,20.092500686645508,/ztf/archive/sci/2020/0721/420012/ztf_20200721420012_000347_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1297,56,347,26.151199340820312,3.401809954084456e-05,0.03941139951348305,0.10731200128793716,4.223909854772501e-05,t17_f5_c3,1.297420025615015e+18,1,5.0,2814.330078125,814.2960205078125,18.4648744,-6.3587563,19.813199996948242,0.16660000383853912,1.109220027923584,19.676599502563477,0.2102999985218048,2.7312300205230713,22.132999420166016,0.1550000011920929,0.9890000224113464,0.23800000548362732,-0.5257869958877563,-0.13656699657440186,3.7200000286102295,0.8460000157356262,258.1669921875,0.4159260094165802,0.8724920153617859,1.0709999799728394,0.9599999785423279,0.2879030108451843,0.25806498527526855,1.115630030632019,5.0,0.0,0.5714290142059326,0.9817169904708862,19.41510009765625,0.21119999885559082,18.4656143,-6.3585348,9.10752,ZTF20abmsxxr
2459051.9200231,2,1297420025615,20.092500686645508,/ztf/archive/sci/2020/0721/420012/ztf_20200721420012_000347_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1297,56,347,26.151199340820312,3.401809954084456e-05,0.03941139951348305,0.10731200128793716,4.223909854772501e-05,t17_f5_c3,1.297420025615015e+18,t,5.0,2814.330078125,814.2960205078125,18.4648744,-6.3587563,19.813199996948242,0.16660000383853912,1.109220027923584,19.676599502563477,0.2102999985218048,2.7312300205230713,22.132999420166016,0.1550000011920929,0.9890000224113464,0.23800000548362732,-0.5257869958877563,-0.13656699657440186,3.7200000286102295,0.8460000157356262,258.1669921875,0.4159260094165802,0.8724920153617859,1.0709999799728394,0.9599999785423279,0.2879030108451843,0.25806498527526855,1.115630030632019,5.0,0.0,0.5714290142059326,0.9817169904708862,19.41510009765625,0.21119999885559082,18.4656143,-6.3585348,9.10752,ZTF20abmsxxr
2459051.9594329,1,1297459435615,20.450599670410156,/ztf/archive/sci/2020/0721/459155/ztf_20200721459155_000347_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1297,56,347,26.26259994506836,3.2345000363420695e-05,0.038264501839876175,-0.07815200090408325,4.0762701246421784e-05,t17_f5_c3,1.297459435615015e+18,t,2.0,2824.800048828125,824.4019775390625,18.4649372,-6.3586971,19.574600219726562,0.14105400443077087,1.4589600563049316,19.568300247192383,0.14470000565052032,4.713260173797607,22.325000762939453,0.19200000166893005,0.953000009059906,0.08699999749660492,-0.2656939923763275,-0.006308999843895435,3.450000047683716,0.9620000123977661,247.7030029296875,0.8822590112686157,0.895700991153717,0.9070000052452087,0.8640000224113464,0.2628990113735199,0.2504349946975708,1.0497699975967407,3.0,0.0,0.8285710215568542,0.9787150025367737,19.577299118041992,0.18539999425411224,18.4638719,-6.3594949,15.9912,ZTF20abmsxxr
2459054.918588,2,1300418585615,20.31719970703125,/ztf/archive/sci/2020/0724/418588/ztf_20200724418588_000347_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1300,56,347,26.18779945373535,1.870119922386948e-05,0.029203400015830994,0.11202699691057205,2.27525997615885e-05,t17_f5_c3,1.300418585615015e+18,1,4.0,2791.239990234375,819.4530029296875,18.4649294,-6.3587424,19.33880043029785,0.11934400349855423,1.7642799615859985,19.369300842285156,0.1477999985218048,2.535710096359253,22.132999420166016,0.1550000011920929,0.9890000224113464,0.23800000548362732,-0.27298399806022644,0.03052300028502941,2.700000047683716,0.9800000190734863,281.2590026855469,0.9478660225868225,1.0555100440979004,0.8309999704360962,0.7689999938011169,0.307778000831604,0.2848150134086609,1.0806200504302979,4.0,0.0,0.8999999761581421,0.9915130138397217,19.311199188232422,0.1784999966621399,18.4656143,-6.3585348,16.49,ZTF20abmsxxr
2459038.9840509,1,1284484050215,19.21109962463379,/ztf/archive/sci/2020/0708/484051/ztf_20200708484051_000398_zg_c01_o_q3_scimrefdiffimg.fits.fz,SRG,1,1284,2,398,26.206600189208984,5.864389822818339e-05,0.03838510066270828,-0.049943599849939346,8.928799798013642e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abmsxxr
2459046.9400347,2,1292440030215,20.38170051574707,/ztf/archive/sci/2020/0716/440035/ztf_20200716440035_000398_zr_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1292,2,398,26.103700637817383,1.4482699953077827e-05,0.022974999621510506,0.10759899765253067,1.699940003163647e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abmsxxr
