jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459020.7271759,1,1266227170015,20.80780029296875,/ztf/archive/sci/2020/0620/227141/ztf_20200620227141_000825_zg_c01_o_q1_scimrefdiffimg.fits.fz,TESS,1,1266,0,825,26.213699340820312,4.573520072881365e-06,0.027415599673986435,-0.07610990107059479,8.098910257103853e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abmxstg
2459020.7641667,2,1266264161315,20.747400283813477,/ztf/archive/sci/2020/0620/264167/ztf_20200620264167_000826_zr_c04_o_q2_scimrefdiffimg.fits.fz,TESS,1,1266,13,826,26.180400848388672,2.803310053423047e-06,0.02213829942047596,0.09033689647912979,4.852320216741646e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abmxstg
2459020.8733796,1,1266373371315,20.912200927734375,/ztf/archive/sci/2020/0620/373368/ztf_20200620373368_000826_zg_c04_o_q2_scimrefdiffimg.fits.fz,TESS,1,1266,13,826,26.29450035095215,3.6969199754821602e-06,0.025428099557757378,-0.08978220075368881,6.425159881473519e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abmxstg
2459022.7065394,1,1268206530015,20.755800247192383,/ztf/archive/sci/2020/0622/206458/ztf_20200622206458_000825_zg_c01_o_q1_scimrefdiffimg.fits.fz,TESS,1,1268,0,825,26.245500564575195,4.693679784395499e-06,0.02769480086863041,-0.07396250218153,8.307930329465307e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abmxstg
2459022.7464005,2,1268246401315,20.598800659179688,/ztf/archive/sci/2020/0622/246400/ztf_20200622246400_000826_zr_c04_o_q2_scimrefdiffimg.fits.fz,TESS,1,1268,13,826,26.212600708007812,2.4445300823572325e-06,0.020601099357008934,0.09282690286636353,4.2263300201739185e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abmxstg
2459022.7468866,2,1268246880015,20.546499252319336,/ztf/archive/sci/2020/0622/246863/ztf_20200622246863_000825_zr_c01_o_q1_scimrefdiffimg.fits.fz,TESS,1,1268,0,825,26.16629981994629,2.5685999389679637e-06,0.020496800541877747,0.09536080062389374,4.489029834076064e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abmxstg
2459022.8486806,1,1268348681315,20.822200775146484,/ztf/archive/sci/2020/0622/348669/ztf_20200622348669_000826_zg_c04_o_q2_scimrefdiffimg.fits.fz,TESS,1,1268,13,826,26.336599349975586,4.085480213689152e-06,0.026733599603176117,-0.09344639629125595,7.081239800754702e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abmxstg
2459023.7415741,1,1269241570015,20.858600616455078,/ztf/archive/sci/2020/0623/241574/ztf_20200623241574_000825_zg_c01_o_q1_scimrefdiffimg.fits.fz,TESS,1,1269,0,825,26.24880027770996,4.0816098589857575e-06,0.02577509917318821,-0.08003079891204834,7.207930138974916e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abmxstg
2459023.8069444,2,1269306941315,20.790199279785156,/ztf/archive/sci/2020/0623/306944/ztf_20200623306944_000826_zr_c04_o_q2_scimrefdiffimg.fits.fz,TESS,1,1269,13,826,26.213499069213867,2.3854299797676504e-06,0.02039239928126335,0.08989070355892181,4.125260147702647e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abmxstg
2459023.828912,1,1269328911315,20.922399520874023,/ztf/archive/sci/2020/0623/328912/ztf_20200623328912_000826_zg_c04_o_q2_scimrefdiffimg.fits.fz,TESS,1,1269,13,826,26.32040023803711,3.0897399483365007e-06,0.02330069988965988,-0.08229149878025055,5.348209924704861e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abmxstg
