jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460127.9556366,1,2373455632515,19.27519989013672,/ztf/archive/sci/2023/0702/455625/ztf_20230702455625_000294_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2373,25,294,26.105100631713867,3.7219699152046815e-05,0.037755098193883896,-0.03928140178322792,7.31387990526855e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnfuou
2460135.9591782,2,2381459172515,20.019500732421875,/ztf/archive/sci/2023/0710/458947/ztf_20230710458947_000294_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2381,25,294,26.313100814819336,1.3687399587070104e-05,0.026046499609947205,0.1223749965429306,1.935540058184415e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnfuou
2460138.9329977,1,2384432992515,19.977699279785156,/ztf/archive/sci/2023/0713/432986/ztf_20230713432986_000294_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2384,25,294,25.96430015563965,2.0320299881859683e-05,0.03150070086121559,-0.06011129915714264,3.100289904978126e-05,t17_f5_c3,2.38443299251501e+18,f,3.0,1763.6800537109375,1495.7900390625,0.1774719,-17.5446779,19.957300186157227,0.20336300134658813,1.1734600067138672,19.70050048828125,0.2930000126361847,0.18599499762058258,18.249000549316406,0.035999998450279236,2.6419999599456787,0.13099999725818634,0.3434720039367676,-0.2567709982395172,1.3082499504089355,0.8349999785423279,1308.8199462890625,0.2772049903869629,2.0,0.7720000147819519,0.6639999747276306,0.5901010036468506,0.5075479745864868,1.1626499891281128,5.0,0.0,0.9557139873504639,0.8879590034484863,19.416500091552734,0.28769999742507935,0.1774843,-17.5447289,6.20914,ZTF20abnfuou
2460141.9194792,2,2387419472515,20.198400497436523,/ztf/archive/sci/2023/0716/419468/ztf_20230716419468_000294_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2387,25,294,26.17340087890625,1.2163000064902008e-05,0.024552499875426292,0.12115199863910675,1.7430800653528422e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnfuou
2460144.9205208,1,2390420522515,20.343900680541992,/ztf/archive/sci/2023/0719/420521/ztf_20230719420521_000294_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2390,25,294,26.23040008544922,1.838189928093925e-05,0.03033839911222458,-0.09956090152263641,2.671000038390048e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnfuou
2460146.8989815,2,2392398982515,20.134000778198242,/ztf/archive/sci/2023/0721/398970/ztf_20230721398970_000294_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2392,25,294,26.24220085144043,1.4162000297801569e-05,0.02671460062265396,0.12162099778652191,2.0328699974925257e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnfuou
2460148.9381829,1,2394438182515,20.42099952697754,/ztf/archive/sci/2023/0723/438102/ztf_20230723438102_000294_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2394,25,294,26.05970001220703,1.8960799934575334e-05,0.0307048000395298,-0.05700169876217842,2.7239999326411635e-05,t17_f5_c3,2.39443818251501e+18,f,4.0,1785.0899658203125,1491.3199462890625,0.1773965,-17.5447484,19.961700439453125,0.16542600095272064,0.9867619872093201,19.856000900268555,0.24269999563694,0.305512011051178,18.249000549316406,0.035999998450279236,2.6419999599456787,0.13099999725818634,0.11101700365543365,-0.10572200268507004,2.3299999237060547,0.7170000076293945,1287.4100341796875,0.5650060176849365,1.0600800514221191,0.8199999928474426,0.6740000247955322,0.35193100571632385,0.2892700135707855,1.2166199684143066,6.0,0.0,0.9628570079803467,0.9083520174026489,19.781999588012695,0.287200003862381,0.1774843,-17.5447289,7.66884,ZTF20abnfuou
2460148.9602662,2,2394460262515,16.00670051574707,/ztf/archive/sci/2023/0723/460081/ztf_20230723460081_000294_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2394,25,294,22.36520004272461,0.001965469913557172,0.06887699663639069,0.05296710133552551,0.0037316700909286737,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnfuou
2460150.9186343,1,2396418632515,20.252099990844727,/ztf/archive/sci/2023/0725/418623/ztf_20230725418623_000294_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2396,25,294,26.12459945678711,2.2380099835572764e-05,0.03354329988360405,-0.056338898837566376,3.290539825684391e-05,t17_f5_c3,2.39641863251501e+18,f,6.0,1771.449951171875,1495.2900390625,0.1775186,-17.5447052,20.112600326538086,0.2438880056142807,1.4773000478744507,20.332399368286133,0.3986999988555908,0.1436620056629181,18.249000549316406,0.035999998450279236,2.6419999599456787,0.13099999725818634,0.22477899491786957,0.21977999806404114,1.3521699905395508,0.6880000233650208,1301.050048828125,-0.08030799776315689,2.0,0.7559999823570251,0.6489999890327454,0.5591019988059998,0.4799700081348419,1.164870023727417,6.0,0.0,0.9685710072517395,1.0,20.41939926147461,0.5485000014305115,0.1774843,-17.5447289,6.71138,ZTF20abnfuou
2460150.9399769,2,2396439972515,20.275699615478516,/ztf/archive/sci/2023/0725/439965/ztf_20230725439965_000294_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2396,25,294,26.233200073242188,4.1128001612378284e-05,0.04555239900946617,0.12482699751853943,5.887649967917241e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnfuou
2460152.9476736,1,2398447672515,20.095199584960938,/ztf/archive/sci/2023/0727/447662/ztf_20230727447662_000294_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2398,25,294,26.216400146484375,2.450720057822764e-05,0.034453101456165314,-0.07650890201330185,3.793499854509719e-05,t17_f5_c3,2.39844767251501e+18,f,7.0,1778.27001953125,1506.8399658203125,0.1775043,-17.5447523,19.721399307250977,0.1395539939403534,0.8522800207138062,19.843900680541992,0.24529999494552612,0.10729900002479553,18.249000549316406,0.035999998450279236,2.6419999599456787,0.13099999725818634,0.4309700131416321,0.12252599745988846,2.75,0.8169999718666077,1294.22998046875,0.25134000182151794,1.175279974937439,1.0149999856948853,0.9330000281333923,0.3690910041332245,0.33927300572395325,1.0878900289535522,2.0,0.0,0.9557139873504639,1.0,20.111400604248047,0.39879998564720154,0.1774843,-17.5447289,9.2457,ZTF20abnfuou
2460155.938588,1,2401438582515,20.393400192260742,/ztf/archive/sci/2023/0730/438565/ztf_20230730438565_000294_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2401,25,294,26.18429946899414,1.6944000890362076e-05,0.029236700385808945,-0.07450609654188156,2.4606799343018793e-05,t17_f5_c3,2.40143858251501e+18,f,9.0,1760.9300537109375,1487.280029296875,0.1775335,-17.5447635,19.71430015563965,0.12505300343036652,1.288540005683899,19.754600524902344,0.21969999372959137,0.20727400481700897,18.249000549316406,0.035999998450279236,2.6419999599456787,0.13099999725818634,0.16070300340652466,0.04032599925994873,1.340000033378601,0.921999990940094,1311.5699462890625,0.6387580037117004,1.8977999687194824,0.7379999756813049,0.6930000185966492,0.5507460236549377,0.5171639919281006,1.0649299621582031,6.0,0.0,0.9542859792709351,0.9809780120849609,19.993900299072266,0.34709998965263367,0.1774843,-17.5447289,7.74247,ZTF20abnfuou
2460155.9604282,2,2401460422515,20.406299591064453,/ztf/archive/sci/2023/0730/460405/ztf_20230730460405_000294_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2401,25,294,26.230899810791016,1.2258399692655075e-05,0.02490450069308281,0.12816399335861206,1.762509964464698e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnfuou
2460159.8571181,1,2405357112515,18.640600204467773,/ztf/archive/sci/2023/0803/357118/ztf_20230803357118_000294_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2405,25,294,26.182100296020508,9.821510320762172e-05,0.04589010030031204,-0.07771710306406021,0.00024268300330732018,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnfuou
2460162.8970833,1,2408397082515,19.60610008239746,/ztf/archive/sci/2023/0806/396539/ztf_20230806396539_000294_zg_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2408,25,294,26.256399154663086,3.226639819331467e-05,0.03825480118393898,-0.03431180119514465,5.566130130318925e-05,t17_f5_c3,2.40839708251501e+18,f,1.0,1757.8399658203125,1507.449951171875,0.1775668,-17.5448232,19.7283992767334,0.19971300661563873,1.0444200038909912,19.463499069213867,0.31929999589920044,0.4364970028400421,18.249000549316406,0.035999998450279236,2.6419999599456787,0.13099999725818634,-0.13253599405288696,-0.2648949921131134,2.3499999046325684,0.6850000023841858,1314.6600341796875,0.14262400567531586,1.139799952507019,0.953000009059906,0.8899999856948853,0.40553200244903564,0.37872299551963806,1.0707900524139404,7.0,0.0,0.9057139754295349,0.8834919929504395,19.62969970703125,0.4771000146865845,0.1774843,-17.5447289,5.69839,ZTF20abnfuou
2460162.9414352,2,2408441432515,20.008100509643555,/ztf/archive/sci/2023/0806/441424/ztf_20230806441424_000294_zr_c07_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,2408,25,294,26.32939910888672,2.4469300115015358e-05,0.03493409976363182,0.12549500167369843,3.477829886833206e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnfuou
