jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,ssdistnr,ssmagnr,ssnamenr,obj_id
2460202.9535301,3,2448453535815,19.774499893188477,/ztf/archive/sci/2023/0915/453518/ztf_20230915453518_000452_zi_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2448,58,452,25.5939998626709,5.391369995777495e-06,0.023863699287176132,0.19341300427913666,1.9427699953666888e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnnftk
2460203.9159491,1,2449415945815,21.00160026550293,/ztf/archive/sci/2023/0916/415938/ztf_20230916415938_000452_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2449,58,452,26.388599395751953,1.9273600628366694e-05,0.029282400384545326,-0.09162680059671402,2.4415199732175097e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnnftk
2460203.9701273,2,2449470125815,20.685800552368164,/ztf/archive/sci/2023/0916/470116/ztf_20230916470116_000452_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2449,58,452,26.27389907836914,1.2375299775158055e-05,0.023622000589966774,0.10784400254487991,1.5644800441805273e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnnftk
2460205.8427894,1,2451342785815,20.739200592041016,/ztf/archive/sci/2023/0918/342778/ztf_20230918342778_000452_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2451,58,452,26.328800201416016,2.9711300157941878e-05,0.036457400768995285,-0.058109100908041,3.7584799429168925e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnnftk
2460205.883287,2,2451383285815,20.794599533081055,/ztf/archive/sci/2023/0918/383287/ztf_20230918383287_000452_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2451,58,452,26.295000076293945,1.2432599760359153e-05,0.02343449927866459,0.10345099866390228,1.5681500372011214e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnnftk
2460205.9619444,3,2451461945815,19.99020004272461,/ztf/archive/sci/2023/0918/461933/ztf_20230918461933_000452_zi_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2451,58,452,25.630399703979492,6.6514098762127105e-06,0.02669220045208931,0.19202299416065216,2.3722199330222793e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnnftk
2460207.8848148,2,2453384815815,20.81570053100586,/ztf/archive/sci/2023/0920/384815/ztf_20230920384815_000452_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2453,58,452,26.30579948425293,1.3685100384464022e-05,0.024694299325346947,0.10236000269651413,1.7273199773626402e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnnftk
2460207.9378588,1,2453437855815,20.927600860595703,/ztf/archive/sci/2023/0920/437859/ztf_20230920437859_000452_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2453,58,452,26.39590072631836,2.4580500394222327e-05,0.0330968014895916,-0.06955700367689133,3.129880133201368e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnnftk
2460208.9119907,3,2454411995815,19.805500030517578,/ztf/archive/sci/2023/0921/411991/ztf_20230921411991_000452_zi_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2454,58,452,25.61370086669922,3.4454999422450783e-06,0.0191430002450943,0.19088900089263916,1.2133699783589691e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnnftk
2460211.8572801,3,2457357285815,19.91659927368164,/ztf/archive/sci/2023/0924/357280/ztf_20230924357280_000452_zi_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2457,58,452,25.651100158691406,3.673960009109578e-06,0.019838400185108185,0.17917700111865997,1.2973199773114175e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnnftk
2460211.901331,1,2457401335815,20.695899963378906,/ztf/archive/sci/2023/0924/401319/ztf_20230924401319_000452_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2457,58,452,26.40049934387207,2.108790067723021e-05,0.03081269934773445,-0.059536200016736984,2.6630599677446298e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnnftk
2460211.9542593,2,2457454255815,20.682899475097656,/ztf/archive/sci/2023/0924/454248/ztf_20230924454248_000452_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2457,58,452,26.31290054321289,2.1554700651904568e-05,0.030930399894714355,0.10713499784469604,2.6974399588652886e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnnftk
2460213.7948611,1,2459294861615,19.854400634765625,/ztf/archive/sci/2023/0926/294850/ztf_20230926294850_001498_zg_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,2,2459,16,1498,26.2273006439209,4.793770131072961e-05,0.03790140151977539,-0.032642900943756104,6.925220077391714e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnnftk
2460213.9764815,2,2459476485815,20.53969955444336,/ztf/archive/sci/2023/0926/476481/ztf_20230926476481_000452_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2459,58,452,26.297800064086914,1.3445000149658881e-05,0.024496400728821754,0.10716299712657928,1.6866699297679588e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnnftk
2460214.8418866,3,2460341885815,19.489900588989258,/ztf/archive/sci/2023/0927/341887/ztf_20230927341887_000452_zi_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2460,58,452,25.643600463867188,5.922180207562633e-06,0.025098999962210655,0.1914680004119873,2.1193200154812075e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnnftk
2460215.9199884,2,2461419985815,19.898799896240234,/ztf/archive/sci/2023/0928/419988/ztf_20230928419988_000452_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2461,58,452,26.29640007019043,1.635549961065408e-05,0.02698029950261116,0.10276799649000168,2.0707500880234875e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abnnftk
