jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459024.9656366,2,1270465630915,19.767200469970703,/ztf/archive/sci/2020/0624/465637/ztf_20200624465637_000854_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1270,9,854,25.61669921875,1.7291300537181087e-05,0.043306201696395874,0.06270310282707214,3.761409971048124e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abojvde
2459027.8664352,1,1273366430915,20.183700561523438,/ztf/archive/sci/2020/0627/366435/ztf_20200627366435_000854_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1273,9,854,26.11370086669922,5.629260158457328e-06,0.024629099294543266,-0.09827859699726105,1.2267700185475405e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abojvde
2459027.8914468,2,1273391440915,20.268699645996094,/ztf/archive/sci/2020/0627/391447/ztf_20200627391447_000854_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1273,9,854,26.100799560546875,2.9769000775559107e-06,0.017772799357771873,0.0805618017911911,6.491110070783179e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abojvde
2459030.8620023,1,1276362000915,19.720300674438477,/ztf/archive/sci/2020/0630/361979/ztf_20200630361979_000854_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1276,9,854,26.17799949645996,9.470440090808552e-06,0.03238759934902191,-0.10398100316524506,2.05252999876393e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abojvde
2459030.9725347,2,1276472530915,20.04159927368164,/ztf/archive/sci/2020/0630/472500/ztf_20200630472500_000854_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1276,9,854,26.168100357055664,3.5079099234280875e-06,0.019175199791789055,0.08192580193281174,7.658300091861747e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abojvde
2459033.8425926,2,1279342590915,19.53569984436035,/ztf/archive/sci/2020/0703/342593/ztf_20200703342593_000854_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1279,9,854,26.199800491333008,3.911410203727428e-06,0.020367199555039406,0.07682950049638748,8.533969776181038e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abojvde
2459036.866875,2,1282366870915,19.51810073852539,/ztf/archive/sci/2020/0706/366863/ztf_20200706366863_000854_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1282,9,854,26.227399826049805,3.702690037243883e-06,0.01992030069231987,0.06231300160288811,8.056979822868016e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abojvde
2459036.9789468,1,1282478940915,19.306100845336914,/ztf/archive/sci/2020/0706/478947/ztf_20200706478947_000854_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1282,9,854,26.352399826049805,1.4391699551197235e-05,0.03845199942588806,-0.13234500586986542,3.153380021103658e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abojvde
2459039.8650579,1,1285365050915,19.702800750732422,/ztf/archive/sci/2020/0709/365046/ztf_20200709365046_000854_zg_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1285,9,854,26.31060028076172,8.256400178652257e-06,0.0298870000988245,-0.12407399713993073,1.7929500245372765e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abojvde
2459039.9491551,2,1285449150915,19.880300521850586,/ztf/archive/sci/2020/0709/449155/ztf_20200709449155_000854_zr_c03_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1285,9,854,26.236400604248047,2.369519961575861e-06,0.01577959954738617,0.08024530112743378,5.161110038898187e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abojvde
