jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459044.8459606,1,1290345960815,20.810699462890625,/ztf/archive/sci/2020/0714/345938/ztf_20200714345938_000799_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1290,8,799,26.428199768066406,1.737210027386027e-06,0.015991099178791046,-0.07739140093326569,4.914480086881667e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abrubfr
2459044.8877778,2,1290387770815,20.685300827026367,/ztf/archive/sci/2020/0714/387755/ztf_20200714387755_000799_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1290,8,799,26.317100524902344,1.1954000456171343e-06,0.013207499869167805,0.07149390131235123,3.3865999284898862e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abrubfr
2459047.7844097,1,1293284400815,20.99139976501465,/ztf/archive/sci/2020/0717/284387/ztf_20200717284387_000799_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1293,8,799,26.43869972229004,1.7486199794802815e-06,0.01611739955842495,-0.08180849999189377,4.920660103380214e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abrubfr
2459047.9118981,2,1293411890815,20.87619972229004,/ztf/archive/sci/2020/0717/411898/ztf_20200717411898_000799_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1293,8,799,26.32430076599121,1.625979962227575e-06,0.015524299815297127,0.0669184997677803,4.596879989549052e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abrubfr
2459050.8722801,1,1296372280815,20.792299270629883,/ztf/archive/sci/2020/0720/372234/ztf_20200720372234_000799_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1296,8,799,26.41200065612793,1.8939899746328592e-06,0.016842199489474297,-0.07623729854822159,5.329749910742976e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abrubfr
2459053.8315741,2,1299331570815,20.959800720214844,/ztf/archive/sci/2020/0723/331562/ztf_20200723331562_000799_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1299,8,799,26.33489990234375,1.6172300547623308e-06,0.015336600132286549,0.07165219634771347,4.578289917844813e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abrubfr
2459053.851088,1,1299351080815,21.04789924621582,/ztf/archive/sci/2020/0723/351042/ztf_20200723351042_000799_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1299,8,799,26.428600311279297,1.8514999737817561e-06,0.01650029979646206,-0.07628069818019867,5.235970093053766e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abrubfr
2459053.9164583,1,1299416450815,21.017200469970703,/ztf/archive/sci/2020/0723/416458/ztf_20200723416458_000799_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1299,8,799,26.3966007232666,1.8828700376616325e-06,0.016672799363732338,-0.07528070360422134,5.326439804775873e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abrubfr
2459056.841169,2,1302341160815,20.44659996032715,/ztf/archive/sci/2020/0726/341157/ztf_20200726341157_000799_zr_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1302,8,799,26.302799224853516,4.283030193619197e-06,0.02510320022702217,0.07008430361747742,1.2102400432922877e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abrubfr
2459056.9098495,1,1302409840815,20.724000930786133,/ztf/archive/sci/2020/0726/409850/ztf_20200726409850_000799_zg_c03_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1302,8,799,26.36590003967285,1.7107900021073874e-06,0.01600779965519905,-0.07994990050792694,4.845329840463819e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abrubfr
