jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459076.9066667,2,1322406660415,20.61949920654297,/ztf/archive/sci/2020/0815/406667/ztf_20200815406667_000775_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1322,4,775,26.251699447631836,1.4507800187857356e-06,0.014207500033080578,0.07077589631080627,4.118930064578308e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzcokv
2459076.9502662,1,1322450260415,20.653600692749023,/ztf/archive/sci/2020/0815/450255/ztf_20200815450255_000775_zg_c02_o_q1_scimrefdiffimg.fits.fz,SRG,1,1322,4,775,26.307100296020508,2.461179974488914e-06,0.018419500440359116,-0.059695299714803696,6.998719982220791e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzcokv
2459077.0026736,1,1322502670415,20.22209930419922,/ztf/archive/sci/2020/0815/502674/ztf_20200815502674_000775_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1322,4,775,26.18470001220703,6.466580089181662e-06,0.02980240061879158,-0.0725879967212677,1.839340075093787e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzcokv
2459077.9222106,1,1323422210415,20.854999542236328,/ztf/archive/sci/2020/0816/422211/ztf_20200816422211_000775_zg_c02_o_q1_scimrefdiffimg.fits.fz,SRG,1,1323,4,775,26.30430030822754,2.3244099338626256e-06,0.01793310046195984,-0.06822759658098221,6.572930033144075e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzcokv
2459077.9453935,2,1323445390415,20.71269989013672,/ztf/archive/sci/2020/0816/445394/ztf_20200816445394_000775_zr_c02_o_q1_scimrefdiffimg.fits.fz,SRG,1,1323,4,775,26.280000686645508,1.4977699720475357e-06,0.014325999654829502,0.07247419655323029,4.271640136721544e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzcokv
2459077.9795255,2,1323479520415,20.573299407958984,/ztf/archive/sci/2020/0816/479525/ztf_20200816479525_000775_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1323,4,775,26.172199249267578,1.9663300463435007e-06,0.016217099502682686,0.06941930204629898,5.623289780487539e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzcokv
2459079.9157986,2,1325415790415,20.675100326538086,/ztf/archive/sci/2020/0818/415787/ztf_20200818415787_000775_zr_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1325,4,775,26.21179962158203,1.6820399650896434e-06,0.015008999966084957,0.07281950116157532,4.8124197746801656e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzcokv
2459079.9320023,2,1325432000415,20.650800704956055,/ztf/archive/sci/2020/0818/431979/ztf_20200818431979_000775_zr_c02_o_q1_scimrefdiffimg.fits.fz,SRG,1,1325,4,775,26.197999954223633,1.820019974729803e-06,0.01576329953968525,0.07577519863843918,5.193970082473243e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzcokv
2459079.9704977,1,1325470490415,20.656999588012695,/ztf/archive/sci/2020/0818/470474/ztf_20200818470474_000775_zg_c02_o_q1_scimrefdiffimg.fits.fz,SRG,1,1325,4,775,26.245399475097656,2.4296600713569205e-06,0.01834929920732975,-0.0776572972536087,6.916849997651298e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzcokv
2459080.9536111,1,1326453610415,20.642099380493164,/ztf/archive/sci/2020/0819/453611/ztf_20200819453611_000775_zg_c02_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1326,4,775,26.110599517822266,2.6514699129620567e-06,0.019184399396181107,-0.05125800147652626,7.528039986937074e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzcokv
