jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459079.8515741,1,1325351573215,20.817800521850586,/ztf/archive/sci/2020/0818/351574/ztf_20200818351574_000599_zg_c09_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1325,32,599,26.151899337768555,1.958880056918133e-05,0.04138850048184395,-0.11187999695539474,2.8121599825681187e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzvxyk
2459079.852037,1,1325352034515,20.76729965209961,/ztf/archive/sci/2020/0818/352037/ztf_20200818352037_000550_zg_c12_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1325,45,550,26.2273006439209,8.110519956971984e-06,0.026771700009703636,-0.059517499059438705,1.1521899978106376e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzvxyk
2459079.8741435,2,1325374143215,20.739200592041016,/ztf/archive/sci/2020/0818/374144/ztf_20200818374144_000599_zr_c09_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1325,32,599,26.16360092163086,8.349979907507077e-06,0.02737480029463768,0.09779760241508484,1.18471998575842e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzvxyk
2459079.8750694,2,1325375064515,20.552799224853516,/ztf/archive/sci/2020/0818/375069/ztf_20200818375069_000550_zr_c12_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1325,45,550,26.228300094604492,5.744409918406745e-06,0.022529499605298042,0.10753200203180313,8.151980182447005e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzvxyk
2459080.8420949,2,1326342093215,20.542499542236328,/ztf/archive/sci/2020/0819/342095/ztf_20200819342095_000599_zr_c09_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1326,32,599,26.109699249267578,7.519639893871499e-06,0.025870200246572495,0.09845779836177826,1.0720699719968252e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzvxyk
2459080.9246644,1,1326424664515,20.588600158691406,/ztf/archive/sci/2020/0819/424664/ztf_20200819424664_000550_zg_c12_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1326,45,550,26.09320068359375,9.410799975739792e-06,0.028895199298858643,-0.035454798489809036,1.357240034849383e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzvxyk
2459080.9256019,1,1326425603215,20.609699249267578,/ztf/archive/sci/2020/0819/425602/ztf_20200819425602_000599_zg_c09_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1326,32,599,26.022199630737305,2.0518900782917626e-05,0.042447399348020554,-0.097079798579216,2.9563600037363358e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzvxyk
2459081.8384028,1,1327338403215,20.701400756835938,/ztf/archive/sci/2020/0820/338380/ztf_20200820338380_000599_zg_c09_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1327,32,599,26.027700424194336,1.8592700143926777e-05,0.040753498673439026,-0.10775700211524963,2.664339990587905e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzvxyk
2459081.8523958,1,1327352393215,20.621700286865234,/ztf/archive/sci/2020/0820/352396/ztf_20200820352396_000599_zg_c09_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1327,32,599,25.98889923095703,2.2706299205310643e-05,0.04477189853787422,-0.09946399927139282,3.29096001223661e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzvxyk
2459081.8528588,1,1327352854515,20.527700424194336,/ztf/archive/sci/2020/0820/352859/ztf_20200820352859_000550_zg_c12_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1327,45,550,26.087299346923828,9.358640454593115e-06,0.02886890061199665,-0.07871080189943314,1.3550899893743917e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzvxyk
2459081.8753472,2,1327375343215,20.56599998474121,/ztf/archive/sci/2020/0820/375347/ztf_20200820375347_000599_zr_c09_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1327,32,599,26.103200912475586,8.987800356408115e-06,0.0282685998827219,0.10775800049304962,1.279539992538048e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzvxyk
2459081.8768056,2,1327376803215,20.539400100708008,/ztf/archive/sci/2020/0820/376794/ztf_20200820376794_000599_zr_c09_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1327,32,599,26.09429931640625,9.477350431552622e-06,0.02905469946563244,0.10638000071048737,1.3492899597622454e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzvxyk
2459081.9003009,2,1327400304515,20.60849952697754,/ztf/archive/sci/2020/0820/400301/ztf_20200820400301_000550_zr_c12_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1327,45,550,26.15519905090332,5.59960017199046e-06,0.022481799125671387,0.11147700250148773,8.023120244615711e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzvxyk
2459081.9194444,2,1327419444515,20.5398006439209,/ztf/archive/sci/2020/0820/419444/ztf_20200820419444_000550_zr_c12_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1327,45,550,26.17099952697754,5.729420081479475e-06,0.02261750027537346,0.11712700128555298,8.169679858838208e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzvxyk
2459081.9648495,1,1327464844515,20.646699905395508,/ztf/archive/sci/2020/0820/464850/ztf_20200820464850_000550_zg_c12_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1327,45,550,26.112699508666992,1.0064300113299396e-05,0.029881099238991737,-0.07053390145301819,1.4542800272465684e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzvxyk
2459082.8552083,1,1328355204515,18.52280044555664,/ztf/archive/sci/2020/0821/355208/ztf_20200821355208_000550_zg_c12_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1328,45,550,24.075000762939453,0.00032033800380304456,0.11286599934101105,-0.0016476199962198734,0.0006912730168551207,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20abzvxyk
