jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459088.853206,1,1334353203915,20.060800552368164,/ztf/archive/sci/2020/0827/353194/ztf_20200827353194_000391_zg_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1334,39,391,25.918399810791016,8.5540596046485e-06,0.03248859941959381,-0.040160201489925385,1.6058800611062907e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20accoccp
2459088.8562384,2,1334356233915,19.787900924682617,/ztf/archive/sci/2020/0827/356018/ztf_20200827356018_000391_zr_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1334,39,391,26.06730079650879,6.738379852322396e-06,0.02915560081601143,0.12742599844932556,1.1942700439249165e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20accoccp
2459095.7939005,1,1341293903915,18.706600189208984,/ztf/archive/sci/2020/0903/293900/ztf_20200903293900_000391_zg_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1341,39,391,26.175600051879883,2.13171006180346e-05,0.03519750013947487,-0.022599300369620323,5.456820144900121e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20accoccp
2459095.8760417,2,1341376043915,18.76259994506836,/ztf/archive/sci/2020/0903/376030/ztf_20200903376030_000391_zr_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1341,39,391,26.20479965209961,1.6480200429214165e-05,0.04235230013728142,0.12992100417613983,2.8754899176419713e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20accoccp
2459099.8574884,1,1345357483915,19.51569938659668,/ztf/archive/sci/2020/0907/357488/ztf_20200907357488_000391_zg_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1345,39,391,26.06719970703125,1.411280027241446e-05,0.039256300777196884,-0.01372699998319149,3.0222499844967388e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20accoccp
2459108.7901736,1,1354290173915,19.897300720214844,/ztf/archive/sci/2020/0916/290174/ztf_20200916290174_000391_zg_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1354,39,391,25.369400024414062,1.3639600183523726e-05,0.04086750000715256,-0.04316530004143715,2.611190029710997e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20accoccp
2459111.7540509,2,1357254053915,20.331300735473633,/ztf/archive/sci/2020/0919/254051/ztf_20200919254051_000391_zr_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1357,39,391,26.120500564575195,3.663200004666578e-06,0.021717499941587448,0.10983099788427353,6.493080036307219e-06,t17_f5_c3,1.357254053915015e+18,t,4.0,1843.5699462890625,665.4349975585938,331.2631889,-9.0243809,20.409500122070312,0.258311003446579,1.1043399572372437,20.170499801635742,0.3723999857902527,1.183019995689392,21.07900047302246,0.13500000536441803,2.6640000343322754,0.36800000071525574,-0.6377320289611816,-0.23902399837970734,1.1612000465393066,0.8930000066757202,665.4349975585938,0.16081300377845764,2.0,0.9520000219345093,0.656000018119812,0.8198450207710266,0.564935028553009,1.4512200355529785,5.0,0.0,0.3499999940395355,0.7953010201454163,20.471900939941406,0.6323000192642212,331.262902,-9.0245555,6.73457,ZTF20accoccp
2459111.8175347,1,1357317533915,20.201000213623047,/ztf/archive/sci/2020/0919/317535/ztf_20200919317535_000391_zg_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1357,39,391,25.998300552368164,8.150050234689843e-06,0.032246701419353485,-0.04428429901599884,1.5086499843164347e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20accoccp
2459097.7922685,2,1343292263915,19.49090003967285,/ztf/archive/sci/2020/0905/292222/ztf_20200905292222_000391_zr_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,1343,39,391,26.259199142456055,8.420120138907805e-06,0.03305070102214813,0.10187400132417679,1.5041900041978806e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20accoccp
2459106.7740162,1,1352274013915,19.598899841308594,/ztf/archive/sci/2020/0914/274005/ztf_20200914274005_000391_zg_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,3,1352,39,391,25.191699981689453,1.788950066838879e-05,0.04529530182480812,-0.02297320030629635,3.561549965525046e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20accoccp
