jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459087.8015394,2,1333301535715,20.38680076599121,/ztf/archive/sci/2020/0826/301528/ztf_20200826301528_000828_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1333,57,828,26.0403995513916,1.8537100459070643e-06,0.01824220083653927,0.07671570032835007,4.462190190679394e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acdnmpv
2459088.8110648,1,1334311065715,20.13680076599121,/ztf/archive/sci/2020/0827/311065/ztf_20200827311065_000828_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1334,57,828,25.996200561523438,4.136440111324191e-06,0.026681799441576004,-0.043788500130176544,9.889809916785453e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acdnmpv
2459089.7977662,1,1335297765715,19.78529930114746,/ztf/archive/sci/2020/0828/297766/ztf_20200828297766_000828_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1335,57,828,26.123899459838867,5.639119990519248e-06,0.031614601612091064,-0.036993999034166336,1.3380299606069457e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acdnmpv
2459090.7984606,1,1336298465715,19.859600067138672,/ztf/archive/sci/2020/0829/298461/ztf_20200829298461_000828_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1336,57,828,26.218700408935547,5.183890152693493e-06,0.03017989918589592,-0.054221101105213165,1.2317699656705372e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acdnmpv
2459091.7473611,1,1337247365715,19.969100952148438,/ztf/archive/sci/2020/0830/247361/ztf_20200830247361_000828_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1337,57,828,26.3341007232666,4.577890194923384e-06,0.028532100841403008,-0.051553498953580856,1.0920500244537834e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acdnmpv
2459092.7293866,2,1338229385715,19.95560073852539,/ztf/archive/sci/2020/0831/229375/ztf_20200831229375_000828_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1338,57,828,26.189300537109375,2.401249957983964e-06,0.020195400342345238,0.07367459684610367,5.788690032204613e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acdnmpv
2459092.7807523,1,1338280755715,19.543100357055664,/ztf/archive/sci/2020/0831/280752/ztf_20200831280752_000828_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1338,57,828,26.282499313354492,7.969970283738803e-06,0.03658460080623627,-0.05787369981408119,1.9380600861040875e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acdnmpv
2459093.7135995,2,1339213595715,19.890399932861328,/ztf/archive/sci/2020/0901/213600/ztf_20200901213600_000828_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1339,57,828,26.20170021057129,2.276899977005087e-06,0.01969129964709282,0.07262010127305984,5.506939942279132e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acdnmpv
2459093.9101042,1,1339410105715,19.07029914855957,/ztf/archive/sci/2020/0901/410104/ztf_20200901410104_000828_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1339,57,828,26.181100845336914,1.8459100829204544e-05,0.04674709960818291,-0.029412800446152687,4.787680154549889e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acdnmpv
2459094.8289815,2,1340328985715,19.4197998046875,/ztf/archive/sci/2020/0902/328982/ztf_20200902328982_000828_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1340,57,828,26.052499771118164,3.908020062226569e-06,0.02585810050368309,0.07234460115432739,9.400119779456872e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acdnmpv
2459095.8249653,1,1341324965715,19.458499908447266,/ztf/archive/sci/2020/0903/324954/ztf_20200903324954_000828_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1341,57,828,26.211599349975586,7.64265041652834e-06,0.035847701132297516,-0.03787890076637268,1.852730019891169e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acdnmpv
2459096.6772917,1,1342177295715,20.107799530029297,/ztf/archive/sci/2020/0904/177280/ztf_20200904177280_000828_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1342,57,828,26.26930046081543,4.3033401198044885e-06,0.027204100042581558,-0.05854000151157379,1.0316500265616924e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acdnmpv
2459096.8095023,2,1342309505715,19.947599411010742,/ztf/archive/sci/2020/0904/309479/ztf_20200904309479_000828_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1342,57,828,26.17770004272461,2.0536999727482907e-06,0.018953600898385048,0.07187400013208389,4.9675700211082585e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acdnmpv
