jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460209.7749653,2,2455274961815,20.108800888061523,/ztf/archive/sci/2023/0922/274965/ztf_20230922274965_000446_zr_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2455,18,446,26.210800170898438,8.95453013072256e-06,0.024371499195694923,0.1158910021185875,1.3866099834558554e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aclxbwk
2460209.8359491,1,2455335941815,19.418800354003906,/ztf/archive/sci/2023/0922/335938/ztf_20230922335938_000446_zg_c05_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2455,18,446,25.457199096679688,4.892870128969662e-05,0.052574899047613144,-0.04678880050778389,9.189720003632829e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aclxbwk
2460211.8041898,2,2457304181815,20.36639976501465,/ztf/archive/sci/2023/0924/304178/ztf_20230924304178_000446_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,3,2457,18,446,26.32069969177246,1.0376300451753195e-05,0.026141300797462463,0.1138010025024414,1.6040799891925417e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aclxbwk
2460211.8046528,2,2457304651815,20.40130043029785,/ztf/archive/sci/2023/0924/304653/ztf_20230924304653_000446_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,3,2457,18,446,26.3164005279541,1.023539971356513e-05,0.0259396992623806,0.11650600284337997,1.5830499251023866e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aclxbwk
2460211.8051273,2,2457305121815,20.2987003326416,/ztf/archive/sci/2023/0924/305116/ztf_20230924305116_000446_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,3,2457,18,446,26.313600540161133,7.3109499680867884e-06,0.021884800866246223,0.11287900060415268,1.1378399904060643e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aclxbwk
2460211.8115162,2,2457311511815,20.411399841308594,/ztf/archive/sci/2023/0924/311273/ztf_20230924311273_000446_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,3,2457,18,446,26.327699661254883,7.233189990074607e-06,0.021833699196577072,0.11473900079727173,1.1165499927301425e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aclxbwk
2460211.8119907,2,2457311991815,20.4242000579834,/ztf/archive/sci/2023/0924/311979/ztf_20230924311979_000446_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,3,2457,18,446,26.311399459838867,8.424420229857787e-06,0.023434700444340706,0.11084099858999252,1.3009899703320116e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aclxbwk
2460211.816713,2,2457316711815,20.389699935913086,/ztf/archive/sci/2023/0924/316701/ztf_20230924316701_000446_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,3,2457,18,446,26.322999954223633,8.897780389816035e-06,0.024211300536990166,0.11079300194978714,1.3688800208910834e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aclxbwk
2460211.8171759,2,2457317171815,20.462299346923828,/ztf/archive/sci/2023/0924/317176/ztf_20230924317176_000446_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,3,2457,18,446,26.32539939880371,8.55785037856549e-06,0.023841500282287598,0.11436200141906738,1.3206399671616964e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aclxbwk
2460211.8176505,2,2457317651815,20.432100296020508,/ztf/archive/sci/2023/0924/317650/ztf_20230924317650_000446_zr_c05_o_q3_scimrefdiffimg.fits.fz,Prince,3,2457,18,446,26.318599700927734,8.279320354631636e-06,0.02325359918177128,0.11352299898862839,1.280149990634527e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20aclxbwk
