jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,ssdistnr,ssmagnr,ssnamenr,obj_id
2460183.0022106,2,2428502210015,19.705299377441406,/ztf/archive/sci/2023/0826/502188/ztf_20230826502188_000614_zr_c01_o_q1_scimrefdiffimg.fits.fz,Prince,1,2428,0,614,26.093299865722656,2.5839599402388558e-06,0.024677999317646027,0.08564549684524536,7.248880137922242e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acphdcg
2460183.9937384,2,2429493730015,19.577499389648438,/ztf/archive/sci/2023/0827/493738/ztf_20230827493738_000614_zr_c01_o_q1_scimrefdiffimg.fits.fz,Prince,1,2429,0,614,26.084699630737305,4.5174601837061346e-06,0.03235200047492981,0.08191949874162674,1.2786799743480515e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acphdcg
2460183.9962037,2,2429496200015,19.569499969482422,/ztf/archive/sci/2023/0827/496204/ztf_20230827496204_000614_zr_c01_o_q1_scimrefdiffimg.fits.fz,Prince,1,2429,0,614,26.085899353027344,4.108730081497924e-06,0.0307948999106884,0.0831523984670639,1.160789997811662e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acphdcg
2460183.9986806,2,2429498680015,19.52050018310547,/ztf/archive/sci/2023/0827/498681/ztf_20230827498681_000614_zr_c01_o_q1_scimrefdiffimg.fits.fz,Prince,1,2429,0,614,26.089500427246094,4.234530024405103e-06,0.031362999230623245,0.08451499789953232,1.1953899957006797e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acphdcg
2460184.0011458,2,2429501140015,19.388900756835938,/ztf/archive/sci/2023/0827/501146/ztf_20230827501146_000614_zr_c01_o_q1_scimrefdiffimg.fits.fz,Prince,1,2429,0,614,26.09910011291504,8.449020242551342e-06,0.04433469846844673,0.08189059793949127,2.3647800844628364e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acphdcg
2460184.0036227,2,2429503620015,19.427000045776367,/ztf/archive/sci/2023/0827/503623/ztf_20230827503623_000614_zr_c01_o_q1_scimrefdiffimg.fits.fz,Prince,1,2429,0,614,26.093000411987305,4.545389856502879e-06,0.032447699457407,0.08768010139465332,1.279279968002811e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acphdcg
2460184.0096759,3,2429509671315,18.94339942932129,/ztf/archive/sci/2023/0827/509664/ztf_20230827509664_000615_zi_c04_o_q2_scimrefdiffimg.fits.fz,Kulkarni,2,2429,13,615,25.494800567626953,3.0419000722758938e-06,0.03554749861359596,0.18315400183200836,4.48991013399791e-05,t17_f5_c3,2.42950967131501e+18,f,5.0,3010.580078125,743.5150146484375,109.7767891,23.8853397,17.845800399780273,0.11659999936819077,3.41018009185791,17.908100128173828,0.1378999948501587,0.1565600037574768,17.851999282836914,0.020999999716877937,0.8790000081062317,-0.020999999716877937,-0.0510840006172657,0.06231800094246864,2.930000066757202,0.9829999804496765,61.918800354003906,1.035290002822876,0.9293360114097595,0.7990000247955322,0.7440000176429749,0.27269598841667175,0.25392499566078186,1.073930025100708,3.0,0.0,0.9257140159606934,1.0,17.94339942932129,0.1826999932527542,109.7767661,23.8853846,21.5267,,,,ZTF20acphdcg
2460184.991794,2,2430491790015,19.665000915527344,/ztf/archive/sci/2023/0828/491782/ztf_20230828491782_000614_zr_c01_o_q1_scimrefdiffimg.fits.fz,Prince,1,2430,0,614,26.062400817871094,8.289919605886098e-06,0.04429899901151657,0.08358339965343475,2.3131600755732507e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acphdcg
2460184.9942593,2,2430494250015,19.790199279785156,/ztf/archive/sci/2023/0828/494259/ztf_20230828494259_000614_zr_c01_o_q1_scimrefdiffimg.fits.fz,Prince,1,2430,0,614,26.07309913635254,2.810339992720401e-06,0.02561509981751442,0.0855603963136673,7.887359970482066e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acphdcg
2460184.9967361,2,2430496730015,19.757400512695312,/ztf/archive/sci/2023/0828/496725/ztf_20230828496725_000614_zr_c01_o_q1_scimrefdiffimg.fits.fz,Prince,1,2430,0,614,26.074600219726562,2.6616301056492375e-06,0.02502020075917244,0.0886991024017334,7.4694798968266696e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acphdcg
2460184.9992014,2,2430499200015,19.9143009185791,/ztf/archive/sci/2023/0828/499201/ztf_20230828499201_000614_zr_c01_o_q1_scimrefdiffimg.fits.fz,Prince,1,2430,0,614,26.078399658203125,2.164109901059419e-06,0.02251959964632988,0.08279959857463837,6.073400072637014e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acphdcg
2460185.0016898,2,2430501680015,19.7549991607666,/ztf/archive/sci/2023/0828/501678/ztf_20230828501678_000614_zr_c01_o_q1_scimrefdiffimg.fits.fz,Prince,1,2430,0,614,26.086599349975586,2.6711200007412117e-06,0.025124099105596542,0.08080019801855087,7.48368984204717e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acphdcg
2460185.9935648,2,2431493560015,19.859100341796875,/ztf/archive/sci/2023/0829/493553/ztf_20230829493553_000614_zr_c01_o_q1_scimrefdiffimg.fits.fz,Prince,1,2431,0,614,26.074600219726562,1.9023699451281573e-06,0.021095799282193184,0.0870639979839325,5.319740012055263e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acphdcg
2460185.996088,2,2431496080015,19.81570053100586,/ztf/archive/sci/2023/0829/496076/ztf_20230829496076_000614_zr_c01_o_q1_scimrefdiffimg.fits.fz,Prince,1,2431,0,614,26.08989906311035,2.939209934993414e-06,0.026142800226807594,0.08110620081424713,8.265759788628202e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acphdcg
2460185.9985995,2,2431498590015,19.8794002532959,/ztf/archive/sci/2023/0829/498600/ztf_20230829498600_000614_zr_c01_o_q1_scimrefdiffimg.fits.fz,Prince,1,2431,0,614,26.08530044555664,1.9335800516273594e-06,0.021405300125479698,0.08332759886980057,5.387209967011586e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acphdcg
2460186.0011227,2,2431501120015,19.881500244140625,/ztf/archive/sci/2023/0829/501111/ztf_20230829501111_000614_zr_c01_o_q1_scimrefdiffimg.fits.fz,Prince,1,2431,0,614,26.083599090576172,2.124960019500577e-06,0.02222589962184429,0.08684880286455154,5.94828998146113e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acphdcg
2460186.0036343,2,2431503630015,19.824899673461914,/ztf/archive/sci/2023/0829/503634/ztf_20230829503634_000614_zr_c01_o_q1_scimrefdiffimg.fits.fz,Prince,1,2431,0,614,26.097400665283203,2.122410023730481e-06,0.02237739972770214,0.08696849644184113,5.936490197200328e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acphdcg
2460186.9953356,2,2432495330015,19.07979965209961,/ztf/archive/sci/2023/0830/495324/ztf_20230830495324_000614_zr_c01_o_q1_scimrefdiffimg.fits.fz,Prince,1,2432,0,614,26.05229949951172,5.9959397731290665e-06,0.03713050112128258,0.07728230208158493,1.6635800420772284e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acphdcg
