jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2459174.0286806,2,1419528682715,19.505699157714844,/ztf/archive/sci/2020/1120/528681/ztf_20201120528681_000755_zr_c07_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1.419528682715025e+18,t,1.0,1419,27,755,1605.699951171875,1483.97998046875,184.8226425,46.3724283,19.138399124145508,0.171097993850708,1.977220058441162,18.8705997467041,0.25380000472068787,13.207599639892578,22.37299919128418,0.19300000369548798,1.1330000162124634,0.0689999982714653,0.5478590130805969,-0.2677539885044098,1.909999966621399,0.9739999771118164,1466.800048828125,0.6351420283317566,1.121090054512024,0.765999972820282,0.7070000171661377,0.4010469913482666,0.37015700340270996,1.0834499597549438,7.0,0.0,0.7028570175170898,0.8559070229530334,18.64940071105957,0.26570001244544983,184.8189828,46.3751535,10.553,25.462400436401367,2.599179970275145e-05,0.031425900757312775,0.10905200242996216,3.519469828461297e-05,t17_f5_c3,ZTF20acqvgav
2459177.0103125,1,1422510312715,20.36750030517578,/ztf/archive/sci/2020/1123/510162/ztf_20201123510162_000755_zg_c07_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1.422510312715015e+18,t,5.0,1422,27,755,1607.469970703125,1481.56005859375,184.8225713,46.372447,18.981399536132812,0.11594700068235397,3.3828999996185303,18.886600494384766,0.07840000092983246,12.757699966430664,22.474000930786133,0.22300000488758087,1.274999976158142,-0.1509999930858612,-0.11270800232887268,-0.09479399770498276,3.619999885559082,0.9639999866485596,1465.030029296875,1.4809199571609497,0.9046210050582886,1.1150000095367432,0.9750000238418579,0.308010995388031,0.269336998462677,1.143589973449707,0.0,0.0,0.8271430134773254,1.0,18.92770004272461,0.10329999774694443,184.819254,46.3752114,26.1812,26.247400283813477,4.031369826407172e-05,0.03912229835987091,-0.09589800238609314,5.609299842035398e-05,t17_f5_c3,ZTF20acqvgav
2459177.0550116,2,1422555012715,20.152700424194336,/ztf/archive/sci/2020/1123/555012/ztf_20201123555012_000755_zr_c07_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1.422555012715015e+18,t,4.0,1422,27,755,1607.2900390625,1496.7900390625,184.8227059,46.3724644,19.04599952697754,0.09824799746274948,1.7136600017547607,19.064899444580078,0.12449999898672104,13.221400260925293,22.37299919128418,0.19300000369548798,1.1330000162124634,0.0689999982714653,-0.19970600306987762,0.018918000161647797,2.7300000190734863,0.984000027179718,1465.2099609375,1.0877799987792969,1.0616199970245361,0.8610000014305115,0.781000018119812,0.31538501381874084,0.2860809862613678,1.102429986000061,3.0,0.0,0.8899999856948853,1.0,19.050399780273438,0.15719999372959137,184.8189828,46.3751535,20.0376,26.30299949645996,1.7074900824809447e-05,0.025473900139331818,0.10341200232505798,2.30606001423439e-05,t17_f5_c3,ZTF20acqvgav
2459179.9914931,1,1425491492715,20.470300674438477,/ztf/archive/sci/2020/1126/491493/ztf_20201126491493_000755_zg_c07_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1425,27,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.285999298095703,3.877609924529679e-05,0.03639620169997215,-0.09204310178756714,5.366609912016429e-05,t17_f5_c3,ZTF20acqvgav
2459182.032338,1,1427532332715,20.227800369262695,/ztf/archive/sci/2020/1128/532292/ztf_20201128532292_000755_zg_c07_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1.427532332715015e+18,t,3.0,1427,27,755,1587.8299560546875,1524.43994140625,184.8226409,46.3724424,18.93090057373047,0.09263599663972855,2.2578001022338867,18.86440086364746,0.09809999912977219,12.880000114440918,22.474000930786133,0.22300000488758087,1.274999976158142,-0.1509999930858612,-0.2748590111732483,-0.06651099771261215,3.0399999618530273,0.9829999804496765,1484.6700439453125,1.363420009613037,0.9454460144042969,0.906000018119812,0.8389999866485596,0.2980259954929352,0.27598699927330017,1.079859972000122,0.0,0.0,0.8971430063247681,1.0,18.763399124145508,0.11400000005960464,184.819254,46.3752114,24.2935,26.3218994140625,2.7017100364901125e-05,0.03186419978737831,-0.0775441974401474,3.80591991415713e-05,t17_f5_c3,ZTF20acqvgav
2459184.9916319,2,1430491632715,19.92020034790039,/ztf/archive/sci/2020/1201/491574/ztf_20201201491574_000755_zr_c07_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1.430491632715015e+18,t,3.0,1430,27,755,1602.9000244140625,1503.97998046875,184.8226252,46.3724725,19.01729965209961,0.11073199659585953,1.2824499607086182,19.227399826049805,0.23170000314712524,13.062899589538574,22.37299919128418,0.19300000369548798,1.1330000162124634,0.0689999982714653,0.27625998854637146,0.21013300120830536,1.649999976158142,0.9950000047683716,1469.5999755859375,0.6928430199623108,1.3434200286865234,0.5830000042915344,0.5299999713897705,0.3533329963684082,0.3212119936943054,1.100000023841858,9.0,0.0,0.802856981754303,0.9235479831695557,19.162200927734375,0.2802000045776367,184.8189828,46.3751535,16.5326,26.2893009185791,3.112179911113344e-05,0.034244000911712646,0.109655000269413,4.195750079816207e-05,t17_f5_c3,ZTF20acqvgav
2459187.0178472,1,1432517842715,18.957599639892578,/ztf/archive/sci/2020/1203/517847/ztf_20201203517847_000755_zg_c07_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1.432517842715015e+18,t,1.0,1432,27,755,1584.8699951171875,1550.1300048828125,184.8225361,46.3723715,19.041900634765625,0.2513880133628845,0.8013989925384521,19.20210075378418,0.2248000055551529,12.913700103759766,22.474000930786133,0.22300000488758087,1.274999976158142,-0.1509999930858612,0.3077169954776764,0.16021700203418732,7.050000190734863,0.6460000276565552,1487.6300048828125,-0.24448099732398987,0.7681810259819031,1.8680000305175781,1.5989999771118164,0.2649649977684021,0.22680899500846863,1.1682300567626953,4.0,0.0,0.2814289927482605,1.0,19.021400451660156,0.2443999946117401,184.819254,46.3752114,7.16412,26.295900344848633,0.00011169799836352468,0.04259290173649788,-0.05644270032644272,0.00021009000192862004,t17_f5_c3,ZTF20acqvgav
2459189.0177315,2,1434517732715,20.006200790405273,/ztf/archive/sci/2020/1205/517720/ztf_20201205517720_000755_zr_c07_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1.434517732715015e+18,t,2.0,1434,27,755,1609.6099853515625,1522.010009765625,184.8226333,46.3724855,19.161300659179688,0.1207370012998581,1.8857100009918213,19.08370018005371,0.1647000014781952,13.044500350952148,22.37299919128418,0.19300000369548798,1.1330000162124634,0.0689999982714653,-0.1760219931602478,-0.07758700102567673,2.75,0.9819999933242798,1462.8900146484375,0.9225090146064758,0.9202219843864441,0.8320000171661377,0.7350000143051147,0.3025450110435486,0.2672730088233948,1.1319700479507446,2.0,0.0,0.8299999833106995,1.0,18.925500869750977,0.1826999932527542,184.8189828,46.3751535,16.2191,26.30430030822754,1.7145799574791454e-05,0.025621099397540092,0.1167839989066124,2.3086999135557562e-05,t17_f5_c3,ZTF20acqvgav
2459189.0301042,1,1434530102715,19.842599868774414,/ztf/archive/sci/2020/1205/530093/ztf_20201205530093_000755_zg_c07_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1.434530102715015e+18,t,3.0,1434,27,755,1591.43994140625,1515.6199951171875,184.8225569,46.3724816,19.260299682617188,0.135452002286911,2.004240036010742,19.157699584960938,0.1843000054359436,12.641500473022461,22.474000930786133,0.22300000488758087,1.274999976158142,-0.1509999930858612,-0.4357599914073944,-0.10262399911880493,3.009999990463257,0.9819999933242798,1481.06005859375,0.6848499774932861,0.9349510073661804,0.9039999842643738,0.8159999847412109,0.3003320097923279,0.27109599113464355,1.1078399419784546,1.0,0.0,0.8600000143051147,1.0,18.994400024414062,0.20350000262260437,184.819254,46.3752114,13.8181,26.340299606323242,4.077179983141832e-05,0.03890790045261383,-0.09144269675016403,6.141429912531748e-05,t17_f5_c3,ZTF20acqvgav
2459190.9667593,2,1436466752715,16.196500778198242,/ztf/archive/sci/2020/1207/466667/ztf_20201207466667_000755_zr_c07_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1436,27,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9468994140625,0.02713019959628582,0.16290299594402313,0.020538300275802612,0.03354239836335182,t17_f5_c3,ZTF20acqvgav
