jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2460205.9868866,3,2451486883915,19.854700088500977,/ztf/archive/sci/2023/0918/486887/ztf_20230918486887_000614_zi_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2.45148688391501e+18,f,6.0,2451,39,614,1407.2099609375,2393.2099609375,107.8137375,26.4369087,20.058300018310547,0.28289100527763367,1.0385899543762207,19.723600387573242,0.3781000077724457,2.72694993019104,17.76099967956543,0.0820000022649765,6.0329999923706055,0.382999986410141,-0.5112680196762085,-0.3346630036830902,1.1747100353240967,0.8339999914169312,687.2860107421875,0.1311109960079193,2.0,0.4869999885559082,0.421999990940094,0.4145689904689789,0.3592360019683838,1.1540299654006958,8.0,0.0,0.7142860293388367,0.8280429840087891,19.349199295043945,0.3407000005245209,107.8131465,26.4374632,5.76972,25.757299423217773,8.722309985387255e-07,0.01840830035507679,0.19009900093078613,1.2917000276502222e-05,t17_f5_c3,ZTF20acrqeje
2460208.9523264,3,2454452323915,19.4822998046875,/ztf/archive/sci/2023/0921/452326/ztf_20230921452326_000614_zi_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2.45445232391501e+18,f,5.0,2454,39,614,1387.18994140625,2403.820068359375,107.8135644,26.4368745,19.699499130249023,0.21956700086593628,0.756371021270752,19.850500106811523,0.5188000202178955,2.4829800128936768,17.76099967956543,0.0820000022649765,6.0329999923706055,0.382999986410141,-0.3244189918041229,0.15096600353717804,1.3568300008773804,0.8119999766349792,676.677978515625,-0.368245005607605,2.0,0.8119999766349792,0.7490000128746033,0.5984529852867126,0.5520219802856445,1.0841100215911865,3.0,5.0,0.17142899334430695,0.9801220297813416,20.096099853515625,0.8263000249862671,107.8131465,26.4374632,5.25855,25.720500946044922,1.325249968431308e-06,0.02270060032606125,0.19093100726604462,1.9659999452414922e-05,t17_f5_c3,ZTF20acrqeje
2460209.9893866,2,2455489383915,16.537799835205078,/ztf/archive/sci/2023/0922/489387/ztf_20230922489387_000614_zr_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2455,39,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.09910011291504,0.00012385699665173888,0.05969630181789398,0.0776538997888565,0.0003488869988359511,t17_f5_c3,ZTF20acrqeje
2460212.9341551,1,2458434153915,20.50629997253418,/ztf/archive/sci/2023/0925/434144/ztf_20230925434144_000614_zg_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2458,39,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.214000701904297,2.224850049969973e-06,0.02263670042157173,-0.04537560045719147,6.064919944037683e-06,t17_f5_c3,ZTF20acrqeje
2460212.9554167,2,2458455413915,20.43950080871582,/ztf/archive/sci/2023/0925/455405/ztf_20230925455405_000614_zr_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2458,39,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.314800262451172,1.3540700365410885e-06,0.017453299835324287,0.08643119782209396,3.7156000871618744e-06,t17_f5_c3,ZTF20acrqeje
2460212.9940509,3,2458494053915,19.97599983215332,/ztf/archive/sci/2023/0925/493854/ztf_20230925493854_000614_zi_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,2.45849405391501e+18,f,2.0,2458,39,614,1405.25,2404.360107421875,107.8136583,26.4368034,19.869300842285156,0.2303529977798462,1.467210054397583,19.585399627685547,0.31859999895095825,2.8504199981689453,17.76099967956543,0.0820000022649765,6.0329999923706055,0.382999986410141,-0.734503984451294,-0.2839069962501526,1.1054699420928955,0.890999972820282,676.1400146484375,0.3906239867210388,2.0,0.8840000033378601,0.6830000281333923,0.7996600270271301,0.6178370118141174,1.2942899465560913,5.0,0.0,0.6399999856948853,0.9180949926376343,19.225500106811523,0.29030001163482666,107.8131465,26.4374632,7.10885,25.762300491333008,1.0925599553957e-06,0.02044989913702011,0.18852800130844116,1.6298099581035785e-05,t17_f5_c3,ZTF20acrqeje
2460215.912662,2,2461412661115,19.600000381469727,/ztf/archive/sci/2023/0928/412650/ztf_20230928412650_001659_zr_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2461,11,1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.21310043334961,2.0282800505810883e-06,0.022402700036764145,0.07479909807443619,5.650680122926133e-06,t17_f5_c3,ZTF20acrqeje
2460215.9511806,2,2461451183915,19.81279945373535,/ztf/archive/sci/2023/0928/451181/ztf_20230928451181_000614_zr_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2461,39,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.31529998779297,1.8387299860478379e-06,0.020379099994897842,0.08912859857082367,5.031480213801842e-06,t17_f5_c3,ZTF20acrqeje
2460217.9109606,2,2463410961115,19.108999252319336,/ztf/archive/sci/2023/0930/410961/ztf_20230930410961_001659_zr_c03_o_q4_scimrefdiffimg.fits.fz,Kulkarni,2,,,,2463,11,1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.210100173950195,3.958520210289862e-06,0.031342100352048874,0.06743709743022919,1.084060022549238e-05,t17_f5_c3,ZTF20acrqeje
2460220.9783218,1,2466478323915,19.469900131225586,/ztf/archive/sci/2023/1003/478322/ztf_20231003478322_000614_zg_c10_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,2466,39,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.28730010986328,6.038470019120723e-06,0.03633959963917732,-0.04406939819455147,1.6826099454192445e-05,t17_f5_c3,ZTF20acrqeje
