jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,ssdistnr,ssmagnr,ssnamenr,obj_id
2459173.9362037,2,1419436200215,17.887699127197266,/ztf/archive/sci/2020/1120/436192/ztf_20201120436192_000568_zr_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1419,2,568,23.962900161743164,8.296949818031862e-05,0.062157098203897476,0.09966029971837997,0.00014325599477160722,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actveqm
2459173.9637384,1,1419463730215,20.449499130249023,/ztf/archive/sci/2020/1120/463738/ztf_20201120463738_000568_zg_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1419,2,568,26.049800872802734,1.2077899555151816e-05,0.030450500547885895,-0.07294409722089767,1.7782700524549e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actveqm
2459174.0067014,2,1419506706015,19.98870086669922,/ztf/archive/sci/2020/1120/506701/ztf_20201120506701_000518_zr_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1419,60,518,25.86359977722168,9.035359653353225e-06,0.02580380067229271,0.09247040003538132,1.352199979010038e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actveqm
2459175.9847106,2,1421484716015,18.538700103759766,/ztf/archive/sci/2020/1122/484664/ztf_20201122484664_000518_zr_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1421,60,518,24.670499801635742,3.296229988336563e-05,0.045378800481557846,0.09936030209064484,5.124000017531216e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actveqm
2459175.9851736,2,1421485170215,18.724000930786133,/ztf/archive/sci/2020/1122/485174/ztf_20201122485174_000568_zr_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1421,2,568,24.784500122070312,5.1629900553962216e-05,0.05974910035729408,0.1043040007352829,7.913519948488101e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actveqm
2459176.0248611,1,1421524866015,19.07200050354004,/ztf/archive/sci/2020/1122/524861/ztf_20201122524861_000518_zg_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1421,60,518,24.902299880981445,3.277949872426689e-05,0.03948109969496727,-0.05860310047864914,7.012199785094708e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actveqm
2459176.9905671,1,1422490566015,20.691499710083008,/ztf/archive/sci/2020/1123/490567/ztf_20201123490567_000518_zg_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1422,60,518,26.270599365234375,1.1362800250935834e-05,0.029076499864459038,-0.060154400765895844,1.6993699318845756e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actveqm
2459177.0277083,2,1422527706015,20.363500595092773,/ztf/archive/sci/2020/1123/527708/ztf_20201123527708_000518_zr_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1422,60,518,26.159700393676758,6.717440101056127e-06,0.022324200719594955,0.09571609646081924,1.0051399840449449e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actveqm
2459178.0081134,1,1423508110215,20.42959976196289,/ztf/archive/sci/2020/1124/508102/ztf_20201124508102_000568_zg_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1423,2,568,26.32979965209961,1.7475400454713963e-05,0.03429219871759415,-0.10174000263214111,2.6584100851323456e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20actveqm
2459179.9617014,1,1425461706015,20.413000106811523,/ztf/archive/sci/2020/1126/461701/ztf_20201126461701_000518_zg_c16_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1425,60,518,26.298099517822266,1.577240072947461e-05,0.033831700682640076,-0.07261479645967484,2.414479968138039e-05,t17_f5_c3,1.425461706015015e+18,t,5.0,2590.5,473.69000244140625,133.1262418,15.3436424,19.98110008239746,0.22579699754714966,1.7086199522018433,19.923599243164062,0.18479999899864197,1.2689499855041504,22.250999450683594,0.2540000081062317,1.0399999618530273,-0.35199999809265137,-0.22203600406646729,-0.05751100182533264,5.96999979019165,0.8730000257492065,473.69000244140625,0.48936501145362854,0.5688300132751465,1.1720000505447388,0.9959999918937683,0.1963150054216385,0.1668339967727661,1.1767100095748901,2.0,0.0,0.4042859971523285,1.0,20.29669952392578,0.33250001072883606,133.1258923,15.3437601,10.7568,,,,ZTF20actveqm
