jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,obj_id
2459190.6535417,2,1436153542415,20.0447998046875,/ztf/archive/sci/2020/1207/153530/ztf_20201207153530_000553_zr_c07_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1.436153542415015e+18,t,30.0,1436,24,553,617.2449951171875,2223.60009765625,22.9120222,18.2450395,18.10540008544922,0.05005799978971481,4.283569812774658,18.03820037841797,0.08089999854564667,0.4154529869556427,16.31800079345703,0.07000000029802322,6.005000114440918,0.3619999885559082,0.210876002907753,-0.06722799688577652,2.0299999713897705,0.9980000257492065,617.2449951171875,2.006580114364624,1.1373200416564941,0.6850000023841858,0.6570000052452087,0.3374379873275757,0.3236449956893921,1.0426199436187744,1.0,0.0,0.9414290189743042,1.0,18.138500213623047,0.10750000178813934,22.9119793,18.24493,10.7787,26.043399810791016,1.3842400221619755e-05,0.02950179949402809,0.12023299932479858,1.9755500034079887e-05,t17_f5_c3,ZTF20acumcrz
2459193.7057292,1,1439205722415,20.454099655151367,/ztf/archive/sci/2020/1210/205625/ztf_20201210205625_000553_zg_c07_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1.439205722415015e+18,t,16.0,1439,24,553,618.9500122070312,2232.1298828125,22.9120308,18.2450252,18.19529914855957,0.05321099981665611,2.015360116958618,18.341899871826172,0.06750000268220901,0.3339720070362091,17.09600067138672,0.08799999952316284,6.6020002365112305,0.7110000252723694,0.14760899543762207,0.14662699401378632,2.0799999237060547,0.9819999933242798,618.9500122070312,2.1121599674224854,1.219040036201477,0.6809999942779541,0.6520000100135803,0.3274039924144745,0.3134619891643524,1.0444799661636353,3.0,0.0,0.9485710263252258,0.9807360172271729,18.359800338745117,0.08290000259876251,22.9119483,18.2449734,14.2745,26.216299057006836,1.4707899936183821e-05,0.03024500049650669,-0.09269460290670395,2.1249699784675613e-05,t17_f5_c3,ZTF20acumcrz
2459193.7190625,2,1439219062415,20.17289924621582,/ztf/archive/sci/2020/1210/219062/ztf_20201210219062_000553_zr_c07_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1.439219062415015e+18,t,20.0,1439,24,553,627.8690185546875,2233.93994140625,22.9120462,18.2450823,18.094600677490234,0.04669199883937836,3.104680061340332,18.139699935913086,0.07970000058412552,0.5866420269012451,16.31800079345703,0.07000000029802322,6.005000114440918,0.3619999885559082,-0.4195359945297241,0.04506799951195717,2.5299999713897705,0.9990000128746033,627.8690185546875,2.0331900119781494,0.939191997051239,0.6809999942779541,0.6669999957084656,0.26916998624801636,0.2636359930038452,1.020990014076233,4.0,0.0,0.9200000166893005,0.9908570051193237,18.108999252319336,0.09309999644756317,22.9119793,18.24493,7.42153,26.129600524902344,9.835700438998174e-06,0.024692099541425705,0.11707500368356705,1.404249996994622e-05,t17_f5_c3,ZTF20acumcrz
2459195.681713,1,1441181712415,20.632400512695312,/ztf/archive/sci/2020/1212/181713/ztf_20201212181713_000553_zg_c07_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1.441181712415015e+18,t,22.0,1441,24,553,600.3270263671875,2242.77001953125,22.912027,18.2450003,18.112499237060547,0.056777000427246094,5.0859198570251465,18.097900390625,0.04560000076889992,0.2825410068035126,17.09600067138672,0.08799999952316284,6.6020002365112305,0.7110000252723694,-0.10311900079250336,-0.014596999622881413,2.4700000286102295,0.9950000047683716,600.3270263671875,2.5345098972320557,1.1182600259780884,0.8690000176429749,0.8339999914169312,0.35182198882102966,0.3376519978046417,1.0419700145721436,0.0,0.0,0.9399999976158142,1.0,18.091899871826172,0.05389999970793724,22.9119483,18.2449734,26.6339,26.355499267578125,1.2396900274325162e-05,0.02808240056037903,-0.06638599932193756,1.7906200810102746e-05,t17_f5_c3,ZTF20acumcrz
2459195.7137153,2,1441213712415,20.46579933166504,/ztf/archive/sci/2020/1212/213646/ztf_20201212213646_000553_zr_c07_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1.441213712415015e+18,t,11.0,1441,24,553,619.2969970703125,2242.7099609375,22.912035,18.2450558,18.10580062866211,0.06437300145626068,3.9223599433898926,18.01059913635254,0.05559999868273735,0.4806550145149231,16.31800079345703,0.07000000029802322,6.005000114440918,0.3619999885559082,-0.2440129965543747,-0.09517200291156769,3.069999933242798,0.9700000286102295,619.2969970703125,2.4551799297332764,0.8475499749183655,0.8069999814033508,0.7329999804496765,0.26286599040031433,0.2387620061635971,1.1009600162506104,1.0,0.0,0.9071429967880249,1.0,17.922800064086914,0.06019999831914902,22.9119793,18.24493,9.78073,26.3518009185791,1.0817800102813635e-05,0.02598630078136921,0.12364800274372101,1.5429099221364595e-05,t17_f5_c3,ZTF20acumcrz
2459197.7259722,2,1443225972415,18.696800231933594,/ztf/archive/sci/2020/1214/225972/ztf_20201214225972_000553_zr_c07_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1443,24,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.410999298095703,3.7794499803567305e-05,0.04614369943737984,0.12825100123882294,5.5709100706735626e-05,t17_f5_c3,ZTF20acumcrz
2459199.7048727,1,1445204872415,20.370800018310547,/ztf/archive/sci/2020/1216/204850/ztf_20201216204850_000553_zg_c07_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1.445204872415015e+18,t,16.0,1445,24,553,591.7760009765625,2251.3701171875,22.9120281,18.2450306,18.263599395751953,0.0654119998216629,2.5219099521636963,18.368799209594727,0.062300000339746475,0.3377839922904968,17.09600067138672,0.08799999952316284,6.6020002365112305,0.7110000252723694,-0.23634199798107147,0.10520300269126892,3.0999999046325684,0.9829999804496765,591.7760009765625,2.0020198822021484,1.0020899772644043,0.9039999842643738,0.8920000195503235,0.29161301255226135,0.2877419888973236,1.013450026512146,1.0,0.0,0.9300000071525574,1.0,18.38520050048828,0.07609999924898148,22.9119483,18.2449734,22.5562,26.358600616455078,1.71408992173383e-05,0.03280000016093254,-0.06724149733781815,2.496779961802531e-05,t17_f5_c3,ZTF20acumcrz
2459199.7191204,2,1445219122415,20.102500915527344,/ztf/archive/sci/2020/1216/219120/ztf_20201216219120_000553_zr_c07_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1.445219122415015e+18,t,16.0,1445,24,553,607.1339721679688,2249.93994140625,22.9120719,18.2450032,18.098400115966797,0.049768999218940735,1.269629955291748,18.021699905395508,0.05999999865889549,0.4067780077457428,16.31800079345703,0.07000000029802322,6.005000114440918,0.3619999885559082,-0.09893199801445007,-0.07673300057649612,2.880000114440918,0.9589999914169312,607.1339721679688,2.0808300971984863,1.103760004043579,1.0230000019073486,0.984000027179718,0.35520800948143005,0.3416669964790344,1.0396300554275513,0.0,0.0,0.9142860174179077,1.0,18.010299682617188,0.0706000030040741,22.9119793,18.24493,14.4009,26.34939956665039,1.1792099940066691e-05,0.02722880057990551,0.12928299605846405,1.6816000425023958e-05,t17_f5_c3,ZTF20acumcrz
2459202.6959722,1,1448195972415,20.35919952392578,/ztf/archive/sci/2020/1219/195972/ztf_20201219195972_000553_zg_c07_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1.448195972415015e+18,t,20.0,1448,24,553,600.6339721679688,2239.39990234375,22.9120425,18.2450151,18.453399658203125,0.07631199806928635,3.2792201042175293,18.411500930786133,0.0658000037074089,0.35077300667762756,17.09600067138672,0.08799999952316284,6.6020002365112305,0.7110000252723694,-0.3981879949569702,-0.04190399870276451,2.7799999713897705,0.984000027179718,600.6339721679688,1.9476699829101562,1.0967700481414795,0.9290000200271606,0.9129999876022339,0.3341729938983917,0.32841700315475464,1.0175199508666992,1.0,0.0,0.9385709762573242,1.0,18.406099319458008,0.07909999787807465,22.9119483,18.2449734,20.5266,26.36440086364746,1.709649950498715e-05,0.03286049887537956,-0.0837417021393776,2.4905899408622645e-05,t17_f5_c3,ZTF20acumcrz
2459202.7685764,2,1448268572415,20.037799835205078,/ztf/archive/sci/2020/1219/268576/ztf_20201219268576_000553_zr_c07_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1.448268572415015e+18,t,14.0,1448,24,553,579.0700073242188,2221.830078125,22.9120865,18.2450642,18.23579978942871,0.06061200052499771,1.7008700370788574,18.37689971923828,0.08860000222921371,0.5991700291633606,16.31800079345703,0.07000000029802322,6.005000114440918,0.3619999885559082,-0.44075798988342285,0.14113900065422058,3.619999885559082,0.9649999737739563,579.0700073242188,1.6609200239181519,0.837680995464325,0.8880000114440918,0.8389999866485596,0.24530400335788727,0.23176799714565277,1.05840003490448,0.0,0.0,0.8957139849662781,1.0,18.424699783325195,0.1111999973654747,22.9119793,18.24493,14.1902,26.327800750732422,1.2827999853470828e-05,0.028485799208283424,0.12771399319171906,1.812049958971329e-05,t17_f5_c3,ZTF20acumcrz
