jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,ssdistnr,ssmagnr,ssnamenr,obj_id
2459623.9006597,2,1869400656215,19.738800048828125,/ztf/archive/sci/2022/0213/400648/ztf_20220213400648_000426_zr_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1.869400656215015e+18,t,2.0,1869,62,426,2004.75,1518.6300048828125,210.2134563,-0.1855535,19.35700035095215,0.17692400515079498,1.2556500434875488,19.393600463867188,0.26989999413490295,6.36830997467041,18.150999069213867,0.07599999755620956,6.301000118255615,0.43700000643730164,0.0013589999871328473,0.03664400056004524,2.0299999713897705,0.9430000185966492,1067.75,0.3451710045337677,1.317139983177185,0.9580000042915344,0.7710000276565552,0.47192099690437317,0.37980300188064575,1.2425400018692017,4.0,0.0,0.798570990562439,0.9425079822540283,19.485599517822266,0.3765000104904175,210.2143122,-0.1871272,10.8067,26.13599967956543,7.582059879496228e-06,0.028331000357866287,0.09925589710474014,1.4790800378250424e-05,t17_f5_c3,,,,ZTF20acusylb
2459623.9836343,1,1869483636215,19.876699447631836,/ztf/archive/sci/2022/0213/483623/ztf_20220213483623_000426_zg_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1.869483636215015e+18,t,7.0,1869,62,426,2019.02001953125,1538.9300537109375,210.2133602,-0.1856642,20.160400390625,0.2413800060749054,0.8746799826622009,20.62929916381836,0.724399983882904,5.320879936218262,19.844999313354492,0.09700000286102295,3.1480000019073486,0.28600001335144043,0.2529680132865906,0.4689199924468994,3.5999999046325684,0.8370000123977661,1053.47998046875,-0.7525870203971863,0.7550870180130005,0.7310000061988831,0.5989999771118164,0.2030559927225113,0.16638900339603424,1.2203700542449951,12.0,0.0,0.5585709810256958,0.4801639914512634,20.365999221801758,0.729200005531311,210.2137,-0.1871188,7.28978,26.2283992767334,1.1369300409569405e-05,0.03350440040230751,-0.050895798951387405,2.4417700842604972e-05,t17_f5_c3,,,,ZTF20acusylb
2459625.8839005,1,1871383906215,19.162500381469727,/ztf/archive/sci/2022/0215/383889/ztf_20220215383889_000426_zg_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1871,62,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.17970085144043,3.358180038048886e-05,0.04609860107302666,-0.03685450181365013,8.785950194578618e-05,t17_f5_c3,,,,ZTF20acusylb
2459625.9402662,2,1871440266215,19.631099700927734,/ztf/archive/sci/2022/0215/440255/ztf_20220215440255_000426_zr_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1.871440266215015e+18,t,6.0,1871,62,426,2019.3399658203125,1524.68994140625,210.2135856,-0.1855848,19.442399978637695,0.21453599631786346,2.0350699424743652,19.05419921875,0.2134999930858612,6.062620162963867,18.150999069213867,0.07599999755620956,6.301000118255615,0.43700000643730164,0.2844949960708618,-0.3882310092449188,3.240000009536743,0.9760000109672546,1053.1600341796875,0.5768529772758484,0.8404179811477661,1.3420000076293945,1.1430000066757202,0.41419801115989685,0.35277798771858215,1.1741000413894653,1.0,0.0,0.4742859899997711,1.0,18.844200134277344,0.2257000058889389,210.2143122,-0.1871272,8.87238,26.163400650024414,8.933930075727403e-06,0.030681699514389038,0.10218700021505356,1.7320899132755585e-05,t17_f5_c3,,,,ZTF20acusylb
2459628.8786343,1,1874378636215,18.975200653076172,/ztf/archive/sci/2022/0218/378623/ztf_20220218378623_000426_zg_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1874,62,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.172399520874023,4.4716598495142534e-05,0.04625890031456947,-0.0258604995906353,0.00011941500270040706,t17_f5_c3,,,,ZTF20acusylb
2459628.9421412,2,1874442146215,18.88360023498535,/ztf/archive/sci/2022/0218/442130/ztf_20220218442130_000426_zr_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1874,62,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.082500457763672,2.287600000272505e-05,0.04370800033211708,0.09572610259056091,4.394750067149289e-05,t17_f5_c3,,,,ZTF20acusylb
2459637.879213,1,1883379216215,20.01919937133789,/ztf/archive/sci/2022/0227/379201/ztf_20220227379201_000426_zg_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1883,62,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.184900283813477,1.4754799849470146e-05,0.03826110064983368,-0.029172100126743317,3.180310159223154e-05,t17_f5_c3,,,,ZTF20acusylb
2459707.7741319,2,1953274136215,20.041200637817383,/ztf/archive/sci/2022/0508/274120/ztf_20220508274120_000426_zr_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1.953274136215015e+18,t,9.0,1953,62,426,1998.5799560546875,1495.47998046875,210.2135291,-0.1855718,20.091299057006836,0.3298889994621277,1.2646100521087646,20.052499771118164,0.31839999556541443,6.18179988861084,18.150999069213867,0.07599999755620956,6.301000118255615,0.43700000643730164,-0.06426099687814713,-0.038832999765872955,1.6296299695968628,0.6000000238418579,1073.9200439453125,-0.011297999881207943,2.0,0.7889999747276306,0.7300000190734863,0.484158992767334,0.447953999042511,1.0808199644088745,4.0,0.0,0.701429009437561,0.8112189769744873,20.12929916381836,0.43709999322891235,210.2143122,-0.1871272,5.94548,26.143299102783203,7.562930022686487e-06,0.0282990001142025,0.1000249981880188,1.4767500033485703e-05,t17_f5_c3,,,,ZTF20acusylb
2459707.8182407,2,1953318246215,19.97319984436035,/ztf/archive/sci/2022/0508/318229/ztf_20220508318229_000426_zr_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1.953318246215015e+18,t,9.0,1953,62,426,2005.010009765625,1499.1700439453125,210.2134163,-0.1855785,19.86319923400879,0.24294400215148926,1.3890999555587769,19.778200149536133,0.2395000010728836,6.361050128936768,18.150999069213867,0.07599999755620956,6.301000118255615,0.43700000643730164,-0.336122989654541,-0.08496599644422531,3.25,0.49900001287460327,1067.489990234375,0.19497500360012054,1.103350043296814,1.2960000038146973,1.0260000228881836,0.39876899123191833,0.3156920075416565,1.263159990310669,4.0,0.0,0.5242859721183777,0.9644619822502136,19.73979949951172,0.2969000041484833,210.2143122,-0.1871272,6.71976,26.136199951171875,8.285230251203757e-06,0.029546499252319336,0.10161100327968597,1.6138099454110488e-05,t17_f5_c3,,,,ZTF20acusylb
2459709.7863194,2,1955286316215,19.846500396728516,/ztf/archive/sci/2022/0510/286319/ztf_20220510286319_000426_zr_c16_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1.955286316215015e+18,t,9.0,1955,62,426,1989.8800048828125,1501.0699462890625,210.213478,-0.1854952,20.188600540161133,0.2897700071334839,0.8062289953231812,19.79840087890625,0.35910001397132874,6.507810115814209,18.150999069213867,0.07599999755620956,6.301000118255615,0.43700000643730164,-0.44119900465011597,-0.3902220129966736,1.3238500356674194,0.8240000009536743,1082.6199951171875,0.04809999838471413,2.0,0.800000011920929,0.6890000104904175,0.604299008846283,0.5204529762268066,1.1611000299453735,6.0,0.0,0.7099999785423279,0.9593070149421692,19.560699462890625,0.3709999918937683,210.2143122,-0.1871272,5.00754,26.08060073852539,8.781289579928853e-06,0.03023179993033409,0.10362999886274338,1.7189999198308215e-05,t17_f5_c3,,,,ZTF20acusylb
