jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459173.9790972,1,1419479091515,20.40250015258789,/ztf/archive/sci/2020/1120/479086/ztf_20201120479086_000571_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1419,15,571,26.26849937438965,1.9356399207026698e-05,0.032210398465394974,-0.097776398062706,2.828819924616255e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acwcfvx
2459174.0104745,2,1419510471515,20.014799118041992,/ztf/archive/sci/2020/1120/510474/ztf_20201120510474_000571_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1419,15,571,25.83650016784668,1.6595500710536726e-05,0.02982809953391552,0.10488999634981155,2.391019916103687e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acwcfvx
2459176.019919,2,1421519911515,18.34589958190918,/ztf/archive/sci/2020/1122/519919/ztf_20201122519919_000571_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1421,15,571,24.48200035095215,6.168300024000928e-05,0.05004400014877319,0.09298600256443024,9.61183977779001e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acwcfvx
2459176.0272801,1,1421527281515,18.787500381469727,/ztf/archive/sci/2020/1122/527280/ztf_20201122527280_000571_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1421,15,571,24.706199645996094,8.16726969787851e-05,0.05073409900069237,-0.05058540031313896,0.0001819930039346218,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acwcfvx
2459178.0296875,1,1423529681515,20.68400001525879,/ztf/archive/sci/2020/1124/529653/ztf_20201124529653_000571_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1423,15,571,26.36240005493164,2.0296600268920884e-05,0.03311280161142349,-0.09201759845018387,2.968010085169226e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acwcfvx
2459180.9842593,1,1426484251515,19.618900299072266,/ztf/archive/sci/2020/1127/484236/ztf_20201127484236_000571_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1426,15,571,26.320100784301758,4.616980004357174e-05,0.041005101054906845,-0.04836999997496605,9.892990055959672e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acwcfvx
2459181.0259028,2,1426525901515,19.541200637817383,/ztf/archive/sci/2020/1127/525856/ztf_20201127525856_000571_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1426,15,571,26.207000732421875,3.792899951804429e-05,0.044344499707221985,0.128944993019104,5.537929973797873e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acwcfvx
2459182.9862731,2,1428486271515,19.596399307250977,/ztf/archive/sci/2020/1129/486250/ztf_20201129486250_000571_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1428,15,571,26.227100372314453,2.276399936818052e-05,0.03506489843130112,0.1007009968161583,3.2881598599487916e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acwcfvx
2459183.0427199,1,1428542711515,19.864200592041016,/ztf/archive/sci/2020/1129/542674/ztf_20201129542674_000571_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1428,15,571,26.36079978942871,2.3316200895351358e-05,0.03391459956765175,-0.07181350141763687,3.913780165021308e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acwcfvx
2459185.9727199,2,1431472711515,19.86210060119629,/ztf/archive/sci/2020/1202/472720/ztf_20201202472720_000571_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1431,15,571,26.227699279785156,1.5844600056880154e-05,0.02909030020236969,0.10095299780368805,2.2922700736671686e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acwcfvx
2459185.9895486,1,1431489541515,19.755800247192383,/ztf/archive/sci/2020/1202/489549/ztf_20201202489549_000571_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1431,15,571,26.340999603271484,1.9549599528545514e-05,0.03092459961771965,-0.049786899238824844,3.2949399610515684e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acwcfvx
2459187.9836921,2,1433483691515,19.236600875854492,/ztf/archive/sci/2020/1204/483681/ztf_20201204483681_000571_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1433,15,571,26.223499298095703,3.1078900065040216e-05,0.04003119841217995,0.11404000222682953,4.603030174621381e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acwcfvx
2459188.0203125,1,1433520311515,19.41309928894043,/ztf/archive/sci/2020/1204/520312/ztf_20201204520312_000571_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1433,15,571,26.358800888061523,3.817949982476421e-05,0.03768020123243332,-0.05181559920310974,8.003669790923595e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acwcfvx
2459193.0403009,1,1438540301515,19.52120018005371,/ztf/archive/sci/2020/1209/540301/ztf_20201209540301_000571_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1438,15,571,25.83009910583496,4.555769919534214e-05,0.046199001371860504,-0.0740521028637886,8.443350088782609e-05,t17_f5_c3,1.438540301515015e+18,t,8.0,2872.35009765625,2940.2099609375,149.3276327,15.2364319,19.10409927368164,0.1548749953508377,1.274340033531189,18.87350082397461,0.18279999494552612,5.2578301429748535,20.131999969482422,0.07500000298023224,2.6760001182556152,0.2460000067949295,0.9757689833641052,-0.23061500489711761,3.119999885559082,0.9739999771118164,140.29100036621094,0.6476989984512329,0.9530500173568726,0.9300000071525574,0.9039999842643738,0.2980769872665405,0.28974398970603943,1.0287599563598633,3.0,0.0,0.7300000190734863,1.0,18.86989974975586,0.23330000042915344,149.3275644,15.2379094,12.487,ZTF20acwcfvx
2459194.9447569,1,1440444751515,20.524499893188477,/ztf/archive/sci/2020/1211/444757/ztf_20201211444757_000571_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1440,15,571,26.303600311279297,1.7906699213199317e-05,0.031094299629330635,-0.07904589921236038,2.614779987197835e-05,t17_f5_c3,1.440444751515015e+18,t,19.0,2851.929931640625,2951.300048828125,149.3276328,15.2364565,18.70359992980957,0.08497700095176697,2.149049997329712,18.66939926147461,0.06159999966621399,5.17041015625,20.131999969482422,0.07500000298023224,2.6760001182556152,0.2460000067949295,-0.23386900126934052,-0.03419400006532669,3.0299999713897705,0.9779999852180481,129.2010040283203,1.8551199436187744,1.0299299955368042,0.9769999980926514,0.9300000071525574,0.3224419951438904,0.3069309890270233,1.0505399703979492,1.0,0.0,0.8914290070533752,1.0,18.649099349975586,0.0763000026345253,149.3275644,15.2379094,28.1827,ZTF20acwcfvx
2459198.9778009,2,1444477801515,20.265399932861328,/ztf/archive/sci/2020/1215/477789/ztf_20201215477789_000571_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,1444,15,571,26.221200942993164,1.4029599697096273e-05,0.027565600350499153,0.10512600094079971,2.051880073850043e-05,t17_f5_c3,1.444477801515015e+18,t,20.0,2831.2099609375,2940.389892578125,149.3276441,15.2364618,18.640199661254883,0.07816500216722488,4.153779983520508,18.471099853515625,0.07370000332593918,0.7378180027008057,21.55900001525879,0.15000000596046448,1.8739999532699585,0.23499999940395355,-0.7894039750099182,-0.1691109985113144,3.1500000953674316,0.9879999756813049,140.11399841308594,1.7943099737167358,0.8443160057067871,0.9129999876022339,0.8450000286102295,0.2898409962654114,0.26825401186943054,1.0804699659347534,1.0,0.0,0.8700000047683716,1.0,18.390600204467773,0.08709999918937683,149.3278591,15.2364564,26.4772,ZTF20acwcfvx
