jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459170.9775231,1,1416477525015,20.502500534057617,/ztf/archive/sci/2020/1117/477512/ztf_20201117477512_000467_zg_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1416,50,467,26.35110092163086,1.8867600374505855e-05,0.037704501301050186,-0.07426340132951736,2.7844400392496027e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acxycfh
2459171.0266551,2,1416526655015,20.297500610351562,/ztf/archive/sci/2020/1117/526655/ztf_20201117526655_000467_zr_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1416,50,467,26.308900833129883,6.7220598793937825e-06,0.02237970009446144,0.0991835966706276,9.871680049400311e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acxycfh
2459174.0081019,2,1419508105015,19.844100952148438,/ztf/archive/sci/2020/1120/508102/ztf_20201120508102_000467_zr_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1419,50,467,25.932300567626953,1.0694599950511474e-05,0.028251299634575844,0.10140900313854218,1.5685200196458027e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acxycfh
2459175.0264468,1,1420526445015,19.93709945678711,/ztf/archive/sci/2020/1121/526447/ztf_20201121526447_000467_zg_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1420,50,467,25.94029998779297,2.7835600121761672e-05,0.04327709972858429,-0.028398100286722183,4.413309943629429e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acxycfh
2459175.0505324,2,1420550535015,19.325000762939453,/ztf/archive/sci/2020/1121/550532/ztf_20201121550532_000467_zr_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1420,50,467,25.6924991607666,1.752339994709473e-05,0.03589849919080734,0.1073329970240593,2.561979999882169e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acxycfh
2459176.9910301,1,1422491035015,20.61370086669922,/ztf/archive/sci/2020/1123/491030/ztf_20201123491030_000467_zg_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1422,50,467,26.332300186157227,2.4295199182233773e-05,0.04296740144491196,-0.075136199593544,3.589810148696415e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acxycfh
2459177.0410069,2,1422541005015,20.42340087890625,/ztf/archive/sci/2020/1123/540995/ztf_20201123540995_000467_zr_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1422,50,467,26.288400650024414,7.2948801062011626e-06,0.023340800777077675,0.09585089981555939,1.0810300409502815e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acxycfh
2459179.9823611,1,1425482365015,20.462600708007812,/ztf/archive/sci/2020/1126/482361/ztf_20201126482361_000467_zg_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1425,50,467,26.35650062561035,2.8337699404801242e-05,0.04551229998469353,-0.06894359737634659,4.2811199818970636e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acxycfh
2459181.9834606,2,1427483465015,19.748699188232422,/ztf/archive/sci/2020/1128/483461/ztf_20201128483461_000467_zr_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1427,50,467,26.306400299072266,1.1312999959045555e-05,0.028964899480342865,0.10604999959468842,1.6675399820087478e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acxycfh
2459182.0227778,1,1427522775015,20.02239990234375,/ztf/archive/sci/2020/1128/522778/ztf_20201128522778_000467_zg_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1427,50,467,26.389799118041992,1.7460099115851335e-05,0.035039499402046204,-0.029285600408911705,2.8337199182715267e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acxycfh
2459184.0040394,2,1429504035015,17.17289924621582,/ztf/archive/sci/2020/1130/504039/ztf_20201130504039_000467_zr_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1429,50,467,24.984500885009766,0.0001923340023495257,0.05475990101695061,0.0836063027381897,0.00034886598587036133,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acxycfh
2459185.9708565,2,1431470855015,19.865800857543945,/ztf/archive/sci/2020/1202/470856/ztf_20201202470856_000467_zr_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1431,50,467,26.309200286865234,1.2349300050118472e-05,0.03040909953415394,0.10085000097751617,1.8168799215345643e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acxycfh
2459186.0189583,1,1431518955015,19.736600875854492,/ztf/archive/sci/2020/1202/518958/ztf_20201202518958_000467_zg_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1431,50,467,26.39699935913086,2.016140024352353e-05,0.036511100828647614,-0.0316568985581398,3.57331991835963e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acxycfh
2459187.9778704,2,1433477875015,19.221399307250977,/ztf/archive/sci/2020/1204/477859/ztf_20201204477859_000467_zr_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1433,50,467,26.314599990844727,2.4158800442819484e-05,0.04096119850873947,0.10870599746704102,3.490349990897812e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acxycfh
2459192.9160185,1,1438416015015,16.502300262451172,/ztf/archive/sci/2020/1209/416007/ztf_20201209416007_000467_zg_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1438,50,467,23.17060089111328,0.00819678045809269,0.09065370261669159,0.1736059933900833,0.02516219951212406,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acxycfh
2459194.9414699,1,1440441465015,20.33530044555664,/ztf/archive/sci/2020/1211/441470/ztf_20201211441470_000467_zg_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1440,50,467,26.320199966430664,2.8984099117224105e-05,0.045468199998140335,-0.049018800258636475,4.5829499867977574e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acxycfh
2459194.978669,2,1440478665015,20.213600158691406,/ztf/archive/sci/2020/1211/478657/ztf_20201211478657_000467_zr_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1440,50,467,26.30030059814453,1.2738199984596577e-05,0.030670400708913803,0.09888400137424469,1.8708900825004093e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acxycfh
2459196.9420486,1,1442442045015,20.283300399780273,/ztf/archive/sci/2020/1213/442049/ztf_20201213442049_000467_zg_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1442,50,467,26.366100311279297,2.5729299522936344e-05,0.0434236004948616,-0.05848050117492676,4.0038001316133887e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acxycfh
2459196.9825579,2,1442482555015,19.824499130249023,/ztf/archive/sci/2020/1213/482558/ztf_20201213482558_000467_zr_c13_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1442,50,467,26.296899795532227,1.458770020690281e-05,0.032763298600912094,0.1045909970998764,2.147009945474565e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF20acxycfh
