jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459262.6641782,1,1508164171615,19.5718994140625,/ztf/archive/sci/2021/0217/164178/ztf_20210217164178_000256_zg_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1508,16,256,26.131500244140625,8.648389666632283e-06,0.04006040096282959,-0.0513106994330883,2.297890023328364e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanxiax
2459262.665162,1,1508165162915,19.623300552368164,/ztf/archive/sci/2021/0217/165139/ztf_20210217165139_000257_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1508,29,257,26.148000717163086,8.627590432297438e-06,0.04006519913673401,-0.03987729921936989,2.2312000510282815e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanxiax
2459262.6881019,2,1508188102915,19.679899215698242,/ztf/archive/sci/2021/0217/188090/ztf_20210217188090_000257_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1508,29,257,26.169300079345703,4.247050128469709e-06,0.0319163016974926,0.1098560020327568,8.557490218663588e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanxiax
2459264.6674537,2,1510167451615,19.60930061340332,/ztf/archive/sci/2021/0219/167442/ztf_20210219167442_000256_zr_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1510,16,256,26.233299255371094,3.563940026651835e-06,0.029751600697636604,0.09945739805698395,7.257870038301917e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanxiax
2459264.7032292,2,1510203222915,19.615100860595703,/ztf/archive/sci/2021/0219/203206/ztf_20210219203206_000257_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1510,29,257,26.256500244140625,4.746700142277405e-06,0.03380630165338516,0.10815700143575668,9.524839697405696e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanxiax
2459264.7490509,1,1510249052915,19.42650032043457,/ztf/archive/sci/2021/0219/248924/ztf_20210219248924_000257_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1510,29,257,26.083900451660156,9.070249689102639e-06,0.04013879969716072,-0.024794500321149826,2.418489930278156e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanxiax
2459266.6823958,1,1512182391615,19.11479949951172,/ztf/archive/sci/2021/0221/182396/ztf_20210221182396_000256_zg_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1512,16,256,26.13680076599121,1.6014200809877366e-05,0.045327600091695786,-0.04506729915738106,4.8678699386073276e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanxiax
2459266.6828588,1,1512182852915,19.09429931640625,/ztf/archive/sci/2021/0221/182859/ztf_20210221182859_000257_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1512,29,257,26.16320037841797,1.892040017992258e-05,0.04820210114121437,-0.0324242003262043,5.501080158865079e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanxiax
2459266.7153125,2,1512215312915,18.76799964904785,/ztf/archive/sci/2021/0221/215278/ztf_20210221215278_000257_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1512,29,257,26.204099655151367,1.8593100321595557e-05,0.051518600434064865,0.11511600017547607,4.1633200453361496e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanxiax
2459266.715787,2,1512215781615,18.790700912475586,/ztf/archive/sci/2021/0221/215787/ztf_20210221215787_000256_zr_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1512,16,256,26.166000366210938,1.473259999329457e-05,0.04959670081734657,0.1117509976029396,3.352870044182055e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanxiax
2459268.6479861,1,1514147982915,19.35689926147461,/ztf/archive/sci/2021/0223/147986/ztf_20210223147986_000257_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1514,29,257,26.224700927734375,9.221819709637202e-06,0.03980119898915291,-0.05556980147957802,2.459760071360506e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanxiax
2459268.6484606,1,1514148461615,19.399599075317383,/ztf/archive/sci/2021/0223/148461/ztf_20210223148461_000256_zg_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1514,16,256,26.189899444580078,7.776289749017451e-06,0.037640299648046494,-0.04501049965620041,2.1420999473775737e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanxiax
2459268.7332986,2,1514233292915,19.439899444580078,/ztf/archive/sci/2021/0223/233287/ztf_20210223233287_000257_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1514,29,257,26.208799362182617,4.159319814789342e-06,0.031743500381708145,0.11548200249671936,8.332180186698679e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanxiax
2459270.6468866,2,1516146882915,19.365800857543945,/ztf/archive/sci/2021/0225/146574/ztf_20210225146574_000257_zr_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1516,29,257,26.239900588989258,4.52881022283691e-06,0.03314489871263504,0.11828300356864929,9.075840353034437e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanxiax
2459270.6473611,2,1516147361615,19.517200469970703,/ztf/archive/sci/2021/0225/147350/ztf_20210225147350_000256_zr_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1516,16,256,26.213600158691406,3.5305199617141625e-06,0.029737599194049835,0.10713999718427658,7.318560165003873e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanxiax
2459270.6891551,1,1516189152915,18.960800170898438,/ztf/archive/sci/2021/0225/188993/ztf_20210225188993_000257_zg_c08_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,1516,29,257,26.147499084472656,1.4117499631538521e-05,0.042539600282907486,-0.03305739909410477,4.085620093974285e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanxiax
2459270.6924769,1,1516192471615,19.01099967956543,/ztf/archive/sci/2021/0225/192477/ztf_20210225192477_000256_zg_c05_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,1516,16,256,26.110200881958008,1.1798500054283068e-05,0.040918201208114624,-0.0356673002243042,3.5347398807061836e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanxiax
