jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2460036.7661458,2,2282266145815,19.831199645996094,/ztf/archive/sci/2023/0402/266076/ztf_20230402266076_000715_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2282,58,715,26.293100357055664,2.47092993959086e-05,0.03165160119533539,0.1160539984703064,3.56620985257905e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanzcuj
2460036.8278356,1,2282327835815,19.56100082397461,/ztf/archive/sci/2023/0402/327812/ztf_20230402327812_000715_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2282,58,715,26.372699737548828,5.101710121380165e-05,0.04148770123720169,0.0010302599985152483,9.891609806800261e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanzcuj
2460036.8287847,1,2282328785815,19.635700225830078,/ztf/archive/sci/2023/0402/328773/ztf_20230402328773_000715_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2282,58,715,26.39069938659668,3.486729838186875e-05,0.03404130041599274,-0.030219299718737602,6.690219743177295e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanzcuj
2460036.8641088,3,2282364105815,19.39189910888672,/ztf/archive/sci/2023/0402/364109/ztf_20230402364109_000715_zi_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2282,58,715,25.64150047302246,6.2807098402117845e-06,0.02500930055975914,0.18813000619411469,2.3696500647929497e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanzcuj
2460036.9240741,2,2282424075815,19.78890037536621,/ztf/archive/sci/2023/0402/424074/ztf_20230402424074_000715_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2282,58,715,26.253799438476562,2.5568000637576915e-05,0.032141201198101044,0.11823800206184387,3.6997200368205085e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanzcuj
2460036.9553009,2,2282455305815,19.68090057373047,/ztf/archive/sci/2023/0402/455289/ztf_20230402455289_000715_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2282,58,715,26.250900268554688,2.952659997390583e-05,0.03448079898953438,0.12575800716876984,4.2743700760183856e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanzcuj
2460042.7065162,2,2288206515815,19.98509979248047,/ztf/archive/sci/2023/0408/206516/ztf_20230408206516_000715_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2288,58,715,26.246400833129883,2.4545899577788077e-05,0.03172890096902847,0.1123799979686737,3.579170152079314e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanzcuj
2460042.7580787,1,2288258075815,19.618099212646484,/ztf/archive/sci/2023/0408/258067/ztf_20230408258067_000715_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2288,58,715,26.18079948425293,4.899640043731779e-05,0.04097060114145279,-0.01911900006234646,8.877240179572254e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanzcuj
2460042.9152894,1,2288415285815,19.64229965209961,/ztf/archive/sci/2023/0408/415289/ztf_20230408415289_000715_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2288,58,715,26.289199829101562,3.602899960242212e-05,0.03509439900517464,-0.020558100193738937,6.617140024900436e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanzcuj
2460042.9229051,2,2288422905815,19.681400299072266,/ztf/archive/sci/2023/0408/422894/ztf_20230408422894_000715_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2288,58,715,26.204500198364258,2.6079600502271205e-05,0.03248539939522743,0.12571099400520325,3.795729935518466e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanzcuj
2460043.7381829,2,2289238185815,19.76259994506836,/ztf/archive/sci/2023/0409/237951/ztf_20230409237951_000715_zr_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2289,58,715,26.050800323486328,3.256760101066902e-05,0.03642209991812706,0.11794000118970871,4.7116700443439186e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanzcuj
2460043.78,1,2289279995815,19.598499298095703,/ztf/archive/sci/2023/0409/279977/ztf_20230409279977_000715_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,2,2289,58,715,26.138700485229492,4.9368398322258145e-05,0.04105269908905029,-0.011415200307965279,9.491299715591595e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanzcuj
2460043.8200579,1,2289320055815,19.651500701904297,/ztf/archive/sci/2023/0409/320046/ztf_20230409320046_000715_zg_c15_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,2289,58,715,26.268199920654297,4.722949961433187e-05,0.04038110002875328,-0.018510999158024788,8.776369941188022e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aanzcuj
