jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,nid,rcid,field,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion,candid,isdiffpos,tblid,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,obj_id
2459294.8926505,1,1540392650215,20.144800186157227,/ztf/archive/sci/2021/0321/392650/ztf_20210321392650_000849_zg_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1540,2,849,26.00149917602539,4.311280008550966e-06,0.03188350051641464,-0.06346169859170914,8.903620255296119e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aarskup
2459297.8927778,2,1543392770215,19.590200424194336,/ztf/archive/sci/2021/0324/392766/ztf_20210324392766_000849_zr_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1543,2,849,26.052099227905273,4.035330221086042e-06,0.031085899099707603,0.08439409732818604,8.098950274870731e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aarskup
2459297.9500579,1,1543450050215,19.51740074157715,/ztf/archive/sci/2021/0324/450058/ztf_20210324450058_000849_zg_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1543,2,849,26.162500381469727,1.8324799384572543e-05,0.05334309861063957,-0.05263489857316017,4.892329889116809e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aarskup
2459301.9137153,2,1547413710215,19.00979995727539,/ztf/archive/sci/2021/0328/413681/ztf_20210328413681_000849_zr_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1547,2,849,26.106700897216797,7.4755998866749e-06,0.04105469956994057,0.09215760231018066,1.515199983259663e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aarskup
2459301.9683449,1,1547468340215,19.02680015563965,/ztf/archive/sci/2021/0328/468310/ztf_20210328468310_000849_zg_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1547,2,849,26.202600479125977,1.5037800039863214e-05,0.041490599513053894,-0.05031690001487732,4.372169860289432e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aarskup
2459303.8714583,1,1549371450215,19.128000259399414,/ztf/archive/sci/2021/0330/371458/ztf_20210330371458_000849_zg_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1549,2,849,26.021799087524414,1.0618899977998808e-05,0.04031189903616905,-0.024964500218629837,2.823109934979584e-05,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aarskup
2459303.9733681,2,1549473360215,19.447900772094727,/ztf/archive/sci/2021/0330/473322/ztf_20210330473322_000849_zr_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1549,2,849,26.083099365234375,3.517159939292469e-06,0.02900570072233677,0.10088600218296051,7.0583300839643925e-06,t17_f5_c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZTF21aarskup
2459306.8603356,1,1552360330215,19.849300384521484,/ztf/archive/sci/2021/0402/360324/ztf_20210402360324_000849_zg_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1552,2,849,26.04199981689453,5.130279987497488e-06,0.03397560119628906,-0.057841699570417404,1.0990999726345763e-05,t17_f5_c3,1.552360330215015e+18,t,3.0,1646.97998046875,1621.81005859375,288.5430128,65.8924055,20.097999572753906,0.23737800121307373,0.7602959871292114,19.803800582885742,0.382999986410141,3.6787400245666504,23.10700035095215,0.35199999809265137,1.1640000343322754,-0.5460000038146973,-0.18470600247383118,-0.29422199726104736,1.559999942779541,0.824999988079071,1425.52001953125,0.04554300010204315,1.5618699789047241,0.515999972820282,0.4620000123977661,0.33076900243759155,0.2961539924144745,1.1168800592422485,7.0,0.0,0.5371429920196533,0.9294630289077759,20.102500915527344,0.6470999717712402,288.5428119,65.8934378,7.15031,ZTF21aarskup
2459306.9855671,2,1552485560215,20.20549964904785,/ztf/archive/sci/2021/0402/485567/ztf_20210402485567_000849_zr_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1552,2,849,26.116300582885742,2.512359969841782e-06,0.02449589967727661,0.08817709982395172,5.070509814686375e-06,t17_f5_c3,1.552485560215015e+18,t,6.0,1641.510009765625,1683.6400146484375,288.542967,65.8924321,19.9143009185791,0.18600399792194366,1.6764500141143799,19.585100173950195,0.24320000410079956,2.028640031814575,21.131999969482422,0.07900000363588333,0.8560000061988831,0.10899999737739563,-0.12307800352573395,-0.3291679918766022,1.2899999618530273,0.9990000128746033,1396.8599853515625,0.6204299926757812,1.7619500160217285,0.7160000205039978,0.6759999990463257,0.5550389885902405,0.5240309834480286,1.0591700077056885,7.0,0.0,0.50142902135849,0.9000830054283142,19.59589958190918,0.31470000743865967,288.5416734,65.8922126,9.06473,ZTF21aarskup
2459308.9729051,1,1554472900215,20.125099182128906,/ztf/archive/sci/2021/0404/472905/ztf_20210404472905_000849_zg_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1554,2,849,26.230199813842773,4.63898004454677e-06,0.03270839899778366,-0.07030119746923447,9.732400030770805e-06,t17_f5_c3,1.554472900215015e+18,t,6.0,1661.449951171875,1680.449951171875,288.5427944,65.8923854,19.459199905395508,0.16736899316310883,1.457550048828125,19.49720001220703,0.17970000207424164,3.735569953918457,23.10700035095215,0.35199999809265137,1.1640000343322754,-0.5460000038146973,-0.5690109729766846,0.03797699883580208,3.4800000190734863,0.9350000023841858,1400.050048828125,0.6278769969940186,0.8797190189361572,0.8849999904632568,0.8420000076293945,0.2543100118637085,0.2419539988040924,1.051069974899292,3.0,0.0,0.8500000238418579,0.9754549860954285,19.51810073852539,0.2345000058412552,288.5428119,65.8934378,13.8446,ZTF21aarskup
2459308.9894213,2,1554489420215,19.90559959411621,/ztf/archive/sci/2021/0404/489421/ztf_20210404489421_000849_zr_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1554,2,849,26.033199310302734,2.256869947814266e-06,0.02326890081167221,0.09622570127248764,4.530229944066377e-06,t17_f5_c3,1.554489420215015e+18,t,6.0,1658.8699951171875,1689.0899658203125,288.5429117,65.8923875,19.63920021057129,0.1520719975233078,0.9336180090904236,19.493900299072266,0.2513999938964844,1.8975399732589722,21.131999969482422,0.07900000363588333,0.8560000061988831,0.10899999737739563,-0.25669199228286743,-0.14527100324630737,3.680000066757202,0.8999999761581421,1391.4100341796875,0.4116770029067993,0.7227159738540649,1.0260000228881836,0.8610000014305115,0.2788040041923523,0.23396700620651245,1.191640019416809,2.0,0.0,0.7228569984436035,0.9742370247840881,19.552099227905273,0.33980000019073486,288.5416734,65.8922126,9.60455,ZTF21aarskup
2459310.937581,1,1556437580215,20.702800750732422,/ztf/archive/sci/2021/0406/437535/ztf_20210406437535_000849_zg_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1556,2,849,26.170400619506836,2.5996700969699305e-06,0.0249720998108387,-0.06363300234079361,5.232910098129651e-06,t17_f5_c3,1.556437580215015e+18,t,11.0,1652.3399658203125,1662.27001953125,288.5429412,65.8924198,19.22439956665039,0.11444400250911713,3.244839906692505,19.293699264526367,0.10639999806880951,3.6231000423431396,23.10700035095215,0.35199999809265137,1.1640000343322754,-0.5460000038146973,-0.127578005194664,0.06927499920129776,2.0799999237060547,0.9819999933242798,1418.22998046875,1.4091399908065796,1.2380499839782715,0.6589999794960022,0.6179999709129333,0.3168269991874695,0.2971149981021881,1.0663399696350098,4.0,0.0,0.9300000071525574,0.9541509747505188,19.244600296020508,0.12929999828338623,288.5428119,65.8934378,22.5072,ZTF21aarskup
2459312.8481019,1,1558348100215,20.08880043029785,/ztf/archive/sci/2021/0408/348056/ztf_20210408348056_000849_zg_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1558,2,849,26.076000213623047,1.0059699889097828e-05,0.04795200005173683,-0.04663959890604019,2.132239933416713e-05,t17_f5_c3,1.558348100215015e+18,t,8.0,1651.219970703125,1621.6199951171875,288.5429021,65.8923639,19.15399932861328,0.1308860033750534,1.588420033454895,19.081499099731445,0.12880000472068787,3.8220999240875244,23.10700035095215,0.35199999809265137,1.1640000343322754,-0.5460000038146973,-0.04773499816656113,-0.072502002120018,3.799999952316284,0.9629999995231628,1421.280029296875,1.0073200464248657,0.7990959882736206,0.9869999885559082,0.9520000219345093,0.2597370147705078,0.2505260109901428,1.0367599725723267,3.0,0.0,0.8514289855957031,0.996025025844574,19.196300506591797,0.1826000064611435,288.5428119,65.8934378,17.616,ZTF21aarskup
2459312.9089468,2,1558408940215,20.15410041809082,/ztf/archive/sci/2021/0408/408831/ztf_20210408408831_000849_zr_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1558,2,849,26.135299682617188,1.8283400322616217e-06,0.020971199497580528,0.08470369875431061,3.679879910123418e-06,t17_f5_c3,1.558408940215015e+18,t,4.0,1642.780029296875,1654.530029296875,288.5429163,65.8924045,19.257299423217773,0.11172500252723694,2.2069098949432373,19.22570037841797,0.15569999814033508,1.9231599569320679,21.131999969482422,0.07900000363588333,0.8560000061988831,0.10899999737739563,0.1200449988245964,-0.031647998839616776,2.6700000762939453,0.984000027179718,1425.969970703125,0.9284480214118958,1.007599949836731,0.8180000185966492,0.7409999966621399,0.30636700987815857,0.27752798795700073,1.103909969329834,2.0,0.0,0.9185709953308105,1.0,19.27440071105957,0.20800000429153442,288.5416734,65.8922126,16.5857,ZTF21aarskup
2459314.910162,1,1560410160215,20.465099334716797,/ztf/archive/sci/2021/0410/410162/ztf_20210410410162_000849_zg_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1560,2,849,26.208999633789062,3.3225799143110635e-06,0.028150200843811035,-0.08134280145168304,6.656850018771365e-06,t17_f5_c3,1.560410160215015e+18,t,6.0,1652.3299560546875,1654.530029296875,288.5429121,65.892413,18.920000076293945,0.1032319962978363,4.425049781799316,19.017200469970703,0.0940999984741211,3.6471900939941406,23.10700035095215,0.35199999809265137,1.1640000343322754,-0.5460000038146973,-0.06448300182819366,0.09715700149536133,2.309999942779541,0.9869999885559082,1420.1700439453125,1.447890043258667,1.2163200378417969,0.7889999747276306,0.7310000061988831,0.3415580093860626,0.31644999980926514,1.0793399810791016,2.0,0.0,0.942857027053833,1.0,19.05430030822754,0.12359999865293503,288.5428119,65.8934378,28.1145,ZTF21aarskup
2459314.9543056,2,1560454300215,20.39259910583496,/ztf/archive/sci/2021/0410/454294/ztf_20210410454294_000849_zr_c01_o_q3_scimrefdiffimg.fits.fz,Kulkarni,1,1560,2,849,26.109600067138672,1.5716600501036737e-06,0.019391199573874474,0.08417060226202011,3.1632800983061315e-06,t17_f5_c3,1.5604543002150252e+18,t,40.0,1644.9300537109375,1672.7099609375,288.5429091,65.892372,19.089599609375,0.09649699926376343,5.708950042724609,18.74810028076172,0.09019999951124191,1.8783600330352783,21.131999969482422,0.07900000363588333,0.8560000061988831,0.10899999737739563,0.40209001302719116,-0.3414529860019684,4.179999828338623,0.9819999933242798,1407.7900390625,1.6445000171661377,0.5828999876976013,0.921999990940094,0.875,0.2205740064382553,0.2093300074338913,1.0537099838256836,0.0,0.0,0.4385710060596466,1.0,18.716999053955078,0.11159999668598175,288.5416734,65.8922126,23.1351,ZTF21aarskup
